Player,09/07vs. NYJ,09/14vs. HOU,09/21vs. NWE,09/28vs. MIA,10/12vs. SDG,10/19vs. ARI,10/26vs. CLE,11/02vs. SEA,11/09vs. DEN,11/16vs. SDG,11/20vs. KAN,11/30vs. STL,12/07vs. SFO,12/14vs. KAN,12/21vs. BUF,12/28vs. DEN
Larry Asante,,,,,,,,,,,,P,Q,IR,IR,IR
David Ausberry,P,,,,,,O,O,O,O,O,IR,IR,IR,IR,IR
Khalif Barnes,,,,,D,O,P,,,P,,,,,,
Tyvon Branch,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tarell Brown,,,,,P,,,,,,,,Q,Q,IR,IR
Vincent Brown,,,,,O,O,O,O,P,,,,,,O,O
Kaelin Burnett,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Miles Burris,,,,Q,,,,,,,P,,,,,
Brice Butler,Q,,,,,,,,,,,,,,,
Derek Carr,,,,,Q,P,,,,,P,,,,P,P
T.J. Carrie,,,,,,,,P,Q,Q,O,P,,,P,O
Chimdi Chekwa,O,P,O,Q,,,,O,O,P,,,,P,O,O
Jonathan Dowling,,,,,,,,,,O,O,O,IR,IR,IR,IR
Ras-I Dowling,,,,,,,,,,,,,,,,P
D.J. Hayden,PUP,PUP,PUP,PUP,PUP,PUP,,,,P,,,,,Q,
Andre Holmes,,,,,,,,,,,,,,P,,
Austin Howard,,,,,,,P,,,,,,,,,
Gabe Jackson,,,,,,,,,O,O,Q,Q,,,,
Sebastian Janikowski,P,,,,,,,,,,,,,,,
Taiwan Jones,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Maurice Jones-Drew,,D,O,P,,,,,,,,,,,,
Nick Kasa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Leonhardt,,,,,,,,,,,,P,O,O,O,IR
Khalil Mack,,,,,,,,,,,,,,,,P
Kaluka Maiava,,Q,,,IR,IR,IR,IR,IR,IR,IR,,,,,
Benson Mayowa,,,,,,P,,,,,,,,,,
Matt McCants,,O,O,P,Q,,,,,,,,,,,
Keith McGill,,,,,O,O,O,O,Q,,,,,,,
Denarius Moore,,,,,,,,,,,,,,O,O,O
Sio Moore,,,O,O,Q,P,,,,,,,Q,O,IR,IR
Latavius Murray,,,,,,,,,,,,O,P,,,
Jamize Olawale,,,,,,,,P,Q,P,,,,,,
Marcel Reece,,,,,Q,O,P,P,,,,,,,,
Nick Roach,Q,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlos Rogers,,,Q,,,,Q,D,O,O,O,IR,IR,IR,IR,IR
Matt Schaub,P,,,O,P,,,,,,,,,,,
Kory Sheets,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pat Sims,,,,,,,,,,,,,,P,,
Rod Streater,,Q,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenbrell Thompkins,,,,,,,,P,,,,,,,,
Neiko Thorpe,,,,,,,,,,,,O,O,P,,
Justin Tuck,,,P,,,O,Q,P,P,Q,,,,,,
Menelik Watson,P,,,,,,,,,P,,,O,O,O,O
C.J. Wilson,,,,,,,,,,,,,,,Q,
LaMarr Woodley,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Usama Young,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
