Player,09/11vs. NOR,09/18vs. ATL,09/25vs. TEN,10/02vs. BAL,10/09vs. SDG,10/16vs. KAN,10/23vs. JAX,10/30vs. TAM,11/06vs. DEN,11/21vs. HOU,11/27vs. CAR,12/04vs. BUF,12/08vs. KAN,12/18vs. SDG,12/24vs. IND,01/01vs. DEN,01/07vs. HOU
Vadal Alexander,,,,,,O,D,Q,Q,,,,,,,,
David Amerson,,,Q,,,,,,,,Q,Q,,,,,
Neiron Ball,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shilique Calhoun,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Derek Carr,,,,,,,,,,,,,,,,O,O
Amari Cooper,,,,,,,,,Q,Q,,,,Q,Q,Q,Q
James Cowser,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Michael Crabtree,,,,,,,,,,,Q,Q,,Q,Q,Q,Q
Mario Edwards,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jon Feliciano,,,,,,Q,Q,,,,,,,,,,
D.J. Hayden,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Ben Heeney,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gabe Holmes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Howard,O,,O,O,Q,,,,,,,,,,,,
Rodney Hudson,,Q,Q,Q,,,Q,,Q,Q,Q,Q,,,,,
Gabe Jackson,,Q,Q,,,,Q,,,,,,,,,,
Cory James,,,,,,,,,,,,,Q,,,,
Taiwan Jones,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,,,
Karl Joseph,,,,,,,,,,,,,O,O,O,D,Q
Darius Latham,,,Q,,,,,,,,,O,Q,Q,,,
Keith McGill,,,,,,,,,,,Q,,,,,,
Matt McGloin,,,,,,,,,,,,,,,,,Q
Jamize Olawale,,,,,,,,,Q,,,,,,,,
Kelechi Osemele,,,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,Q
Donald Penn,,,,,,,,,,,,,,,,,O
Jalen Richard,,,,,,,,,,,,,,,,Q,
Perry Riley,,,,,,,,,,,Q,Q,,Q,Q,Q,
Lee Smith,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sean Smith,,,,,,,,,Q,Q,,,,,,,
Clive Walford,,,,,Q,Q,,,,,,,,,,,
Jihad Ward,,,Q,,,,,,,,,,,,,,
Dan Williams,,,,,,,,,,,,,,,Q,,
