Player,09/10vs. TEN,09/17vs. NYJ,09/24vs. WAS,10/01vs. DEN,10/08vs. BAL,10/15vs. LAC,10/19vs. KAN,10/29vs. BUF,11/05vs. MIA,11/19vs. NWE,11/26vs. DEN,12/03vs. NYG,12/10vs. KAN,12/17vs. DAL,12/25vs. PHI,12/31vs. LAC
Vadal Alexander,,,,,,,,,,,,,,,,D
David Amerson,,,,,Q,Q,,O,O,D,O,Q,Q,D,D,Q
Denico Autry,,,,,,,,,,,,,Q,Q,Q,
Derek Carr,,,,,Q,,,,,,,,,,,
Gareon Conley,IR,,,Q,Q,O,O,O,O,IR,IR,IR,IR,IR,IR,IR
Amari Cooper,,,,,,,,,,,,O,Q,O,Q,
Michael Crabtree,,,,Q,,,,,,,,,,,,
Mario Edwards,,,,,,,,,,,,,,O,O,
Jon Feliciano,,,,,,,,,,,,,O,Q,IR,IR
Antonio Hamilton,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ben Heeney,IR,IR,IR,IR,IR,IR,IR,,,,IR,IR,IR,IR,IR,IR
Cooper Helfet,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Treyvon Hester,,,,,,,,,,,,,,,O,O
Johnny Holton,,,,,,,,,,,Q,,,,,
Rodney Hudson,,,,,,,,,,,,,,,Q,
Bruce Irvin,,,,,,,,,,,,,,,Q,
Gabe Jackson,,,,,Q,,,,Q,Q,Q,Q,,,,
Cory James,Q,,,,,Q,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR
Sebastian Janikowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jelani Jenkins,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,IR,IR,,
Karl Joseph,,,,,,,,D,Q,,,,,,,
Marquette King,,,,,,,,Q,,,,,,,,
Denver Kirkland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marquel Lee,,,,,,O,Q,Q,Q,,,,,,,
Demetrius McCray,,,,,,,,,O,,,,,,,
Dexter McDonald,,,,,,,,,,,,,,,Q,Q
Keith McGill,O,Q,,Q,,,,,,,,,,Q,Q,
Obi Melifonwu,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR
Nicholas Morrow,,,,,,,Q,Q,Q,,,,,,,
Marshall Newhouse,,,,,,,O,Q,,Q,,,,,,
Jamize Olawale,O,Q,,,,O,Q,,Q,Q,,,Q,,,
Cordarrelle Patterson,,,,,,,,,,,Q,Q,Q,,,
Donald Penn,,,,,,,,,,,,,,,IR,IR
David Sharpe,,,,,,,,,,,,,,,,Q
Sean Smith,,Q,Q,,,,,,,,,,,,,
Clive Walford,,,,,,,,,,,,,,IR,IR,IR
Jihad Ward,IR,,IR,,IR,IR,IR,IR,IR,IR,IR,IR,D,,,
DeAndre Washington,,,,,Q,Q,,,,,,,,,,
