Player,09/10vs. LAR,09/16vs. DEN,09/23vs. MIA,09/30vs. CLE,10/07vs. LAC,10/14vs. SEA,10/28vs. IND,11/01vs. SFO,11/11vs. LAC,11/18vs. ARI,11/25vs. BAL,12/02vs. KAN,12/09vs. PIT,12/16vs. CIN,12/24vs. DEN,12/30vs. KAN
Martavis Bryant,,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR
Shilique Calhoun,,,,,,,,,,,,,IR,IR,IR,IR
T.J. Clemmings,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Gareon Conley,,,,,,,,Q,,Q,,,,,Q,Q
Andrew DePaola,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Ellis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Jon Feliciano,,,,,,,,,,,,,,IR,IR,IR
Leon Hall,,,,,,,,,,,IR,O,IR,IR,IR,IR
P.J. Hall,,O,O,Q,,,,,,,,,,,,
Dwayne Harris,,Q,,,,,,,,,,,,,,
Maurice Hurst Jr.,,,,,,,,,,,,Q,Q,Q,Q,Q
Gabe Jackson,,Q,,,,,,,,,,,,IR,IR,IR
Karl Joseph,,,,O,O,Q,,,,,,,,,,
Arden Key,,,,,,,,,,,,Q,,,,
Brandon LaFell,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Marshawn Lynch,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Khalil Mack,IR,IR,,,IR,,IR,IR,,,IR,,,,IR,
Doug Martin,,,,,,,,,,,,,Q,,,
Dexter McDonald,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Montrel Meander,,,,,,,,,,,,,,,,O
Obi Melifonwu,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR
Tevin Mitchel,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordy Nelson,,,,,,,,,,O,Q,,,,,
Nick Nelson,,,Q,,,,,,,Q,,,,,,
Reggie Nelson,,,,,,,,,,,,,IR,IR,IR,IR
Mike Nugent,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kelechi Osemele,,,,,Q,D,Q,Q,,,,,Q,Q,,
Donald Penn,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eddy Pineiro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Price,Q,,,,,,,,,,,,,,,
Shaquille Richardson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Seth Roberts,,,,,,,,,,,,,Q,,,
Dominique Rodgers-Cromartie,,,,Q,,,,,,,,,,,,
Ahtyba Rubin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Frostee Rucker,,,,,,D,,,,,,,,,,
Jacquies Smith,,,,,,,,,,,,IR,IR,IR,IR,IR
Eddie Vanderdoes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Warren,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeAndre Washington,O,Q,,,,,,,,,,,,,,
Griff Whalen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Wilber,,,,,,,,,,Q,,,Q,Q,,
Daryl Worley,,,,,,,Q,Q,,,,Q,Q,,Q,
