Player,09/09vs. DEN,09/15vs. KAN,09/22vs. MIN,09/29vs. IND,10/06vs. CHI,10/20vs. GNB,10/27vs. HOU,11/03vs. DET,11/07vs. LAC,11/17vs. CIN,11/24vs. NYJ,12/01vs. KAN,12/08vs. TEN,12/15vs. JAX,12/22vs. LAC,12/29vs. DEN
Johnathan Abram,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcell Ateman,,,,,,,,,,,,,,Q,,
Trent Brown,,,Q,Q,,D,Q,,Q,Q,,Q,O,Q,IR,IR
Vontaze Burfict,,,Q,,,,,,,,,,,,,
Paul Butler,IR,,,,,,,,,,,,,,,
AJ Cole III,,Q,,,,,,,,,,,,,,
Gareon Conley,,Q,,,,,,,,,,,,,,
Isaiah Crowell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Devey,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Makinton Dorleant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Ellis,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Clelin Ferrell,,,,,Q,,,,,,,,,,,
Denzelle Good,,,Q,,,,,,,,,,,,,
P.J. Hall,,,Q,,,,,Q,,,,,,,,
Dwayne Harris,,,O,O,Q,Q,,Q,Q,Q,IR,IR,IR,IR,IR,IR
Erik Harris,,,,,,,,Q,,,,,,Q,,
Rodney Hudson,,,,,,,,Q,Q,,,,,,,
Cameron Hunt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Richie Incognito,,,,,Q,,,,,,,,,,O,D
Gabe Jackson,O,O,O,O,O,Q,,,,,,,,,,
Josh Jacobs,,,,,,,Q,,,,,,Q,Q,O,O
Andre James,,,,,,,,Q,,,,,,,,
Isaiah Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Karl Joseph,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Lamarcus Joyner,,,Q,,,,,,,O,Q,,,,,
Arden Key,,,,,,O,,,O,IR,IR,IR,IR,IR,IR,IR
D.J. Killings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marquel Lee,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,Q,IR,IR
Corey Liuget,Q,Q,Q,,,,,,,,,,,,,
Josh Mauro,,,,,,,,Q,O,,,,,,,
Foster Moreau,,,,,,,,,,,,,,IR,IR,IR
Nicholas Morrow,Q,,,,,,,,,,,,,,,
JJ Nelson,Q,O,,,Q,,,,,,,,,,,
Nick Nelson,,,,,,,,,,,,,,,,IR
Nathan Peterman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Hunter Renfrow,,,,,,,,,,,,O,O,O,,
David Sharpe,,,,,,,,,,O,O,,,,,
Eddie Vanderdoes,IR,IR,IR,IR,IR,,,,,,,,,,,
Kyle Wilber,,,,,,,,,,,,,O,Q,,
Tyrell Williams,,,,,Q,O,Q,,,,,,,,,
Daryl Worley,,,,,,,,,,,,,,Q,,
