Player,09/13vs. CAR,09/21vs. NOR,09/27vs. NWE,10/04vs. BUF,10/11vs. KAN,10/25vs. TAM,11/01vs. CLE,11/08vs. LAC,11/15vs. DEN,11/22vs. KAN,11/29vs. ATL,12/06vs. NYJ,12/13vs. IND,12/17vs. LAC,12/26vs. MIA,01/03vs. DEN
Johnathan Abram,,,,Q,,,,,,,,O,Q,O,,
Damon Arnette,,,,O,IR,IR,C19,IR,IR,,,,O,O,,
Trent Brown,,D,O,D,Q,C19,C19,C19,C19,C19,C19,,,,,O
Maliek Collins,,,,,Q,Q,,,,C19,,O,IR,IR,IR,
Bryan Edwards,,,,O,O,O,Q,,,,,,,,,
Ukeme Eligwe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Clelin Ferrell,,,,,,,,,,C19,Q,,,O,O,IR
Rico Gafford,,,,D,Q,,,,,,,,,,,
Denzelle Good,,,Q,,,C19,,,,,,,,,,Q
Johnathan Hankins,,,,,,,,,,C19,,,,,,
Erik Harris,,,,,,,,,,,Q,,,,C19,C19
Jeff Heath,,,,,,,,Q,,,,,IR,IR,IR,IR
Rodney Hudson,,,,,,C19,,,,,,,,,,
Maurice Hurst Jr.,,,,,,,,O,O,Q,,Q,,,Q,Q
Richie Incognito,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gabe Jackson,,,,,,C19,,,Q,,,,,,,
Josh Jacobs,,,Q,,,,,Q,,,,O,Q,,,
Isaiah Johnson,,,,,,,,,,C19,,Q,Q,C19,C19,
Lamarcus Joyner,,,,,,,,,,C19,C19,,,,,Q
Arden Key,,,,,,,D,O,,,,,,,,
Nick Kwiatkoski,,D,O,Q,,,,,,,,,,,C19,C19
Nevin Lawson,,,,,,,,,,,,,,Q,,
Cory Littleton,,,,,,,,,C19,C19,C19,,,,,
Marcus Mariota,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Takkarist McKinley,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Kolton Miller,,,,,,C19,,Q,D,,,,,,,
Nicholas Morrow,,,,,,,,,,,,,,O,C19,C19
Trayvon Mullen,,,,,,,,Q,,,,Q,,,,
Tanner Muse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,C19,C19,IR
Carl Nassib,,,,,,Q,,,,,,,,,,
Nick Nelson,//;90,,,,,,,,,,,,,,,
Keisean Nixon,,,,,,O,,,,,,,,,,
Nick O'Leary,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jalen Richard,,,,,,,,,,Q,,,,,,C19
Theo Riddick,,,,,,,,,,C19,C19,,,,,
Daniel Ross,,,,IR,IR,IR,IR,IR,,,,,,,,
Henry Ruggs III,,Q,O,D,Q,,,,,,,,,C19,C19,
John Simpson,,Q,,,,,,,,,,,,,,
Nick Usher,//,,,,,,,,,,,,,,,
Jeremiah Valoaga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendal Vickers,,,,,,,,,,C19,,,,,,
Darren Waller,,,Q,,,,,,,,,,,,,
Tyrell Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daryl Worley,,,,,,,,,,,,,,C19,C19,C19
Sam Young,,D,Q,,,,,,,,,,,,,
