,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Julie Alfonse,5.0,26.0,WB,10,5.0,180.0,5-8,Minnesota,10/12/1911,Rook,,Cleveland Rams / 2nd / 20th pick / 1937,1937,
1,1,Mark Barber,6.0,22.0,FB,5,1.0,192.0,5-11,South Dakota St.,5/19/1915,Rook,,,1937,
2,2,John Bettridge,9.0,27.0,FB,6,1.0,188.0,5-10,Ohio St.,3/19/1910,Rook,,,1937,
3,3,Carl Brumbaugh,8.0,31.0,B,4,3.0,170.0,5-10,"Ohio St.,Florida",9/22/1906,7,,,1937,
4,4,Phil Bucklew,22.0,23.0,E,11,9.0,205.0,6-1,Xavier (OH),12/18/1914,Rook,,,1937,
5,5,Forrest Burmeister,24.0,24.0,G,11,8.0,215.0,6-4,Purdue,8/18/1913,Rook,,,1937,
6,6,Sam Busich,19.0,24.0,E,10,8.0,189.0,6-3,Ohio St.,11/17/1913,1,,,1937,
7,7,Chuck Cherundolo,17.0,21.0,C,11,9.0,215.0,6-1,Penn St.,8/8/1916,Rook,,,1937,
8,8,Bud Cooper,2.0,24.0,B,5,2.0,204.0,6-1,Penn St.,4/14/1913,Rook,,,1937,
9,9,Johnny Drake,2.0,21.0,B,11,9.0,213.0,6-1,Purdue,3/27/1916,Rook,,Cleveland Rams / 1st / 10th pick / 1937,1937,
10,10,Bob Emerick,23.0,24.0,T,11,5.0,225.0,6-2,Miami (OH),2/21/1913,3,,,1937,
11,11,Wayne Gift,3.0,22.0,QB,10,1.0,175.0,5-8,Purdue,10/21/1915,Rook,,,1937,
12,12,Ed Goddard,7.0,23.0,B,4,3.0,183.0,5-10,Washington St.,10/28/1914,Rook,,Brooklyn Dodgers / 1st / 2nd pick / 1937,1937,
13,13,Paul Halleck,16.0,24.0,E,11,2.0,195.0,6-0,Ohio,7/11/1913,Rook,,,1937,
14,14,Ralph Isselhardt,15.0,27.0,G,8,0.0,205.0,6-1,Franklin (IN),1/13/1910,Rook,,,1937,
15,15,Ray Johnson,12.0,23.0,DB,2,2.0,195.0,6-1,Denver,10/16/1914,Rook,,Cleveland Rams / 9th / 90th pick / 1937,1937,
16,16,Joe Keeble,9.0,28.0,HB,7,2.0,190.0,6-0,UCLA,8/29/1909,Rook,,,1937,
17,17,Ted Livingston,18.0,24.0,T,11,8.0,219.0,6-3,"Kansas St.,Indiana",2/18/1913,Rook,,,1937,
18,18,Harry Mattos,7.0,26.0,HB,6,1.0,198.0,6-0,St. Mary's (CA),4/7/1911,1,,,1937,
19,19,Ookie Miller,25.0,28.0,C,11,5.0,209.0,6-0,Purdue,11/11/1909,5,,,1937,
20,20,Primo Miller,27.0,22.0,T,11,7.0,220.0,6-2,Rice,9/18/1915,Rook,,,1937,
21,21,Bill O'Neill,,27.0,B,1,0.0,187.0,6-0,Detroit Mercy,4/6/1910,2,,,1937,
22,22,Stan Pincura,1.0,24.0,BB,11,7.0,175.0,5-11,Ohio St.,5/2/1913,Rook,,,1937,
23,23,Ted Rosequist,17.0,29.0,T,7,3.0,222.0,6-4,"John Carroll,Ohio St.",4/17/1908,3,,,1937,
24,24,Ollie Savatsky,,26.0,E,1,0.0,215.0,6-2,Miami (OH),5/13/1911,Rook,,,1937,
25,25,Mike Sebastian,4.0,27.0,HB,1,1.0,185.0,5-11,Pittsburgh,6/7/1910,2,,,1937,
26,26,Ed Skoronski,12.0,27.0,E,3,0.0,213.0,6-2,"Georgetown (DC),Purdue",10/15/1910,2,,,1937,
27,27,Bob Snyder,4.0,24.0,TB,10,6.0,200.0,6-0,Ohio,2/6/1913,Rook,,,1937,
28,28,Jim Turner,13.0,25.0,C,7,2.0,210.0,6-2,Oklahoma St.,1/14/1912,Rook,,,1937,
29,29,Wayne Underwood,,24.0,T,3,2.0,190.0,6-1,"Davis & Elkins,Marshall",12/8/1913,Rook,,,1937,
30,30,Walt Uzdavinis,20.0,26.0,DE,7,3.0,210.0,6-2,Fordham,6/19/1911,Rook,,,1937,
31,31,Joe Williams,,22.0,B,1,0.0,178.0,5-9,Ohio St.,3/19/1915,Rook,,,1937,
32,32,Dick Zoll,26.0,24.0,G,11,6.0,218.0,5-11,Indiana,12/10/1913,Rook,,,1937,
33,33,Team Total,,24.8,,11,,199.6,6-0.4,,,0.8,,,1937,
34,0,Julie Alfonse,29.0,27.0,WB,10,6.0,180.0,5-8,Minnesota,10/12/1911,1,,Cleveland Rams / 2nd / 20th pick / 1937,1938,
35,1,Jim Benton,26.0,22.0,E,11,9.0,200.0,6-3,Arkansas,9/25/1916,Rook,,Cleveland Rams / 2nd / 11th pick / 1938,1938,
36,2,Carl Brazell,18.0,21.0,B,11,8.0,195.0,5-10,Baylor,7/20/1917,Rook,,,1938,
37,3,Phil Bucklew,22.0,24.0,E,1,0.0,205.0,6-1,Xavier (OH),12/18/1914,1,,,1938,
38,4,Forrest Burmeister,24.0,25.0,G,1,0.0,215.0,6-4,Purdue,8/18/1913,1,,,1938,
39,5,Chuck Cherundolo,17.0,22.0,C,11,10.0,215.0,6-1,Penn St.,8/8/1916,1,,,1938,
40,6,Red Chesbro,35.0,24.0,G,8,2.0,190.0,5-11,Colgate,8/22/1914,Rook,,Cleveland Rams / 7th / 51st pick / 1938,1938,
41,7,Gerry Conlee,17.0,24.0,C,8,2.0,203.0,5-11,St. Mary's (CA),8/22/1914,Rook,,,1938,
42,8,Bob Davis,,24.0,HB,8,3.0,180.0,6-1,Kentucky,5/5/1914,Rook,,,1938,
