,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1937,5,75,6.8,10,207,18.8,10,0.9,10.1,-8.50,8,3.50
1938,4,131,11.9,6,215,19.5,10,2.6,8.4,-5.18,9,2.45
1939,4,195,17.7,4,164,14.9,6,6.6,4.4,2.25,5,-0.57
1940,4,171,15.5,5,191,17.4,8,4.8,6.2,-0.29,5,1.53
1941,5,116,10.5,9,244,22.2,9,1.6,9.4,-7.22,8,4.42
1942,3,150,13.6,6,207,18.8,6,3.5,7.5,-4.90,6,.28
1944,4,188,18.8,6,224,22.4,8,4.0,6.0,-1.68,6,1.92
1945,1,244,24.4,3,136,13.6,3,8.0,2.0,11.42,1,.62
1946,2,277,25.2,2,257,23.4,8,6.0,5.0,1.75,7,-0.07
1947,4,259,21.6,6,214,17.8,2,7.3,4.7,5.88,6,2.13
1948,3,327,27.3,4,269,22.4,5,7.4,4.6,6.22,6,1.39
1949,1,360,30.0,2,239,19.9,4,8.7,3.3,9.29,5,-0.79
1950,1,466,38.8,1,309,25.8,9,8.7,3.3,7.75,4,-5.33
1951,1,392,32.7,1,261,21.8,6,8.7,3.3,9.10,2,-1.82
1952,2,349,29.1,1,234,19.5,6,8.6,3.4,8.75,2,-0.84
1953,3,366,30.5,2,236,19.7,5,8.9,3.1,7.53,4,-3.31
1954,4,314,26.2,3,285,23.8,10,6.7,5.3,4.76,4,2.34
1955,1,260,21.7,4,231,19.3,4,6.8,5.2,-1.35,7,-3.77
1956,5,291,24.3,3,307,25.6,10,5.6,6.4,-0.68,5,.66
1957,4,307,25.6,1,278,23.2,10,6.7,5.3,2.69,3,.28
1958,2,344,28.7,2,278,23.2,8,7.5,4.5,6.02,2,.52
1959,6,242,20.2,9,315,26.3,10,4.2,7.8,-3.04,9,3.05
1960,6,265,22.1,7,297,24.8,10,5.2,6.8,-3.16,15,-0.49
1961,6,263,18.8,12,333,23.8,11,5.1,8.9,-1.49,13,3.51
1962,7,220,15.7,14,334,23.9,8,3.8,10.2,-3.99,13,4.15
1963,6,210,15.0,13,350,25.0,9,3.2,10.8,-9.00,19,1.00
1964,5,283,20.2,8,339,24.2,12,5.5,8.5,-0.86,11,3.14
1965,7,269,19.2,11,328,23.4,9,5.4,8.6,2.88,10,7.10
1966,3,289,20.6,10,212,15.1,2,9.5,4.5,6.04,7,.54
1967,1,398,28.4,1,196,14.0,1,11.8,2.2,13.58,2,-0.85
1968,2,312,22.3,5,200,14.3,3,10.4,3.6,8.73,5,.73
1969,1,320,22.9,4,243,17.4,5,9.2,4.8,7.14,4,1.64
1970,2,325,23.2,4,202,14.4,2,10.6,3.4,9.61,3,.82
1971,2,313,22.4,5,260,18.6,8,8.5,5.5,6.57,4,2.78
