,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@PHI,-6.0,0.0,"W, 16-14",Lost,Over,1978
1,2,ATL,-10.0,0.0,"W, 10-0",Push,Over,1978
2,3,DAL,4.0,0.0,"W, 27-14",Won,Over,1978
3,4,@HOU,-2.5,0.0,"W, 10-6",Won,Over,1978
4,5,@NOR,-9.5,0.0,"W, 26-20",Lost,Over,1978
5,6,SFO,-13.5,0.0,"W, 27-10",Won,Over,1978
6,7,@MIN,-4.0,0.0,"W, 34-17",Won,Over,1978
7,8,NOR,-13.5,0.0,"L, 3-10",Lost,Over,1978
8,9,@ATL,-6.5,0.0,"L, 7-15",Lost,Over,1978
9,10,TAM,-10.5,0.0,"W, 26-23",Lost,Over,1978
10,11,PIT,-3.0,0.0,"W, 10-7",Push,Over,1978
11,12,@SFO,-10.0,0.0,"W, 31-28",Lost,Over,1978
12,13,@CLE,-4.5,0.0,"L, 19-30",Lost,Over,1978
13,14,@NYG,-7.5,0.0,"W, 20-17",Lost,Over,1978
14,15,CIN,-6.5,0.0,"L, 19-20",Lost,Over,1978
15,16,GNB,-8.0,0.0,"W, 31-14",Won,Over,1978
16,17,MIN,-7.5,0.0,"W, 34-10",Won,Over,1978
17,18,DAL,3.5,0.0,"L, 0-28",Lost,Over,1978
18,1,OAK,-4.0,36.5,"L, 17-24",Lost,Over,1979
19,2,@DEN,2.0,31.5,"W, 13-9",Won,Under,1979
20,3,SFO,-13.0,39.0,"W, 27-24",Lost,Over,1979
21,4,@TAM,-3.0,35.0,"L, 6-21",Lost,Under,1979
22,5,STL,-6.0,38.0,"W, 21-0",Won,Under,1979
23,6,@NOR,-4.0,39.0,"W, 35-17",Won,Over,1979
24,7,@DAL,3.0,39.0,"L, 6-30",Lost,Under,1979
25,8,SDG,1.0,37.0,"L, 16-40",Lost,Over,1979
26,9,NYG,-6.0,37.0,"L, 14-20",Lost,Under,1979
27,10,@SEA,3.0,41.0,"W, 24-0",Won,Under,1979
28,11,@CHI,0.0,34.0,"L, 23-27",Lost,Over,1979
29,12,ATL,-7.0,35.0,"W, 20-14",Lost,Under,1979
30,13,@SFO,-6.0,39.0,"W, 26-20",Push,Over,1979
31,14,MIN,-7.0,38.0,"W, 27-21",Lost,Over,1979
32,15,@ATL,-3.0,39.0,"W, 34-13",Won,Over,1979
33,16,NOR,-6.0,42.0,"L, 14-29",Lost,Over,1979
34,17,@DAL,8.5,0.0,"W, 21-19",Won,Over,1979
35,18,@TAM,-3.5,0.0,"W, 9-0",Won,Over,1979
36,19,PIT,10.0,36.0,"L, 19-31",Lost,Over,1979
37,1,DET,-9.0,38.0,"L, 20-41",Lost,Over,1980
38,2,@TAM,3.0,40.0,"L, 9-10",Won,Under,1980
39,3,GNB,-14.0,38.0,"W, 51-21",Won,Over,1980
