Player,09/13vs. SEA,09/20vs. WAS,09/27vs. GNB,10/04vs. SFO,10/11vs. MIN,10/18vs. JAX,10/25vs. IND,11/01vs. DET,11/15vs. NOR,11/22vs. ARI,11/29vs. SEA,12/06vs. CHI,12/13vs. TEN,12/20vs. HOU,12/27vs. ARI,01/03vs. SFO
C.J. Ah You,,,,,,P,,O,P,O,IR,IR,IR,IR,IR,IR
K.C. Asiodu,,,,,,,,,,,,,,P,,
O.J. Atogwe,,,,,,,,,,,,,IR,IR,IR,IR
Donnie Avery,,,,,P,,P,P,,,,,P,,,P
Billy Bajema,,,,,,,,,,,,,,Q,,
Alex Barron,,,,P,,,,,,,,,,,,
Ron Bartell,,,,O,P,,P,,,,,,,,P,
Eric Bassey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacob Bell,,,,,,,,,P,,,,,IR,IR,IR
Kyle Boller,,,,,,P,,,,,,,P,Q,,
Jason Brown,,P,P,,,,,,,,,P,,Q,,
Marc Bulger,P,,,D,P,,,,,,O,O,O,O,IR,IR
Keenan Burton,,,,,P,,,,,IR,IR,IR,IR,IR,IR,IR
James Butler,,,,O,O,D,P,,,,,,,,,
Quincy Butler,,,,,,,,,,,,,,Q,O,O
Adam Carriker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Chamberlain,,,,,,,,,,,P,,,,,
Craig Dahl,O,O,P,,P,,,,,,,,,,,
Kenneth Darby,,,,,,,,,,,,,Q,,,
Daniel Fells,,,,,,,,,,,,,,Q,IR,IR
Bradley Fletcher,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brooks Foster,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Samkon Gado,P,,,,,,,,,,,,,P,,
Brandon Gibson,,,,,,,,,,,,,P,P,,
Gary Gibson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry Grant,,,,,,,,,,,,,,,,
John Greco,O,O,P,,,,,,,,,,,,P,
James Hall,,,,,,,D,P,,P,,,,,,
Richie Incognito,,,,,,,P,O,O,O,D,P,,,,
Steven Jackson,,,,,,,,,,,P,P,P,P,O,P
Donnie Jones,,,,,,,,,,,Q,,,,,
Mike Karney,P,,,,,,,,,,O,O,Q,,,
Justin King,,,,,,P,O,P,,,,,,,,
James Laurinaitis,,,,,,,,,,,,P,P,,,P
Paris Lenon,,,,,,,,,P,,,,,P,,P
Leonard Little,P,,,,,P,,,,P,,,,O,O,O
Chris Long,,,,,,,,,,P,,,,,,
Ruvell Martin,,,,,D,D,O,P,,,,,,,,
Chris Massey,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Randy McMichael,,,,,,,,P,,,,,,,,
LaJuan Ramsey,,,,,,,,,,,,,Q,Q,,
David Roach,,,P,,,,,,,,,,,,,
Laurent Robinson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Clifton Ryan,,,,,,,,P,,P,,,,,,
Darell Scott,,,,,,,Q,,,,,,P,P,,
Mark Setterstrom,,,,,,,,,,,,,,,,O
Anthony Smith,,,,,D,O,,,,,,,,,,
Jason Smith,,,D,D,P,,,,,,D,O,O,O,O,D
David Vobora,,,,,,,,,,,,,,P,,
