Player,09/12vs. ARI,09/19vs. OAK,09/26vs. WAS,10/03vs. SEA,10/10vs. DET,10/17vs. SDG,10/24vs. TAM,10/31vs. CAR,11/14vs. SFO,11/21vs. ATL,11/28vs. DEN,12/05vs. ARI,12/12vs. NOR,12/19vs. KAN,12/26vs. SFO,01/02vs. SEA
Danario Alexander,,,,,,,Q,O,O,O,P,,,,,
Danny Amendola,P,,,,,,,,,,,,,,,
K.C. Asiodu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
O.J. Atogwe,,,,P,,,,,,,,,P,,,
Donnie Avery,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Billy Bajema,,,O,O,O,P,,,,,,,,,,
Ron Bartell,,,,,,P,P,P,P,,,,D,P,,
Jacob Bell,,,,,,P,,,,,,,,P,,
James Butler,P,,,,,,,,D,O,,,,,,
Chris Chamberlain,,O,O,O,O,O,P,,,,,,,,,
Mark Clayton,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dominique Curry,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Craig Dahl,,,D,Q,,,,,,,,,P,,,
Kenneth Darby,,,,,,P,,,,,,,D,O,P,
Na'il Diggs,,,,,,,P,,P,,,,IR,IR,IR,IR
Kevin Dockery,,D,O,,O,O,P,,,,,,,,,
Daniel Fells,,,P,,,,,,,,,,,,,
Gary Gibson,,,,,P,P,,,,,,,,,,
Mardy Gilyard,,,,,,,D,P,,,,,,,,
James Hall,,,,,,,,,P,,,,,,,
Michael Hoomanawanui,,O,O,O,O,P,,,,,,O,O,O,O,
Josh Hull,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steven Jackson,,P,,P,P,,,P,P,,,,,,,
Darcy Johnson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donnie Jones,,,,,P,,,,,P,P,P,,P,,
Mike Karney,,,,,,,,,,,,O,,,,
Justin King,,O,,,P,P,O,O,,,,P,D,,,
James Laurinaitis,,,,,,,,P,P,,,,,,,
Chris Long,,,,,,,,,,,,,,,P,
Brit Miller,,,,,,,,,P,P,,,,,IR,IR
Jerome Murphy,,,,,,,P,,,,,D,P,,,P
David Nixon,,,,,,,,,,,,,,D,,
Fendi Onobun,,,,,,,,O,D,IR,IR,IR,IR,IR,IR,IR
Kevin Payne,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fred Robbins,,P,,,,,,P,,P,,,,,,
Laurent Robinson,,P,D,D,P,,,,,,P,,,,,
Clifton Ryan,,O,D,O,O,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rodger Saffold,,,P,,P,,,,,P,P,,,,,
Darell Scott,,P,O,O,O,O,P,O,,,,O,,,,
Mark Setterstrom,O,O,O,O,O,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Eugene Sims,,,,,,,,,,,,,,,,
Jason Smith,,,,,,,,O,,,,,,,P,
Darian Stewart,,,,D,P,,O,O,,,,,,,,
Keith Toston,,,,P,,,,,,,,,,,,
David Vobora,,,,,,O,P,P,O,,,,,,,
Eric Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
