Player,09/11vs. PHI,09/19vs. NYG,09/25vs. BAL,10/02vs. WAS,10/16vs. GNB,10/23vs. DAL,10/30vs. NOR,11/06vs. ARI,11/13vs. CLE,11/20vs. SEA,11/27vs. ARI,12/04vs. SFO,12/12vs. SEA,12/18vs. CIN,12/24vs. PIT,01/01vs. SFO
C.J. Ah You,,O,O,,,D,P,,P,,,,,,,
Danario Alexander,,,,,,,D,O,O,D,D,P,,,,
Danny Amendola,,O,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tim Atchison,,,IR,,,,,,,,,,,,,
Justin Bannan,,,,,,,,,,,O,P,,,,
Ron Bartell,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacob Bell,,,,,P,,,,,,,,IR,IR,IR,IR
Sam Bradford,,P,,P,,O,O,P,P,P,,O,,D,D,D
Chris Chamberlain,,,,,,,,,,,,P,,,,
Mark Clayton,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,,IR,IR,IR,IR,IR,IR
Jermelle Cudjo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dominique Curry,,,,,,,,,,,,P,,,,
Craig Dahl,,,,,,,,,,,,,,P,,
A.J. Feeley,,,,,,,,,,,,,O,O,D,D
Bradley Fletcher,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Gibson,,,,,,,,,,P,,,,,,
Gary Gibson,,,,,,,,,P,,,,,,,
Josh Gordy,,,,,,,,,,,,,,P,P,P
James Hall,P,,,,P,,,,P,,,,,O,Q,
Al Harris,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Michael Hoomanawanui,D,Q,P,P,P,,,,,IR,IR,IR,IR,IR,IR,IR
Josh Hull,,P,,,,,,,O,,O,O,,,IR,IR
Brian Jackson,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steven Jackson,,D,P,P,,,,,P,,,,,,,
Marquis Johnson,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Donnie Jones,,,,,,,,,,,,P,,,,
Bryan Kehl,,,,,,,,O,O,P,,,,,,
Lance Kendricks,,,,,,,,,D,P,P,,,,,
Justin King,,,,,,,O,P,,Q,P,P,,O,O,
James Laurinaitis,,,,,,,,,,,P,,,,,
Mark LeVoir,,,,,,,,,,,O,O,P,D,Q,
Ben Leber,,,P,,,,,,,,,,,,,
Brandon Lloyd,,,,,,,,,,,,,,,P,
Chris Long,,,,,,,,,,,P,P,P,P,P,Q
Jake McQuaide,,,,,P,,,,,,,,,,,
Brit Miller,,,,,,,,,,,,P,O,IR,IR,IR
Jerome Murphy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerious Norwood,,,,,,,O,O,O,P,,,,,,P
Austin Pettis,,,,,,,,,,,P,,,,,
Brady Poppinga,,,,,,,O,P,,,,,,,,P
Quinn Porter,,,,,,,,,,,,,O,O,Q,
Fred Robbins,,,,,,,,,,,,,O,P,,
Rodger Saffold,,,,,,D,P,,,P,IR,IR,IR,IR,IR,IR
Greg Salas,,,O,,,,,P,IR,IR,IR,IR,IR,IR,IR,IR
Darell Scott,,,,P,P,,D,O,P,,,,,,,
Eugene Sims,P,,,,,P,,,P,P,,,P,P,,
Jason Smith,,P,,,,,D,O,O,D,D,IR,IR,IR,IR,IR
Stephen Spach,,,,,,,,,,,,,,P,,
Darian Stewart,,,,,,,,,P,P,,O,Q,,,
Cadillac Williams,,,P,P,,,,,,D,O,,,,,
Tony Wragge,,,,,,,,P,,,,,,,,
