Player,09/07vs. MIN,09/14vs. TAM,09/21vs. DAL,10/05vs. PHI,10/13vs. SFO,10/19vs. SEA,10/26vs. KAN,11/02vs. SFO,11/09vs. ARI,11/16vs. DEN,11/23vs. SDG,11/30vs. OAK,12/07vs. WAS,12/11vs. ARI,12/21vs. NYG,12/28vs. SEA
Tavon Austin,,Q,O,Q,,,,,,,,,,,,
Stedman Bailey,S,S,P,,,,,,,,,,,,,
Tim Barnes,,,,,,D,O,P,,,,,,,,
Daren Bates,,,,,,,,,D,D,P,,,,,
Sam Bradford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenny Britt,,,,,P,,P,P,,,,P,,,,
Mason Brodine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alex Carrington,,,,,O,P,,,,O,O,O,O,O,,
Jared Cook,,,,,,,,,,,Q,P,,,,
Benny Cunningham,,,,,,,P,,,,,,,,,
Cody Davis,,,,,,,,O,Q,,,,,,,
Aaron Donald,,,,,,,,Q,,,,,,,,
Jo-Lonn Dunbar,P,,,,Q,Q,P,Q,P,,,,,,,
E.J. Gaines,,,,,,,,,P,,,P,,,,D
Cory Harkey,,,Q,,,,,,P,,Q,P,,P,,
William Hayes,P,,,,,,P,,P,P,,,,,,
Will Herring,,,,,,,,,,P,P,P,P,P,,
Shaun Hill,Q,Q,P,O,O,Q,,,,,,,,,,
Janoris Jenkins,,,,,,,O,O,Q,,,,,,,P
Trumaine Johnson,O,O,O,O,O,O,O,P,,,,,,,,
Barrett Jones,O,O,O,O,O,P,,,,,,,,,,
Lamarcus Joyner,,O,Q,,,,,P,,D,O,O,O,Q,,
James Laurinaitis,,,,,,,,,,P,P,P,P,P,,
Chris Long,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,P,P,
Jake Long,P,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. McDonald,,,,,,,P,,,,,,,,,
Brandon McGee,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rodney McLeod,,,,,,,,Q,P,,,,,,,
Alec Ogletree,,,,,,,,,,,,P,,,,
Isaiah Pead,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Pettis,,,,,,O,,,,,,,,,,
Brian Quick,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chase Reynolds,,,,,O,P,,,,,,,,,,
Demetrius Rhaney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Roberson,,,,,,,,P,Q,O,O,D,O,Q,,
Rodger Saffold,,,P,,,,P,P,,,,,P,P,,
Eugene Sims,Q,,,,P,,,,,,,,,,,
Zac Stacy,,,,,P,P,,,,,,,,,,
Scott Wells,,,,,,,,P,,,,,,P,,P
Ethan Westbrooks,,,,,,O,O,O,,,,,,,,
Damian Williams,,,,,,,,,,D,O,,,,,
Greg Zuerlein,,,,,,,P,,,,,,,,,
