Player,09/10vs. OAK,09/16vs. ARI,09/23vs. LAC,09/27vs. MIN,10/07vs. SEA,10/14vs. DEN,10/21vs. SFO,10/28vs. GNB,11/04vs. NOR,11/11vs. SEA,11/19vs. KAN,12/02vs. DET,12/09vs. CHI,12/16vs. PHI,12/23vs. ARI,12/30vs. SFO,01/12vs. DAL,01/20vs. NOR,02/03vs. NWE
Mark Barron,D,D,D,D,Q,,,,,,,,,,,,,,
Malcolm Brown,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Pharoh Cooper,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,IR,IR,IR
Justin Davis,,,,,,,,,,,,,,,Q,Q,,,
Ryan Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dominique Easley,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Morgan Fox,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Todd Gurley,,,,,,,,,,,,,,,Q,O,,,
Dominique Hatfield,,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Tyler Higbee,,,,,Q,,,,,,,,,,,,,,
Lamarcus Joyner,,,,,,,,,,,,,,,,O,,,
Cooper Kupp,,,,,,,O,D,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ogbonnia Okoronkwo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Peters,,,,Q,,,,,,,,,,,,,,,
Kevin Peterson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sam Shields,,,,,,,,,Q,,,,,,,,,,
Garrett Sickels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aqib Talib,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Mike Thomas,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlos Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendal Thompson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ethan Westbrooks,,,,,,,,,,,,,,,,Q,Q,,
Trevon Young,,,,,,,,D,,,,,,,,,,,
Greg Zuerlein,,,O,O,O,O,,,,,,,,,,,,,
