,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Vinny Testaverde,12.0,33.0,QB,16,16.0,235.0,6-5,Miami (FL),11/13/1963,9,16.0,Tampa Bay Buccaneers / 1st / 1st pick / 1987,1996,
1,1,Michael Jackson,81.0,27.0,WR,16,16.0,195.0,6-4,Southern Miss,4/12/1969,5,12.0,Cleveland Browns / 6th / 141st pick / 1991,1996,
2,2,Derrick Alexander,82.0,25.0,WR,15,14.0,195.0,6-2,Michigan,11/6/1971,2,11.0,Cleveland Browns / 1st / 29th pick / 1994,1996,
3,3,Jonathan Ogden,75.0,22.0,T,16,16.0,345.0,6-9,UCLA,7/31/1974,Rook,10.0,Baltimore Ravens / 1st / 4th pick / 1996,1996,
4,4,Orlando Brown,77.0,26.0,T,16,16.0,360.0,6-7,"Central State (OH),South Carolina St.",12/12/1970,2,10.0,,1996,
5,5,Tony Jones,66.0,30.0,T,15,15.0,290.0,6-5,Western Carolina,5/24/1966,8,9.0,,1996,
6,6,Wally Williams,63.0,25.0,G,15,13.0,305.0,6-2,Florida A&M,2/20/1971,3,8.0,,1996,
7,7,Jeff Blackshear,69.0,27.0,G,16,12.0,323.0,6-6,"Northwest Mississippi CC,La-Monroe",3/29/1969,3,8.0,Seattle Seahawks / 8th / 197th pick / 1993,1996,
8,8,Bam Morris,33.0,24.0,RB,11,7.0,244.0,6-0,Texas Tech,1/13/1972,2,8.0,Pittsburgh Steelers / 3rd / 91st pick / 1994,1996,
9,9,Earnest Byner,21.0,34.0,RB,16,8.0,215.0,5-10,East Carolina,9/15/1962,12,7.0,Cleveland Browns / 10th / 280th pick / 1984,1996,
10,10,Eric Turner,29.0,28.0,DB,14,14.0,208.0,6-1,UCLA,9/20/1968,5,7.0,Cleveland Browns / 1st / 2nd pick / 1991,1996,
11,11,Brian Kinchen,88.0,31.0,TE,16,16.0,240.0,6-2,LSU,8/6/1965,8,6.0,Miami Dolphins / 12th / 320th pick / 1988,1996,
12,12,Mike Croel,51.0,27.0,LB,16,16.0,238.0,6-3,Nebraska,6/6/1969,5,5.0,Denver Broncos / 1st / 4th pick / 1991,1996,
13,13,Antonio Langham,38.0,24.0,DB,15,14.0,181.0,6-0,Alabama,7/31/1972,2,5.0,Cleveland Browns / 1st / 9th pick / 1994,1996,
