,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,OAK,-1.0,40.0,"W, 19-14",Won,Under,1996
1,2,@PIT,4.0,37.5,"L, 17-31",Lost,Over,1996
2,3,@HOU,3.5,40.0,"L, 13-29",Lost,Over,1996
3,4,NOR,-6.0,41.0,"W, 17-10",Won,Under,1996
4,5,NWE,2.0,39.0,"L, 38-46",Lost,Over,1996
5,6,@IND,9.0,39.0,"L, 21-26",Won,Over,1996
6,7,@DEN,11.0,44.0,"L, 34-45",Push,Over,1996
7,8,STL,-6.0,43.0,"W, 37-31",Push,Over,1996
8,9,CIN,-3.5,45.0,"L, 21-24",Lost,Push,1996
9,10,@JAX,3.5,44.5,"L, 27-30",Won,Over,1996
10,11,@SFO,12.0,45.0,"L, 20-38",Lost,Over,1996
11,12,JAX,-4.0,46.0,"L, 25-28",Lost,Over,1996
12,13,PIT,6.5,43.0,"W, 31-17",Won,Over,1996
13,14,@CIN,3.0,47.0,"L, 14-21",Lost,Under,1996
14,15,@CAR,7.5,43.0,"L, 16-27",Lost,Push,1996
15,16,HOU,-3.0,45.5,"L, 21-24",Lost,Under,1996
16,1,JAX,3.0,43.0,"L, 27-28",Won,Over,1997
17,2,CIN,1.5,47.0,"W, 23-10",Won,Under,1997
18,3,@NYG,2.5,44.0,"W, 24-23",Won,Over,1997
19,4,@TEN,4.5,43.5,"W, 36-10",Won,Over,1997
20,5,@SDG,1.5,44.5,"L, 17-21",Lost,Under,1997
21,6,PIT,2.0,43.5,"L, 34-42",Lost,Over,1997
22,7,MIA,1.0,44.0,"L, 13-24",Lost,Under,1997
23,8,@WAS,6.5,44.5,"W, 20-17",Won,Under,1997
24,9,@NYJ,5.5,46.0,"L, 16-19",Won,Under,1997
25,10,@PIT,6.5,45.0,"L, 0-37",Lost,Under,1997
26,11,PHI,-2.5,41.0,"T, 10-10",Lost,Under,1997
27,12,ARI,-4.0,40.0,"L, 13-16",Lost,Under,1997
28,13,@JAX,8.0,43.5,"L, 27-29",Won,Over,1997
29,14,SEA,-1.0,45.5,"W, 31-24",Won,Over,1997
30,15,TEN,0.0,43.0,"W, 21-19",Won,Under,1997
31,16,@CIN,7.0,45.0,"L, 14-16",Won,Under,1997
32,1,PIT,3.0,42.0,"L, 13-20",Lost,Under,1998
33,2,@NYJ,5.5,44.5,"W, 24-10",Won,Under,1998
34,3,@JAX,7.0,42.0,"L, 10-24",Lost,Under,1998
35,4,CIN,-4.5,40.5,"W, 31-24",Won,Over,1998
36,5,TEN,-3.5,41.0,"L, 8-12",Lost,Under,1998
37,6,@PIT,6.0,37.0,"L, 6-16",Lost,Under,1998
38,7,@GNB,10.5,41.5,"L, 10-28",Lost,Under,1998
39,8,JAX,3.5,42.0,"L, 19-45",Lost,Over,1998
40,9,OAK,2.0,39.0,"W, 13-10",Won,Under,1998
41,10,@SDG,0.0,33.5,"L, 13-14",Lost,Under,1998
