Player,09/13vs. KAN,09/20vs. SDG,09/27vs. CLE,10/04vs. NWE,10/11vs. CIN,10/18vs. MIN,11/01vs. DEN,11/08vs. CIN,11/16vs. CLE,11/22vs. IND,11/29vs. PIT,12/07vs. GNB,12/13vs. DET,12/20vs. CHI,12/27vs. PIT,01/03vs. OAK,01/10vs. NWE,01/16vs. IND
Brendon Ayanbadejo,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Bannan,,,P,P,,,,,,,,,,,P,,,
Antwan Barnes,,,,P,,,,,,,,,,,,,,
Matt Birk,,,,,,,,,,P,P,P,,P,P,,,
Prescott Burgess,,,,,,,,P,,,,P,,,,,,
Chris Carr,,,,,P,,,,P,,,,,,,,,
Mark Clayton,,,,,,P,,,,,,,Q,D,P,,,
Oniel Cousins,,,,,,,,,,,,,,,,P,,
Billy Cundiff,,,,,,,,,,,,,D,,,,,
Lamar Divens,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dannell Ellerbe,O,Q,,,,,,,P,,,,,,,,,
Joe Flacco,,,,,,,P,,,P,,P,P,,,,P,
Jared Gaither,,,P,,D,D,P,,P,,,P,O,O,D,P,,P
K.J. Gerard,,,,,,,,,,,,Q,,O,IR,IR,IR,IR
Tavares Gooden,,P,,O,P,,P,,,Q,,,,O,D,O,P,P
David Hale,,,,,,,,,,,,,D,,,,,
Justin Harper,,,,,,,,,,,,,,,O,,,
Stephen Hauschka,,,,,,,P,,,,,,,,,,,
Todd Heap,,,,P,,,,P,P,P,P,,,,P,,,P
Jarret Johnson,,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,
Edgar Jones,,,,,,P,,,,,,,,,P,,,
Matt Katula,,,,,,,,P,,,,,,,P,,P,
Matt Lawrence,,,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Ray Lewis,,,,P,,,,,P,,P,P,,,,,,
Derrick Mason,,,,P,P,,,,,,,,,P,,P,P,P
Le'Ron McClain,,,,,,,,P,,,,P,,,,,,
Brandon McKinney,,,,,,,,,,,,,O,IR,IR,IR,IR,IR
Haruki Nakamura,,,,,,,,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Haloti Ngata,P,,,,P,P,,O,O,P,P,P,,P,P,,P,
Marcus Paschal,,,,,,,,,,,,,,,,,O,
Jason Phillips,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevor Pryce,,,,P,,,,,,,,,,,,P,P,
Ed Reed,,P,P,,P,,P,,P,,Q,Q,D,O,D,D,P,P
Ray Rice,,,,,,,,,,,,,,P,,,,
Samari Rolle,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
L.J. Smith,D,O,P,,,,,,,,P,O,D,P,P,,,
Marcus Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Troy Smith,,,,O,,,,,,,,,,,,,,
Terrell Suggs,,Q,,,,,,,,O,O,D,P,P,,P,,
Quinn Sypniewski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kelly Talavou,,,,,,,,,,,,,,,O,,,
Adam Terry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Tyree,,,,,,O,P,,,,,,,,,,,
Frank Walker,,,,,,,,O,,,,,,,,,,
Fabian Washington,,,P,,,,,,P,,IR,IR,IR,IR,IR,IR,IR,IR
Kelley Washington,,,,P,,,,,P,,,P,,O,P,,,
Lardarius Webb,,,,,,,,,Q,,,,,,IR,IR,IR,IR
Cary Williams,,,,,,,,,,,,Q,,,,P,,P
Demetrius Williams,,,,,P,,,,,,,P,,,,,,
Marshal Yanda,,,,,,,,,,,,,,,,,P,
Tom Zbikowski,,D,P,,,,,P,,,,,,,,,P,
