Player,09/13vs. NYJ,09/19vs. CIN,09/26vs. CLE,10/03vs. PIT,10/10vs. DEN,10/17vs. NWE,10/24vs. BUF,11/07vs. MIA,11/11vs. ATL,11/21vs. CAR,11/28vs. TAM,12/05vs. PIT,12/13vs. HOU,12/19vs. NOR,12/26vs. CLE,01/02vs. CIN,01/09vs. KAN,01/15vs. PIT
Brendon Ayanbadejo,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,P,,,
Matt Birk,,,,P,,,,,,,,,,,P,P,P,P
Anquan Boldin,,P,,,,,,,,,,,,,,,,
Prescott Burgess,,,,,,,,,,,,,,,,P,,
Chris Carr,,,,P,,,,,,,,,,,,,,P
Chris Chester,,,,P,,,,,,O,O,,,,,,,
Terrence Cody,O,O,,,,,,,,,,,,,,,,
Oniel Cousins,P,,,,,,,,,,,,,,,,,
Morgan Cox,,,,,,,,,,,,,,,,IR,IR,IR
Ed Dickson,,,,,,,,,,,O,P,,,,,,
Dannell Ellerbe,,,P,,,,,,,,,,,,,,P,
Domonique Foxworth,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jared Gaither,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tavares Gooden,,,O,O,O,O,O,Q,,P,,,,P,,O,O,P
Kelly Gregg,,,,,,,P,,,,,,,,,,,
David Hale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ken Hamlin,,,,,,P,,,,,,,,,,,,
Ramon Harewood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Todd Heap,,P,P,P,P,P,Q,P,,P,,,D,O,O,P,,
Jarret Johnson,,P,P,P,,,P,,,,,,,,,,,
Edgar Jones,,,,O,P,P,P,,,,,,,,,,,
Paul Kruger,O,,,,O,D,P,,,,,,,,,,,
Dawan Landry,,,,,,,,,,,,P,,,,,,
Matt Lawrence,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Ray Lewis,,P,,,,,,,,,,,,,,,,
Derrick Mason,,,P,,,,P,P,,,,P,,P,P,P,P,
Jameel McClain,,P,P,,,P,,,,,,,,,,,P,
Le'Ron McClain,,,P,,P,P,,,,,,O,P,,,,,
Willis McGahee,,,,,,,,,,,,,,,,,,
Tony Moll,,,,P,,,P,,,,,,,,P,,,
Haruki Nakamura,,,,,,,P,,,,,,,,P,,,
Haloti Ngata,,,P,,,P,,,,,,,,,,,P,
Michael Oher,,,,,,,,,,,,P,,,,,P,
Marcus Paschal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Phillips,,,,,P,,,,,,,,,,O,Q,,
Dennis Pitta,,,,,,,,O,Q,,,,,,,O,O,
Cory Redding,,,,O,,,,,,,P,,,,,,,
David Reed,,,,,,,O,,,,,,,,O,Q,O,
Ed Reed,PUP,PUP,PUP,PUP,PUP,PUP,,Q,,,P,,,,,P,P,
Ray Rice,,,P,P,P,P,P,,,,,,,,,,,
Marcus Smith,,P,,,,,P,,,,,,,,P,,,
Donte' Stallworth,O,O,O,O,O,O,O,P,,,,,,,,,,P
Terrell Suggs,,,P,,,,,,,,,,,,,,P,
Kelly Talavou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fabian Washington,,,,,P,,,,,P,,,O,P,,P,,
Lardarius Webb,O,,,,,,,,,,,,P,,,,,
Josh Wilson,,,,,,Q,P,,,,,,,,,,P,
Tom Zbikowski,,,,,P,,O,O,D,O,O,,P,O,O,O,O,O
