Player,09/11vs. PIT,09/18vs. TEN,09/25vs. STL,10/02vs. NYJ,10/16vs. HOU,10/24vs. JAX,10/30vs. ARI,11/06vs. PIT,11/13vs. SEA,11/20vs. CIN,11/24vs. SFO,12/04vs. CLE,12/11vs. IND,12/18vs. SDG,12/24vs. CLE,01/01vs. CIN,01/15vs. HOU,01/22vs. NWE
Anthony Allen,,,,,,O,O,O,O,O,O,O,O,O,Q,,,
Brendon Ayanbadejo,,,,,,,,,P,,,,,,,,P,
Matt Birk,,,P,P,,,,P,P,,,,P,,,,,
Anquan Boldin,,,,,,,,,,,,,,,O,O,P,
Chykie Brown,,,,,,,O,O,O,,,,,,,,,
Prescott Burgess,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Carr,,O,P,O,O,O,P,,,,O,O,O,,Q,,,
Terrence Cody,,,P,,,,,,,,,,,,,,,
Billy Cundiff,,,,,,,,,,,,,P,D,D,P,,
Dannell Ellerbe,,,,D,P,O,O,O,D,P,O,P,,,,D,P,
Lee Evans,,P,D,D,O,D,O,D,D,P,,,,,,,,
Domonique Foxworth,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny Gorrer,,,,,,,O,P,,,,,,,,,,
Ben Grubbs,P,D,O,O,O,O,O,P,,,,,P,P,,,,
Ramon Harewood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jarret Johnson,,,,,,P,,,,,,,,,,,,
Arthur Jones,,,,,,,,,,O,O,P,,,,P,,
Matt Lawrence,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vonta Leach,,P,,,,,,,,,,,,,,,,
Ray Lewis,,,,,,,,,,O,D,D,O,P,,,,
Michael McAdoo,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Jameel McClain,,,,,,,,,,,,,,,,,P,
Haruki Nakamura,,,,O,P,,,,,,P,,,,,,,
Haloti Ngata,,,,,,,,P,,,,,,P,,,,
Marcus Paschal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Phillips,Q,Q,,,,,,,,,,,,,,,,
Bernard Pollard,,,,,,,,,,,,,,,,P,,
Cory Redding,,,P,P,,,,,,,,,,P,O,P,,
David Reed,,P,O,O,P,,,P,,,,,,,,IR,IR,IR
Ed Reed,,,,,,,P,,P,,,,,,,,,P
Ray Rice,,,,,,,,,,,,,,,,,,Q
Jimmy Smith,,O,O,O,O,P,,,,,,,P,,,,P,
Terrell Suggs,,,,,,,,,P,,,,,,,,,
Lardarius Webb,,,,,,,,,,,,,,P,,,,
Cary Williams,,,,,,,,,,,,,,,,P,,
Chavis Williams,,,,,,,,,,,,,,,IR,IR,IR,IR
Kris Wilson,,,,,,,,,,,,,,,,,,
Marshal Yanda,,,,,,,,,,,,,,,,D,P,
Tom Zbikowski,,,,,O,D,P,,,,,,,,,,P,
