Player,09/10vs. CIN,09/16vs. PHI,09/23vs. NWE,09/27vs. CLE,10/07vs. KAN,10/14vs. DAL,10/21vs. HOU,11/04vs. CLE,11/11vs. OAK,11/18vs. PIT,11/25vs. SDG,12/02vs. PIT,12/09vs. WAS,12/16vs. DEN,12/23vs. NYG,12/30vs. CIN,01/06vs. IND,01/12vs. DEN,01/20vs. NWE,02/03vs. SFO
Anthony Allen,,,,,,,,,,,,,,,,,P,,P,
Brendon Ayanbadejo,,,,P,,,,,,,P,,,,,,,,,
Billy Bajema,,,,,,,,,,,,,,,,,P,,,
Damien Berry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Birk,,P,,,,,,,,,,,,,,,,,,
Darryl Blackstock,IR,,,,,,,,,,,,,,,,,,,
Anquan Boldin,,,,,,,,,,,,P,,,,P,P,P,P,P
Justin Boren,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chykie Brown,,,,,,,,P,,,,,P,P,,,,,P,
Ricky Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Bynes,O,O,,,,,,,P,,,,P,,,,,,,
Terrence Cody,,,,,,,,,,P,P,P,,,,,,,P,
Sean Considine,P,,,,,,,,P,P,,,,,,,,,,
Emanuel Cook,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Morgan Cox,,,,,,,,,P,,,,,,,,,,,
Ed Dickson,,,,,,,,P,,,,D,O,D,P,,,,,
Tandon Doss,,,,,,,,P,,,,,,,Q,Q,Q,,,P
Dannell Ellerbe,,,,,,,,P,P,P,P,Q,O,Q,Q,P,P,P,P,P
Gino Gradkowski,,,,,,,,,,,,,,,,,,,P,
Corey Graham,,,,,,,,,,,,P,,,,,,,,
Adrian Hamilton,,,,,,,,,,,,,,,,,,P,,
Ramon Harewood,,,,,,,P,,,,,,,,,,,,,
James Ihedigbo,,,,,,,,P,,,P,,P,,P,,,,,
Asa Jackson,Q,,,,,,,,,,,,Q,,,,,P,O,P
Chris Johnson,,,,,,,,,,,D,Q,P,,,,O,Q,,
Arthur Jones,,,,,,,,,,,,,,Q,Q,Q,P,,P,
Jacoby Jones,,,,,,,,P,P,P,P,P,P,P,,P,,,,
Ma'ake Kemoeatu,,,,,,,Q,P,P,,,,,,,,,,,
Paul Kruger,,Q,P,,,,,,,,,,,,,,,,,
Vonta Leach,,,,,,,,,,,,,P,P,Q,P,P,P,P,P
Anthony Levine,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ray Lewis,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,P,P,P,P,P
Michael McAdoo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan McBean,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jameel McClain,,,P,,,,,,,,,,,O,O,IR,IR,IR,IR,IR
Albert McClellan,,,,,,,,,,,,,,,Q,Q,P,P,P,P
Bryant McKinnie,,,,,,,Q,P,,,,,,,,,,,,
Pernell McPhee,,Q,P,,,,,O,O,D,Q,Q,P,Q,P,P,P,P,P,P
Haloti Ngata,,,,,,P,Q,Q,Q,P,Q,,,,,Q,P,P,P,
Michael Oher,,,P,,,,,P,P,,,,,,,,,,,
Kelechi Osemele,,,,,,,,P,,,,,,,,,P,,,
Bernard Pierce,,,,,,,,,,,,,,P,D,,P,P,Q,P
Dennis Pitta,,,,,,,,,,,D,P,,,,P,,,,P
Bernard Pollard,,,P,,,,,P,P,P,P,P,P,Q,D,P,Q,P,P,P
Bobby Rainey,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Reed,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,P,Q,P
Ed Reed,,P,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P
Jah Reid,D,O,D,Q,Q,P,,,,,,,,,,,O,IR,IR,IR
Ray Rice,,,,,,,,,,P,,,,P,,Q,,,,
Jimmy Smith,,,,,,,Q,P,P,O,O,O,D,P,P,P,P,P,P,P
Torrey Smith,,,Q,,P,,,,,P,,P,,,Q,,,P,P,
Tommy Streeter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrell Suggs,PUP,PUP,PUP,PUP,PUP,PUP,,P,P,P,P,P,Q,Q,P,P,P,P,P,P
Christian Thompson,,,,,,,,,,Q,,,,,,,,,,
Deonte Thompson,,,,,,,,,,,,,,P,P,,,,,
DeAngelo Tyson,,,,,,,,P,,,,,,,,,,,,
Courtney Upshaw,P,,,,,,,,,P,P,,,,,,,,,
Lardarius Webb,,,P,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bobbie Williams,,,,,,,,,Q,P,Q,,,,,,,,,
LaQuan Williams,,,,,,,,Q,,,,,,P,P,IR,IR,IR,IR,IR
Marshal Yanda,,,,,,,,P,Q,P,P,,,O,Q,Q,P,P,P,P
