Player,09/05vs. DEN,09/15vs. CLE,09/22vs. HOU,09/29vs. BUF,10/06vs. MIA,10/13vs. GNB,10/20vs. PIT,11/03vs. CLE,11/10vs. CIN,11/17vs. CHI,11/24vs. NYJ,11/28vs. PIT,12/08vs. MIN,12/16vs. DET,12/22vs. NWE,12/29vs. CIN
Arthur Brown,,,D,Q,Q,,,,,,,,,,,
Chykie Brown,,,Q,,,P,Q,,,,,,,,,
Marlon Brown,,,,P,Q,P,,,P,Q,P,,,,,
D.J. Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Bynes,,,,,,,O,P,,,,,,,,
Chris Canty,,,D,Q,,,P,,,P,,P,Q,,,
Dallas Clark,,,,,,,,,,,,,,,P,
Terrence Cody,Q,,,D,D,D,Q,P,,,,,,,,
Ed Dickson,D,,,,,,,,,,,,,,,
Shaun Draughn,,,,Q,Q,P,,,,,,,,,,
Elvis Dumervil,,,,,,,,,,,,,D,Q,Q,Q
Joe Flacco,,,,,,,,,,,,,,Q,P,
Gino Gradkowski,,,,,,,,,,,,,,,,Q
Corey Graham,,,,,,,,,Q,,,,Q,,,
Adrian Hamilton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Huff,,,,,,Q,,,,,,,,,,
James Ihedigbo,,,,,,,,,Q,P,,,,,,
Asa Jackson,,,,,,,,,P,,,,Q,,D,D
Ryan Jensen,D,D,O,D,D,Q,Q,P,,,,,,,,
Arthur Jones,O,P,,,,,,,,,,,,,,D
Jacoby Jones,,O,O,O,O,Q,,,,,,,,,,
Kapron Lewis-Moore,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Jameel McClain,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,
Albert McClellan,,,,,Q,Q,Q,,,,,,,,Q,P
Pernell McPhee,P,,,Q,,,,,,,,,,,,
Aaron Mellette,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Haloti Ngata,,,,,,Q,Q,,Q,Q,Q,,,,,
Michael Oher,,P,,,,,,P,,,,,,,,
Kelechi Osemele,,,,,,Q,,O,O,O,O,IR,IR,IR,IR,IR
Bernard Pierce,,P,,,,P,,P,,P,,,,,,
Dennis Pitta,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ray Rice,,P,D,Q,,,,,,,,,,,P,P
Daryl Smith,,,,,,,,,Q,Q,Q,,,,,
Jimmy Smith,,,,,,,,,Q,P,,,P,,,
Torrey Smith,,,,,,,,,,,,,,,,P
Marcus Spears,,,,,Q,Q,P,,,,,,,,,
Brandon Stokley,,,,Q,Q,Q,D,Q,Q,P,P,Q,Q,IR,IR,IR
Terrell Suggs,,,,,,,,,P,P,,,,,,
Deonte Thompson,D,D,D,Q,Q,,,,,,,,,,,
Brynden Trawick,,,,,,,,,,,,O,O,Q,P,
Courtney Upshaw,,,,,,,Q,,,,,,,,,
Lardarius Webb,,,,Q,Q,,Q,,,Q,Q,,Q,P,,
Brandon Williams,D,D,D,Q,,,,,,,,,,,,
