Player,09/13vs. DEN,09/20vs. OAK,09/27vs. CIN,10/01vs. PIT,10/11vs. CLE,10/18vs. SFO,10/26vs. ARI,11/01vs. SDG,11/15vs. JAX,11/22vs. STL,11/30vs. CLE,12/06vs. MIA,12/13vs. SEA,12/20vs. KAN,12/27vs. PIT,01/03vs. CIN
Kyle Arrington,,,,,,,,,,,,,,D,,
Nick Boyle,,,,,,,,,,D,P,,,,,
Terrence Brooks,,,,,,O,O,P,,,,,,,,
Marlon Brown,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Michael Campanaro,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Canty,P,P,O,O,O,O,P,,P,P,,P,P,IR,IR,IR
Will Davis,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Elvis Dumervil,,,,,,Q,P,,,P,,,P,P,,P
Matt Elam,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Flacco,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Chase Ford,,,,,,,,,,,D,IR,IR,IR,IR,IR
Justin Forsett,,P,,,,Q,,,,,IR,IR,IR,IR,IR,IR
Crockett Gillmore,,,,O,O,Q,,,P,,,,IR,IR,IR,IR
Chris Givens,,,,,,Q,,,,,,,,,,
Will Hill,,,P,,,,,,,,,,,,,
Asa Jackson,,,,,,,Q,,,,,,,,,
Timmy Jernigan,D,P,,,,,,,,,,,,,,
Kyle Juszczyk,,,,,,,,,,,,,,,,P
Kendrick Lewis,,,,,,,Q,Q,,,,,,,,
Albert McClellan,,,,,P,,,,,,,,,D,D,Q
Rashaan Melvin,D,Q,,,,,,,,,,,,,,
Eugene Monroe,,O,O,O,P,,,D,P,,IR,IR,O,IR,IR,IR
C.J. Mosley,,,P,,,,,,,,,,,,,
Kelechi Osemele,,,,,,,,Q,,Q,D,P,,P,,
Breshad Perriman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dennis Pitta,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Allen Reisner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Schaub,,,,,,,,,,,,,Q,P,,
Daryl Smith,P,P,,,P,P,P,,P,P,,P,P,P,P,P
Jimmy Smith,,,,,,,,,,,,,P,,P,
Steve Smith,,,,,D,Q,,P,IR,IR,IR,IR,IR,IR,IR,IR
Terrell Suggs,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lorenzo Taliaferro,O,P,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brent Urban,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Ricky Wagner,,,,,,,,,,,,P,P,,P,
Tray Walker,,,Q,,,,,O,P,,,,,,,
Darren Waller,,Q,,,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lardarius Webb,,,,,,D,Q,,,,,,,,,
Terrance West,,,,,,,,,,,,,,Q,,
Brandon Williams,,,,,,,,,,,,,P,,,
Maxx Williams,,,,,,,O,Q,,,,O,P,,,
Julian Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shareece Wright,,,,,,,,,,,Q,,,,,
Marshal Yanda,,,,,P,Q,P,,,,,,,P,,
Jeremy Zuttah,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR
