Player,09/11vs. BUF,09/18vs. CLE,09/25vs. JAX,10/02vs. OAK,10/09vs. WAS,10/16vs. NYG,10/23vs. NYJ,11/06vs. PIT,11/10vs. CLE,11/20vs. DAL,11/27vs. CIN,12/04vs. MIA,12/12vs. NWE,12/18vs. PHI,12/25vs. PIT,01/01vs. CIN
Javorius Allen,,,,,,,,,,,,D,,,,
Kyle Arrington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Campanaro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Maurice Canady,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kaelin Clay,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kamalei Correa,,,,,,,,O,Q,Q,,,,,IR,IR
Carl Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenneth Dixon,O,O,O,D,Q,,,,Q,,,,,,,
Elvis Dumervil,O,O,Q,Q,,O,O,O,O,D,D,,,,,
Matt Elam,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Joe Flacco,,,,,,,Q,,,,,,,,,
Crockett Gillmore,,,,,,,,O,O,O,D,O,O,Q,,
Willie Henry,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Bronson Kaufusi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Levine,,,,,,,,,,,,,,Q,Q,
Alex Lewis,,,,Q,,,,,,O,O,O,D,Q,Q,Q
Kendrick Lewis,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cavellis Luckett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Albert McClellan,,,,,,Q,,,,,,,,,,
C.J. Mosley,,Q,,,,D,O,Q,,Q,,,,,,
Stephane Nembot,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zach Orr,,,,,,,,,,,,,,,,O
Breshad Perriman,,Q,,,,,,,,,,,,,,
Dennis Pitta,Q,,,,,,,,,,,,,,,
Jerraud Powers,O,Q,,,,,Q,,,,,,,Q,,
Sheldon Price,,,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jumal Rolle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Smith,,,,,,,Q,,,D,D,Q,,IR,IR,IR
Za'Darius Smith,,Q,,,,,,,,,,,,,,
Ronnie Stanley,,,Q,D,D,D,Q,Q,,,,,,,,
Terrell Suggs,,,,,,,D,Q,,,,,,,,
Lorenzo Taliaferro,IR,IR,IR,IR,IR,IR,,,,D,O,O,O,IR,IR,IR
Brent Urban,,,,,,,,,,,,,,,Q,
John Urschel,Q,Q,Q,Q,,,,,,,,,,,,
Mike Wallace,,,,,,Q,,,,,,,,,,
Ben Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lardarius Webb,,,,,,,,Q,,,,,,,,
De'Ondre Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Williams,,,,,,,,,,,Q,,,,,
Maxx Williams,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shareece Wright,Q,,,,,Q,D,D,O,Q,,,,,,
Marshal Yanda,,,,,,D,D,Q,D,Q,Q,,Q,,,
Tavon Young,,,,,,,,Q,,,,,,,,
