Player,09/09vs. BUF,09/13vs. CIN,09/23vs. DEN,09/30vs. PIT,10/07vs. CLE,10/14vs. TEN,10/21vs. NOR,10/28vs. CAR,11/04vs. PIT,11/18vs. CIN,11/25vs. OAK,12/02vs. ATL,12/09vs. KAN,12/16vs. TAM,12/22vs. LAC,12/30vs. CLE,01/06vs. LAC
Quincy Adeboyejo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Averett,,,O,O,O,O,Q,Q,,,,,,,,,
Nick Boyle,,,,,,,,,,,,,,,Q,,
Bradley Bozeman,,,,,,,,Q,Q,,,,,,,,
Bam Bradley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Brown,,,,,,,,,,,,,,,,Q,
Maurice Canady,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Brandon Carr,,,,Q,Q,Q,,,,,,,,,,,
Alex Collins,,,,,,,,,Q,,IR,Q,IR,IR,IR,IR,IR
Kenneth Dixon,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Gus Edwards,,,,,,,,,,,,Q,,,,,
DeShon Elliott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Flacco,,,,,,,,,,D,O,D,Q,Q,,,
Janarion Grant,,Q,,,,,,,,,,,,,,,
Willie Henry,O,O,O,O,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jaylen Hill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marlon Humphrey,,,,,,,Q,O,Q,,,,Q,Q,,,
Hayden Hurst,O,O,O,Q,Q,,,,,,,,,,,,
James Hurst,,,,,,,Q,O,O,O,O,D,Q,,,,
Bennett Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stanley Jean-Baptiste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Jefferson,,,,,,,,,Q,Q,,O,D,Q,,,
Matt Judon,,,Q,,,,,,,,,,,,Q,,
Jordan Lasley,,,,,,,,,Q,,,,,,,,
Anthony Levine,,,,Q,Q,Q,Q,Q,,,Q,Q,Q,Q,Q,Q,
Alex Lewis,,,,,Q,,O,D,Q,,Q,,Q,D,Q,Q,
Steven Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Mosley,,,Q,Q,,,,,Q,,,,,,,,
Michael Pierce,,,Q,Q,Q,Q,,,,,,,,,,,
Jaleel Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Senat,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Smith,,,,,,,,Q,,,,,,,,,
Za'Darius Smith,,,,,Q,,,,,,,,,,,,
Ronnie Stanley,,,Q,Q,,,,,O,Q,,,,,,,
Terrell Suggs,,,,Q,,,,,,,,,,,,Q,
Alex Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
De'Lance Turner,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kaare Vedvik,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tim Williams,,,,,O,Q,,,O,O,Q,Q,Q,Q,,,
Kenny Young,Q,,,,,,,,,,,,,,,,
Tavon Young,,,,,,Q,,,,Q,Q,Q,Q,Q,,Q,
