Player,09/08vs. MIA,09/15vs. ARI,09/22vs. KAN,09/29vs. CLE,10/06vs. PIT,10/13vs. CIN,10/20vs. SEA,11/03vs. NWE,11/10vs. CIN,11/17vs. HOU,11/25vs. LAR,12/01vs. SFO,12/08vs. BUF,12/12vs. NYJ,12/22vs. CLE,12/29vs. PIT,01/11vs. TEN
Otaro Alaka,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mark Andrews,,Q,Q,Q,,Q,,,,,,,,Q,,Q,Q
Anthony Averett,,,,,,,Q,,,,,,,,,,
Chris Board,,,,,,,,,,,,,,O,Q,,
Tyus Bowser,,Q,,,,,,,,,,,,,,,
Miles Boykin,,,,,,,,,,,,Q,,,,,
Nick Boyle,,,,,,,,,,,,Q,,,,,
Bradley Bozeman,,,,,,,,,,,,Q,,,,,
Marquise Brown,Q,Q,,,,Q,Q,Q,Q,Q,,,Q,,,Q,
Maurice Canady,,,,,,,Q,Q,,,,,,,,,
Brandon Carr,Q,,,,,,,,,,,,,,,,
Randin Crecelius,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenneth Dixon,IR,,,,,,,,,,,,,,,,
Parker Ehinger,,,,,,,,,,,,,,,,,IR
DeShon Elliott,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marlon Humphrey,,Q,,Q,,,,,,,,,Q,,,,
Mark Ingram,,Q,,,,,,,,,,,,,,O,Q
Bennett Jackson,,,,,,,,Q,,,,,,,,,
Lamar Jackson,,,,,,,,,Q,,,,,Q,,,
Tony Jefferson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alvin Jones,IR,IR,,,,,,,,,,,,,,,
Cyrus Jones,Q,,,,Q,,,,,,,,,,,,
Matt Judon,,,,,,,,,,,,Q,,,,,
Anthony Levine,,,,,,,,,,,,,,Q,,,
Daylon Mack,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR
Iman Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Pernell McPhee,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Patrick Mekari,,,,,,,,Q,,,,,,,,,
Chris Moore,,,,,,,,,Q,Q,Q,,,,,,
Patrick Onwuasor,,,,,,Q,Q,Q,,,,,Q,,,,
Domata Peko,,,,,,,,,,,,Q,,,,,
Marcus Peters,,,,,,,,,,,,,,,,Q,
Michael Pierce,,,,,,,,,,D,D,Q,,,,,
Ben Powers,,,,,,,,,,,Q,,,,,,
Patrick Ricard,Q,,Q,,,,,,,,,,,,,,
Seth Roberts,,,,,,,,,,,,,Q,,,,
Matt Skura,,,,,Q,,,,,,,IR,IR,IR,IR,IR,IR
Jimmy Smith,,O,O,O,O,O,D,Q,,,,,,,,Q,
Fish Smithson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ronnie Stanley,,,,,,,Q,,Q,,Q,,,D,Q,,
Earl Thomas,,,,,,,,Q,Q,,,,,,,Q,
Brynden Trawick,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Jihad Ward,,,,,,,,,,,,,,Q,,,
Brandon Williams,,,,,Q,,,,,,,,,,,,
Marshal Yanda,,,,,,,,,Q,,,,,,,,
Tavon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
