Player,09/13vs. CLE,09/20vs. HOU,09/28vs. KAN,10/04vs. WAS,10/11vs. CIN,10/18vs. PHI,11/01vs. PIT,11/08vs. IND,11/15vs. NWE,11/22vs. TEN,12/02vs. PIT,12/08vs. DAL,12/14vs. CLE,12/20vs. JAX,12/27vs. NYG,01/03vs. CIN,01/10vs. TEN,01/16vs. BUF
Otaro Alaka,,,,,,,IR,,,,,,,,,,IR,
Mark Andrews,,,,,Q,,,,,,Q,C19,C19,,,,,
Anthony Averett,,,,,,,IR,IR,IR,IR,IR,IR,,Q,,,,
Terrell Bonds,,,,,,,,,,IR,IR,C19,C19,C19,IR,IR,,
Tyus Bowser,,,,,,,,C19,,,,,,,,,,
Miles Boykin,,,,,,Q,,,,,,,,C19,,,,
Nick Boyle,,,,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Bredeson,,,,,,,,,,,,,,,,,Q,IR
Jacob Breeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marquise Brown,,,,,Q,,,,,,,,,C19,Q,,,
Dez Bryant,,,,,,,,,,,,,C19,C19,Q,,,
Calais Campbell,,,,,,,,,O,D,C19,C19,Q,Q,Q,Q,,
Chuck Clark,,,,,,,,,,,,Q,,,,,,
Morgan Cox,,,,,,,,,,,C19,C19,,,,,,
J.K. Dobbins,,,,,,,,,,,C19,C19,,,,,,
Khalil Dorsey,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin Duvernay,,,,,,,,Q,,,,,,,,,,
Gus Edwards,,,,,,,,,,,,,,,,Q,,
DeShon Elliott,,,,,,,,,,,,Q,,,,,,
Jaylon Ferguson,,,,,,,,,,,C19,Q,,,,,,
D.J. Fluker,,,Q,,,,,,,,C19,Q,,,,Q,Q,Q
L.J. Fort,,,,Q,,,,O,Q,Q,,,,,,,,
Robert Griffin III,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Davontae Harris,,,,,,,,,,,,Q,,Q,IR,IR,IR,IR
Malik Harrison,,,,,,,,C19,,,,,,,,,,
Justice Hill,O,Q,,Q,,,,,,,,,,,,,,
Marlon Humphrey,,,,,,,,C19,C19,,,,,,,Q,Q,
Mark Ingram,,,,,,,D,D,Q,,C19,C19,,,,Q,,
Lamar Jackson,,,,,Q,,,,,,C19,C19,,,,,,
Matt Judon,,,,,,,,C19,Q,,C19,C19,C19,,,,,
Sam Koch,,,,,,,,,,,,,,,,C19,C19,
Anthony Levine,,,Q,Q,Q,Q,Q,,,,,,Q,Q,Q,,,
Justin Madubuike,O,O,Q,Q,Q,,,,,,C19,C19,,,,,,
Iman Marshall,,,,,,,IR,,,,C19,IR,IR,IR,IR,IR,IR,IR
Pernell McPhee,,,,,,,,,,,,,,,Q,,,
Trace McSorley,,,,,,,,,,C19,C19,,,IR,IR,IR,IR,IR
Patrick Mekari,,,,,,,,,,,C19,C19,,,,Q,Q,
Chris Moore,O,O,Q,Q,Q,Q,,D,IR,IR,IR,IR,IR,IR,,,,
Yannick Ngakoue,,,,,,,,,,,,,,,,Q,Q,
Marcus Peters,,,,,Q,Q,,,,,,,,Q,Q,Q,,Q
Tyre Phillips,Q,,,,D,Q,,IR,IR,IR,Q,,,,Q,,,
James Proche,,,,,,,,,,,,,,C19,,,,
Patrick Queen,,,,,,,,C19,,,,,,,,,,
Patrick Ricard,,,,,,,,,,,C19,C19,,,Q,,,
Matt Skura,,,,,,,,,,,C19,,,,Q,,,
Andre Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Smith,,Q,,Q,Q,Q,Q,Q,D,Q,Q,Q,Q,O,O,Q,Q,
Willie Snead,,,,,,,,,,,C19,C19,C19,,,Q,Q,
Ronnie Stanley,,Q,,Q,Q,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Geno Stone,,,,,,,,,,,,C19,C19,C19,,,,
De'Anthony Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Binjimen Victor,,,,,,,,,,,,,,,,,,/
Jihad Ward,,,,,,,,,,,C19,C19,,,,,,
Broderick Washington Jr.,,,,,Q,,,,,,C19,D,Q,Q,,,,
Kristian Welch,,,,,,,,,,,,Q,,O,Q,,,
Antoine Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeAndrew White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Williams,,,,,,C19,C19,,,D,C19,Q,,,,,,
Tramon Williams,,,,,,,,,,,,D,D,Q,,,,
Luke Willson,,,,,,,,,,,Q,,Q,Q,,,,
Derek Wolfe,,,,Q,Q,D,,,,,Q,,,Q,,,,
Tavon Young,,,O,,,,IR,,,,,,,,,,IR,
