,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,1,373,26.6,3,336,24.0,4,7.9,6.1,2.31,7,-0.33
1961,1,396,28.3,3,219,15.6,1,11.2,2.8,11.06,3,-1.58
1962,3,314,22.4,5,392,28.0,7,5.2,8.8,-4.88,15,.70
1963,1,399,28.5,1,255,18.2,1,10.4,3.6,9.00,4,-1.29
1964,1,341,24.4,4,300,21.4,3,8.1,5.9,2.56,9,-0.37
1965,1,340,24.3,1,227,16.2,2,10.1,3.9,7.06,5,-1.01
1966,3,335,23.9,3,284,20.3,4,8.4,5.6,4.09,8,.45
1967,3,360,25.7,4,352,25.1,6,7.2,6.8,.33,12,-0.25
1968,3,382,27.3,3,310,22.1,5,8.7,5.3,6.19,8,1.05
1969,3,288,20.6,5,276,19.7,4,7.4,6.6,1.51,11,.66
1970,3,282,20.1,14,278,19.9,17,7.1,6.9,-0.70,15,-0.98
1971,3,311,22.2,7,341,24.4,23,6.2,7.8,-4.06,18,-1.92
1972,4,264,18.9,18,344,24.6,20,4.9,9.1,-2.82,20,2.90
1973,4,188,13.4,25,386,27.6,24,2.2,11.8,-12.00,25,2.14
1974,4,212,15.1,20,285,20.4,19,4.6,9.4,-4.82,21,.40
1975,4,189,13.5,25,345,24.6,20,2.7,11.3,-9.40,24,1.74
1976,3,248,17.7,19,285,20.4,18,5.9,8.1,-1.17,16,1.47
1977,3,222,15.9,18,205,14.6,6,7.7,6.3,3.75,10,2.53
1978,4,355,22.2,6,309,19.3,21,9.3,6.7,3.60,6,.73
1979,1,411,25.7,2,246,15.4,2,12.3,3.7,11.78,2,1.46
1980,1,418,26.1,4,327,20.4,18,10.3,5.7,6.04,6,.35
1981,1,478,29.9,1,390,24.4,26,9.9,6.1,4.44,6,-1.06
1982,2,288,32.0,1,221,24.6,24,5.9,3.1,5.30,6,-2.14
1983,4,358,22.4,12,462,28.9,28,5.7,10.3,-4.64,25,1.86
1984,5,394,24.6,6,413,25.8,24,7.6,8.4,.81,15,2.00
1985,4,467,29.2,1,435,27.2,25,8.7,7.3,1.12,11,-0.88
1986,5,335,20.9,15,396,24.8,24,6.4,9.6,-1.91,21,1.91
1987,3,253,16.9,27,317,21.1,15,5.5,9.5,-3.74,24,.52
1988,4,231,14.4,27,332,20.8,18,4.8,11.2,-7.38,28,-1.07
1989,5,266,16.6,23,290,18.1,9,7.2,8.8,-0.73,16,.77
1990,4,315,19.7,17,281,17.6,10,9.1,6.9,2.33,13,.20
1991,5,274,17.1,21,342,21.4,21,5.9,10.1,-2.25,18,2.00
1992,1,335,20.9,9,241,15.1,4,11.0,5.0,3.10,11,-2.77
1993,4,322,20.1,10,290,18.1,12,9.0,7.0,2.27,10,.27
1994,1,381,23.8,5,306,19.1,9,10.0,6.0,3.59,7,-1.10
1995,2,321,20.1,19,323,20.2,6,7.9,8.1,1.49,12,1.61
1996,3,310,19.4,18,376,23.5,24,6.2,9.8,-1.76,21,2.37
1997,5,266,16.6,26,425,26.6,30,4.0,12.0,-8.91,30,1.03
1998,5,241,15.1,29,342,21.4,18,4.9,11.1,-8.39,28,-2.08
1999,3,269,16.8,28,316,19.8,10,6.5,9.5,-0.99,20,1.95
2000,5,269,16.8,26,440,27.5,29,3.8,12.2,-8.09,27,2.59
2001,5,332,20.8,14,321,20.1,16,8.3,7.7,-0.27,14,-0.96
2002,3,333,20.8,20,367,22.9,22,7.1,8.9,-0.72,20,1.40
2003,4,313,19.6,16,441,27.6,31,4.9,11.1,-6.80,29,1.20
2004,1,446,27.9,3,313,19.6,11,11.2,4.8,9.12,3,.81
2005,3,418,26.1,5,312,19.5,13,10.7,5.3,9.94,3,3.32
2006,1,492,30.8,1,303,18.9,7,12.1,3.9,10.20,2,-1.62
2007,1,412,25.8,5,284,17.8,5,11.3,4.7,8.79,5,.79
2008,1,439,27.4,2,347,21.7,15,10.2,5.8,4.96,8,-0.79
2009,1,454,28.4,4,320,20.0,11,11.1,4.9,6.64,8,-1.73
2010,2,441,27.6,2,322,20.1,10,10.9,5.1,4.82,7,-2.62
2011,2,406,25.4,5,377,23.6,22,8.7,7.3,.87,16,-0.94
2012,2,350,21.9,20,350,21.9,16,8.0,8.0,-2.35,21,-2.35
2013,3,396,24.8,12,348,21.8,11,9.2,6.8,2.66,11,-0.34
2014,2,348,21.8,17,348,21.8,13,8.0,8.0,1.86,15,1.86
2015,4,320,20.0,26,398,24.9,21,6.0,10.0,-2.65,20,2.23
2016,4,410,25.6,9,423,26.4,29,7.7,8.3,.06,19,.87
2017,2,355,22.2,13,272,17.0,3,10.4,5.6,3.64,10,-1.54
2018,2,428,26.8,6,329,20.6,8,10.4,5.6,5.95,6,-0.23
2019,4,337,21.1,21,345,21.6,14,7.8,8.2,-1.32,19,-0.82
2020,3,384,24.0,18,426,26.6,23,7.0,9.0,-2.92,23,-0.30
2021,3,37,18.5,27,36,18.0,7,1.0,1.0,-15.49,23,-15.99
