Player,09/13vs. KAN,09/19vs. JAX,09/26vs. SEA,10/03vs. ARI,10/10vs. OAK,10/17vs. STL,10/24vs. NWE,10/31vs. TEN,11/07vs. HOU,11/22vs. DEN,11/28vs. IND,12/05vs. OAK,12/12vs. KAN,12/16vs. SFO,12/26vs. CIN,01/02vs. DEN
Antwan Applewhite,,,,,P,,,,,,,,,,P,P
David Binn,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kris Brown,,,,,,,,P,,,,,,,,
Kevin Burnett,,,,,,,,,P,,,,,,,
Donald Butler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Luis Castillo,,,,,,,,,,,P,,,,,
Jacques Cesaire,,,,,,,,,,,,,,P,,
Stephen Cooper,,D,O,P,,,,,,,,P,P,,O,IR
Patrick Crayton,,,,,,,,,,,O,O,O,O,D,D
Craig Davis,,,,,,P,P,O,IR,IR,IR,IR,IR,IR,IR,IR
Kris Dielman,,,,P,,,,,O,Q,,,,,,
Larry English,,,O,O,O,O,O,O,P,,,,,O,P,D
Malcom Floyd,,,P,,,,D,D,D,P,Q,P,,O,O,P
Antonio Garay,,,,,,,,,,,,P,P,P,,
Antonio Gates,,,,,,,P,P,Q,Q,D,P,Q,D,D,IR
Richard Goodman,,,,,,,,P,P,,,,,,,
Steve Gregory,,,,,,,,,P,D,O,O,Q,,,
Jacob Hester,,P,,,,,,,,,P,,,,P,D
James Holt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vincent Jackson,,,,,,,,,,,,D,D,,,
Quentin Jammer,,,P,,,,,,,,,,,,,
Travis Johnson,,,,,,,,,,Q,O,O,Q,,,
Nate Kaeding,,,,,,,D,D,O,P,,,,,,
Ryan Mathews,,,D,P,P,P,P,,,D,D,O,Q,,P,
Randy McMichael,,,,,,,,,,,P,,,,,
Marcus McNeill,,,,,,,,,,,,,,P,,
Shawne Merriman,D,P,,D,P,IR,IR,IR,,,,,,,,
Scott Mruczkowski,,,,,,,,,,,,,,,P,Q
Legedu Naanee,,,,,,D,D,D,D,D,P,P,D,P,,
Ryan Neill,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Scifres,,,,,,,,,P,,,,,,,
Brandon Siler,,,,P,D,D,P,O,D,P,,,,P,P,P
Darren Sproles,,,,,,,,,,,,,P,,,
Donald Strickland,,,,,,,,,,,P,P,,,,
Darrell Stuckey,,,,D,D,Q,,,,,,,,,,
Mike Tolbert,,,,,,,,,,P,P,P,,,,IR
Jyles Tucker,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Louis Vasquez,,,,D,O,Q,,,,Q,O,D,O,O,P,
Billy Volek,P,,,,,,,,,,,,,,,
Kelley Washington,,,,,,,,,,,,,,,P,
Pat Watkins,,,,,,,,,,,,,,IR,IR,IR
Kion Wilson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kris Wilson,,,,,,,,,,Q,O,P,,,,
