Player,09/11vs. MIN,09/18vs. NWE,09/25vs. KAN,10/02vs. MIA,10/09vs. DEN,10/23vs. NYJ,10/31vs. KAN,11/06vs. GNB,11/10vs. OAK,11/20vs. CHI,11/27vs. DEN,12/05vs. JAX,12/11vs. BUF,12/18vs. BAL,12/24vs. DET,01/01vs. OAK
Antwan Barnes,,,,,,,,,P,,,,,,,
Colin Baxter,,,,,,,,,,,,,,P,,
Bront Bird,,,,,,,,,,,P,,,,,IR
Curtis Brinkley,,,,,,,,P,,,,,,,,
Vincent Brown,O,O,P,,,,,,,,,,,,,
Donald Butler,,,,,,,,,P,,,,P,P,P,
Antoine Cason,P,,,,,,,,,,,,,,,
Luis Castillo,,O,O,O,O,O,O,O,O,O,O,O,IR,IR,IR,IR
Jacques Cesaire,,,,O,O,P,,,,,P,,,D,Q,
Stephen Cooper,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Patrick Crayton,P,O,P,,,,,,,,,,,,,
Kris Dielman,,,,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR
Na'il Diggs,,,,P,,,,O,P,,,D,P,,,
Brandyn Dombrowski,,,,,,,,,,,,D,P,,,
Larry English,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malcom Floyd,,,D,P,Q,,P,O,O,D,O,P,,,,
Andrew Gachkar,P,,,,,,,,,,,,,,,P
Jared Gaither,,,,,,,,,,,,,,,,P
Antonio Garay,,,,,,,,,,P,,,,,P,
Antonio Gates,P,,O,D,D,P,P,,,P,,,,,,
Marcus Gilchrist,,,,,,P,,,,D,O,P,,,,
Richard Goodman,,,,,,,,,P,,,,,,,
Tyronne Green,,,,,,,,P,,D,D,P,P,,,
Steve Gregory,,,,,,,,,O,P,,,,,,
Nick Hardwick,,,,,P,,,,,,,,P,,,
Jacob Hester,,,,,,P,P,,,,,,,,,
Vincent Jackson,,,P,Q,P,P,,P,,,,,,,P,D
Quentin Jammer,,,P,D,P,,,,,,,,,,,
Nate Kaeding,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis LaBoy,,,,,,,,,,,,,,,O,O
Corey Liuget,,,D,P,,,,,,,,P,P,,,
Ryan Mathews,,,,P,,,P,O,P,,P,,,,,O
Marcus McNeill,P,,,,,,P,,,O,O,IR,IR,IR,IR,IR
Jonas Mouton,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Scott Mruczkowski,,,,,,,P,,,,IR,IR,IR,IR,IR,IR
Shaun Phillips,,,,,,,O,D,D,O,P,P,P,,P,P
Nick Polk,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bob Sanders,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Takeo Spikes,,,,,,,,,P,P,,,P,P,,
Darrell Stuckey,,,,,,,O,P,,P,,,D,P,,
Mike Tolbert,,P,P,,,P,D,P,,,,,,,,P
Louis Vasquez,,,,,,,,,,O,D,P,P,,,
Shareece Wright,Q,,,,,,,,,,,,,,,
