Player,09/09vs. HOU,09/15vs. PHI,09/22vs. TEN,09/29vs. DAL,10/06vs. OAK,10/14vs. IND,10/20vs. JAX,11/03vs. WAS,11/10vs. DEN,11/17vs. MIA,11/24vs. KAN,12/01vs. CIN,12/08vs. NYG,12/12vs. DEN,12/22vs. OAK,12/29vs. KAN,01/05vs. CIN,01/12vs. DEN
Jahleel Addae,,,,,,,,,,Q,P,,,,,,,
Seyi Ajirotutu,,,,,,,,,,,,P,,,,,,
Danario Alexander,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keenan Allen,,,,,,,,,,,P,,,P,P,,,
Bront Bird,,,,,,,,,,,,,,,P,,,
Ronnie Brown,,,,,,,P,,,,,,,,,,,
Vincent Brown,,,,,,,,,,,P,,,,,,,
Donald Butler,,,Q,P,,Q,D,D,P,,,,,,,,,
Jeromey Clary,,,,D,Q,P,P,,,,,,,,,P,,
Derek Cox,,,,,P,,,,,,,,,,,,,
King Dunlap,,,,D,O,P,,,,D,O,D,P,,,,,
Larry English,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malcom Floyd,P,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Fluker,,,D,P,,Q,P,,,P,,P,P,P,P,,,
Dwight Freeney,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Gates,,,,,,,,,,,,P,,,,,,
Lawrence Guy,,,,,,,,,Q,P,P,P,P,P,,,,
Nick Hardwick,,,,P,,,,,,Q,P,D,P,P,,,,
Mike Harris,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lavelle Hawkins,,,,,,,,,,,,,P,Q,,,,
Melvin Ingram,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,
Byron Jerideau,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jarret Johnson,,,,,,O,Q,P,Q,Q,D,Q,P,P,P,,,
Thomas Keiser,,,,,,,,,,,,,,,,P,,
Sean Lissemore,,P,,,,,,,,,,,,P,,P,,
Corey Liuget,P,P,P,,,,P,,,,,P,P,P,,,,
Richard Marshall,,,,,,Q,P,,,,,,,,,,,
Ryan Mathews,,,,,P,P,,,,P,P,P,,,P,P,,
Le'Ron McClain,,,,,,,,,,Q,,,,,Q,,,
Jonas Mouton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rich Ohrnberger,,,,,Q,P,,,,,,,,,,,,
Johnny Patrick,P,,,,P,P,P,,,,,,,P,IR,IR,IR,IR
John Phillips,,,,,,,,,,,,,,,,IR,IR,IR
Mike Remmers,,,,,,,,O,O,P,,,,,,,,
Chad Rinehart,,,,D,D,O,O,O,P,P,,,,,,,,
Eddie Royal,P,,P,,,Q,Q,Q,Q,Q,P,D,Q,P,Q,Q,,
Damik Scafe,IR,,,,,,,,,,,,,,,,,
Stephen Schilling,,,,,,,Q,,,,,,,,,,,
Mike Scifres,,,,,,,,,P,,,,,,,,,
Darrell Stuckey,,,,,,,,,,,,D,,,,,,
Brandon Taylor,P,P,,,,,,,,,,,,,O,O,O,O
Manti Te'o,O,O,D,P,P,P,,,,P,P,,,,,,,
Eric Weddle,,,,,,,,P,,,,,,,P,,,
Steve Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tourek Williams,,,,,,,,,P,,,,,,,,,
Mike Windt,,,,,,,,,,,,P,,,,,,
Shareece Wright,P,,Q,Q,Q,P,P,,,,,,,P,P,P,,
