Player,09/13vs. DET,09/20vs. CIN,09/27vs. MIN,10/04vs. CLE,10/12vs. PIT,10/18vs. GNB,10/25vs. OAK,11/01vs. BAL,11/09vs. CHI,11/22vs. KAN,11/29vs. JAX,12/06vs. DEN,12/13vs. KAN,12/20vs. MIA,12/24vs. OAK,01/03vs. DEN
Jahleel Addae,,D,O,O,Q,,P,,,,P,,,,,
Keenan Allen,,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR
Jeremiah Attaochu,Q,P,,,,,,,,,,Q,,,,P
King Dunlap,,,,D,D,O,Q,,O,P,D,O,P,O,O,D
Kyle Emanuel,,Q,P,,,P,P,,,P,,,,,O,P
Brandon Flowers,,P,,P,Q,,,,P,,,,O,IR,IR,IR
Malcom Floyd,,,,,Q,,,,,O,P,,,,,
D.J. Fluker,,D,Q,Q,Q,Q,P,,,Q,O,O,Q,P,,
Orlando Franklin,,,,O,O,Q,P,O,D,P,,,,P,,O
Antonio Gates,,,,,,,Q,Q,P,P,P,,,,,
Melvin Gordon,,,,,,,Q,P,,,,,,,IR,IR
Ladarius Green,Q,,Q,Q,,,,,D,Q,P,P,P,Q,Q,
Chris Hairston,,,P,P,P,Q,Q,,,,,P,P,P,P,Q
Javontee Herndon,,,,,,,,,,,,,,P,,Q
Dontrelle Inman,,,,,,,,,,,,,O,P,,
Steve Johnson,,,,,O,D,Q,,,,,,O,D,Q,Q
Jacoby Jones,,D,O,O,Q,,,,,,,,,,,
Sean Lissemore,,,,,,,,Q,,,Q,Q,D,Q,O,
Corey Liuget,,,,,,,,,Q,Q,Q,Q,O,IR,IR,IR
Craig Mager,Q,P,,O,O,O,O,Q,,,,,,,,
Branden Oliver,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Denzel Perryman,,,,,,,,D,O,P,,,,,,
Darius Philon,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,
Philip Rivers,,,,,,,,,,,,P,P,,,
Patrick Robinson,,,,,,,,,Q,,,,,,,P
Trevor Robinson,,,,,,,,,,,,,,,,Q
Darrell Stuckey,,,,,,,,,Q,P,,,,,,
Manti Te'o,,,,,,Q,D,O,O,P,P,,,,,Q
Johnnie Troutman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Verrett,,,Q,Q,Q,,,,Q,P,,,,,,Q
Chris Watt,,,P,D,Q,O,Q,P,IR,IR,IR,IR,IR,IR,IR,IR
Eric Weddle,,,,,,,O,O,Q,,P,,,,,
Steve Williams,,,,,,,,,,,,,P,Q,P,
Tourek Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
