Player,09/11vs. KAN,09/18vs. JAX,09/25vs. IND,10/02vs. NOR,10/09vs. OAK,10/13vs. DEN,10/23vs. ATL,10/30vs. DEN,11/06vs. TEN,11/13vs. MIA,11/27vs. HOU,12/04vs. TAM,12/11vs. CAR,12/18vs. OAK,12/24vs. CLE,01/01vs. KAN
Jahleel Addae,,,O,O,O,O,O,D,D,D,,,,,,
Keenan Allen,,,,,,,,,,,,,,,,
Jeremiah Attaochu,,,,,,,O,O,D,,,O,IR,IR,IR,IR
Rasheed Bailey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Barksdale,,,,Q,Q,Q,,,,,,,,,,
Travis Benjamin,,,,,,,Q,Q,Q,D,Q,,,,,
Joey Bosa,,O,O,O,,,,,,,,,,,,
Jatavis Brown,,,,Q,,,,,O,O,O,O,Q,,,
Zamir Carlis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrell Chestnut,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donavon Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Asante Cleveland,,,,,,,,,,,O,Q,,,,
Jeff Cumberland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
King Dunlap,,,,D,Q,,,,,,,,,,Q,D
Nick Dzubnar,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kenneth Farrow,,,,,,,,,,,,,,,,IR
Brandon Flowers,,,,O,O,O,O,,,,IR,IR,IR,IR,IR,IR
Orlando Franklin,,Q,Q,Q,,Q,,,,Q,,,Q,Q,Q,Q
Antonio Gates,,,D,D,Q,,,,,,,,,,,
Melvin Gordon,,,,,,,,,,,,,,O,O,O
Chris Hairston,,,,,,Q,,,,,,,,,,
Hunter Henry,,,,,,,,Q,O,Q,,,,,,
Javontee Herndon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steve Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Johnstone,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sean Lissemore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Craig Mager,,,,,Q,Q,,O,O,Q,,,,IR,IR,O
Tyler Marcordes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert McClain,,,,,,,,Q,,,,,,,,
Dexter McCluster,,,,,,Q,,,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Mebane,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Branden Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tenny Palepoi,,,,,,,,,,,,Q,,,,
Denzel Perryman,,,,,Q,Q,,Q,D,O,,,,,,
Shaq Petteway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Caraun Reid,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Manti Te'o,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Verrett,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Watt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tourek Williams,,,,,,,,,,,Q,,,,,
Tyrell Williams,,,,,,,,Q,Q,Q,,Q,,,,
Danny Woodhead,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlos Wray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
