Player,09/11vs. DEN,09/17vs. MIA,09/24vs. KAN,10/01vs. PHI,10/08vs. NYG,10/15vs. OAK,10/22vs. DEN,10/29vs. NWE,11/12vs. JAX,11/19vs. BUF,11/23vs. DAL,12/03vs. CLE,12/10vs. WAS,12/16vs. KAN,12/24vs. NYJ,12/31vs. OAK
Keenan Allen,,,,,,,Q,,,,,,,,,
Jeremiah Attaochu,Q,Q,,,,,,,,,,,,,,
Joe Barksdale,,,Q,Q,Q,Q,Q,D,Q,O,Q,,,,Q,
Travis Benjamin,,,,,,,,,,,Q,,,,,
Tre Boston,Q,,,,,,,,,,,,,,,
Jatavis Brown,,,,,Q,Q,,,,,,,,,,
Asante Cleveland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Ekeler,,,,,,,,,,,,,,,Q,
Melvin Gordon,,,Q,Q,,,Q,Q,,,,,,,,Q
Chris Hairston,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Casey Hayward,,,,,,,,,,,,Q,,Q,,
Hunter Henry,,,,,,,,,,,,,,,IR,IR
Dontrelle Inman,Q,Q,,,,,,,,,,,,,,
Rayshawn Jenkins,,O,,,,,,,,,,,,,,
Forrest Lamp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Landrum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Liuget,,,,,,,Q,Q,,,Q,Q,Q,,O,Q
Chris McCain,,,,,,,,,,Q,,,,,,
Sean McGrath,Q,Q,,Q,Q,,,,,,,,,,,
Charmeachealle Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Novak,,,,,,,,,,,,Q,IR,IR,IR,IR
Russell Okung,,,,,,,,,,,Q,,,,Q,Q
Branden Oliver,,,,,O,Q,,,,,,,,,,
James Onwualu,,,,,,,,,,D,Q,,,,,
Denzel Perryman,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,O,Q
Adrian Phillips,,,,,,,Q,,,,,,,,,O
Hayes Pullard,,,Q,Q,,,,,Q,D,Q,,,,,
Philip Rivers,,,,,,,,,,Q,,,,,,
Matt Slauson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darrell Stuckey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Verrett,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Williams,,,,,,,,,,,,,,IR,IR,IR
Mike Williams,IR,O,O,O,O,Q,,,,,Q,O,Q,,,
Tyrell Williams,,,,,Q,,,,,,,,,,,
