Player,09/09vs. KAN,09/16vs. BUF,09/23vs. LAR,09/30vs. SFO,10/07vs. OAK,10/14vs. CLE,10/21vs. TEN,11/04vs. SEA,11/11vs. OAK,11/18vs. DEN,11/25vs. ARI,12/02vs. PIT,12/09vs. CIN,12/13vs. KAN,12/22vs. BAL,12/30vs. DEN,01/06vs. BAL,01/13vs. NWE
Keenan Allen,,,,Q,,,,,,,,,,,Q,,,
Joe Barksdale,,O,O,O,D,Q,,,,,,O,,,,,,
Travis Benjamin,,Q,Q,Q,O,O,Q,,,,,,,,,,,
Joey Bosa,O,O,O,O,O,O,O,O,O,Q,,,,,,,,
Brett Boyko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jatavis Brown,,,,,,D,Q,,,,,,,,,,IR,IR
Sean Culkin,,,,,,,,,,,,,D,O,O,Q,,
Austin Ekeler,,,,,,,,,,,,,,O,D,,,
Kyle Emanuel,,,,,,,,,Q,,,,,,,,,
Brandon Facyson,,,,,,,,,,,,,,,,,,Q
Antonio Gates,,,Q,,,,,,,Q,,,,,,,,
Melvin Gordon,,,,,,,Q,Q,,,Q,O,O,Q,,,,
Hunter Henry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q
Chris Landrum,,,,,,,,O,Q,,,,,,,,,
Corey Liuget,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Craig Mager,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Mebane,,,,,,,,,,,Q,O,D,D,,,,
Russell Okung,,,,,Q,Q,,,,,,,,,,,,
Denzel Perryman,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darius Philon,,,,,,,,,Q,,,,,,,,,
Austin Roberts,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Artavis Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Caleb Sturgis,,,,,,Q,Q,,,,,,,,,,,
Jason Verrett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jaylen Watkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derek Watt,,,Q,,,,,,,,,,,,,,,Q
Kyzir White,,,,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trevor Williams,,,,,,,,,Q,O,,,IR,IR,IR,IR,IR,IR
Tyrell Williams,,,,,,,,,,,Q,Q,,,,,,
Kyle Wilson,,,,,,,,,,,,,,,,,,Q
