Player,09/08vs. IND,09/15vs. DET,09/22vs. HOU,09/29vs. MIA,10/06vs. DEN,10/13vs. PIT,10/20vs. TEN,10/27vs. CHI,11/03vs. GNB,11/07vs. OAK,11/18vs. KAN,12/01vs. DEN,12/08vs. JAX,12/15vs. MIN,12/22vs. OAK,12/29vs. KAN
Nasir Adderley,,,,,D,D,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Keenan Allen,,,,,,,,Q,,,,,,,,
Michael Badgley,D,Q,Q,O,D,D,Q,Q,,,,,,,,
Travis Benjamin,,,,D,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cortez Broughton,,,,,,,,O,O,O,IR,IR,IR,IR,IR,IR
Jatavis Brown,D,Q,,,,,,,,,,,,,,
Dylan Cantrell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sean Culkin,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Geremy Davis,D,Q,,,,,,,Q,D,D,IR,IR,IR,IR,IR
Michael Davis,,D,D,,,,,,,,,,,,,
Thomas Davis,,,,,Q,,,,,,,,,,,
Nick Dzubnar,,,,,,,,,,,,,Q,,,
Virgil Green,,,,O,Q,,,,,,,,,,,
Casey Hayward,,,,Q,,,,,,,,,,,,
Hunter Henry,,O,O,O,O,Q,,,,,,,,,,
Melvin Ingram,,,,,Q,Q,D,Q,,,,,,,,
Dontrelle Inman,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Justin Jackson,,,,O,D,D,O,Q,,D,D,,,,Q,
Derwin James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Tre'von Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Justin Jones,,,,,,,O,O,D,O,,,,,,
Desmond King,,,,,,,,,,,,,,O,,
Forrest Lamp,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Koda Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vince Mayle,IR,IR,,,,,,,,,,,,,,
Cole Mazza,,,,,,,,,,,Q,,,,,
Brandon Mebane,,,,,,,O,O,D,Q,,,,,,
Uchenna Nwosu,,,,,,,,,,,,,,Q,,
Russell Okung,IR,IR,IR,IR,IR,IR,IR,IR,,,Q,Q,,,D,O
Andre Patton,,,,,,D,,,,,,,,,,
Denzel Perryman,Q,Q,,,,,,,,Q,,,O,,,
Adrian Phillips,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Mike Pouncey,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Isaac Rochell,,Q,,,,,,,,,,,,,,
Damion Square,,,,,,,,,Q,,,,,,,
Roderic Teamer,D,Q,,,,,,,D,D,Q,,O,,,
Sam Tevi,,,,,,,,,,Q,O,Q,,,,
Drue Tranquill,Q,,,Q,,,,,,,Q,,,,,
Andrew Vollert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derek Watt,,,,,,,,Q,,,,,,,,
Mike Williams,,Q,,O,Q,,,,,,,,,,,
Trevor Williams,O,IR,IR,IR,IR,IR,,,,,,,,,,
