Player,09/13vs. CIN,09/20vs. KAN,09/27vs. CAR,10/04vs. TAM,10/12vs. NOR,10/25vs. JAX,11/01vs. DEN,11/08vs. LVR,11/15vs. MIA,11/22vs. NYJ,11/29vs. BUF,12/06vs. NWE,12/13vs. ATL,12/17vs. LVR,12/27vs. DEN,01/03vs. KAN
Jahleel Addae,,,,,,,,Q,,,,,,,,Q
Nasir Adderley,,,,,,,,,,,,,,D,,
Keenan Allen,,,,,,,,Q,,,,,,Q,Q,C19
Kalen Ballage,,,,,,,,,,,Q,Q,,,,
Asmar Bilal,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Joey Bosa,,,,,Q,,,D,O,,,,,,O,O
Bryan Bulaga,Q,,Q,O,O,Q,Q,,Q,,,,,O,,O
Emeke Egbule,,,,,,,,,,,,,,O,,
Austin Ekeler,,,,,IR,IR,IR,IR,IR,IR,IR,,,Q,,
Brandon Facyson,,,,,,,,C19,C19,C19,C19,,,,,
Virgil Green,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Groy,,,,,,,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19
Chris Harris Jr.,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Casey Hayward,,,,,,,,Q,,,O,Q,,,,O
Hunter Henry,,,,,,,,,,,,,,,C19,C19
K.J. Hill,,,,,,Q,,,,,,,,,,
Melvin Ingram,,,D,IR,IR,IR,,,,,IR,IR,IR,IR,IR,IR
Justin Jackson,,D,D,,,Q,,,IR,IR,IR,IR,IR,,,
Derwin James,,,,,,,,,,,IR,,IR,IR,C19,C19
Malik Jefferson,,,,,,,,,,,,,,,,O
Rayshawn Jenkins,,,Q,Q,,,,,,,,,,,,O
Justin Jones,,,O,IR,IR,IR,,,,,,,,,,
Desmond King,,,,,,,O,,,,,,,,,
Jessie Lemonier,,,,,Q,,,,,,,,,,,
Cole Mazza,,,,,,,,,,Q,,,,,,
Storm Norton,,,,Q,,D,Q,,,,,,,,,
Uchenna Nwosu,,,,,,,,,,,O,Q,,Q,O,IR
Denzel Perryman,,,,,,,,,,,,D,D,D,Q,
Trey Pipkins,,,,,,,C19,,,,,,C19,C19,,
Troymaine Pope,,,,,,,,D,Q,,,Q,Q,,,
Mike Pouncey,O,IR,IR,IR,IR,,,,,,IR,,,,,
Joe Reed,,,,,,,,,,,,Q,Q,,,
Isaac Rochell,,,,,,,,Q,,,,,,,,
Tyree St. Louis,,,,Q,,,,,,,,,,,,
Tyrod Taylor,,,O,O,O,Q,Q,,,Q,,,,,,
Sam Tevi,,,,,,,,,,,,,,,,Q
Drue Tranquill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trai Turner,Q,,Q,O,O,O,O,Q,Q,,,,,,,
Nick Vigil,,,D,Q,,,,,,,,,,,,
Kyzir White,,,,,,,,,,C19,C19,C19,C19,,IR,IR
Mike Williams,Q,,,O,Q,,,,,,,,,Q,,
