,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1976,5,229,16.4,21,429,30.6,28,2.6,11.4,-15.12,27,-0.84
1977,4,282,20.1,8,373,26.6,28,4.8,9.2,-4.33,20,2.17
1978,3,345,21.6,7,358,22.4,26,7.6,8.4,-0.36,12,.45
1979,3,378,23.6,4,372,23.3,24,8.2,7.8,2.58,11,2.20
1980,5,291,18.2,21,408,25.5,25,5.0,11.0,-5.30,24,2.01
1981,5,322,20.1,15,388,24.3,25,6.3,9.7,-3.31,21,.82
1982,3,127,14.1,27,147,16.3,5,3.7,5.3,-5.45,24,-3.22
1983,2,403,25.2,6,397,24.8,24,8.1,7.9,1.47,9,1.10
1984,2,418,26.1,5,282,17.6,5,11.5,4.5,8.99,3,.49
1985,3,349,21.8,13,303,18.9,8,9.3,6.7,4.34,6,1.47
1986,3,366,22.9,10,293,18.3,8,10.1,5.9,6.38,5,1.82
1987,2,371,24.7,6,314,20.9,14,9.0,6.0,1.94,10,-1.86
1988,1,339,21.2,12,329,20.6,16,8.3,7.7,-0.75,15,-1.37
1989,4,241,15.1,27,327,20.4,16,5.2,10.8,-2.77,19,2.61
1990,3,306,19.1,18,286,17.9,11,8.6,7.4,2.75,11,1.50
1991,4,276,17.3,20,261,16.3,8,8.5,7.5,1.17,12,.23
1992,5,140,8.8,28,312,19.5,17,2.1,13.9,-9.99,27,.76
1993,5,280,17.5,19,314,19.6,18,6.9,9.1,-1.24,20,.89
1994,5,287,17.9,20,323,20.2,16,6.9,9.1,-3.40,21,-1.15
1995,3,363,22.7,10,366,22.9,23,7.9,8.1,-0.55,15,-0.36
1996,5,317,19.8,16,376,23.5,24,6.4,9.6,-1.69,20,1.99
1997,3,365,22.8,9,362,22.6,22,8.1,7.9,.14,15,-0.04
1998,3,372,23.3,10,310,19.4,10,9.7,6.3,1.46,12,-2.41
1999,1,338,21.1,12,298,18.6,8,9.2,6.8,4.52,7,2.02
2000,4,320,20.0,19,405,25.3,25,5.8,10.2,-3.74,23,1.58
2001,2,301,18.8,19,324,20.3,18,7.3,8.7,-1.88,19,-0.44
2002,3,355,22.2,16,369,23.1,23,7.6,8.4,-1.25,21,-0.38
2003,2,404,25.3,7,327,20.4,15,10.0,6.0,4.08,10,-0.73
2004,1,371,23.2,12,373,23.3,22,7.9,8.1,-2.89,20,-2.77
2005,1,452,28.3,1,271,16.9,7,12.3,3.7,9.11,4,-2.20
2006,1,335,20.9,14,341,21.3,19,7.8,8.2,-3.57,21,-3.19
2007,1,393,24.6,9,291,18.2,6,10.7,5.3,1.76,12,-4.62
2008,3,294,18.4,25,392,24.5,25,5.4,10.6,-7.64,29,-1.51
2009,3,280,17.5,25,390,24.4,25,5.0,11.0,-9.31,29,-2.43
2010,1,310,19.4,23,407,25.4,25,5.5,10.5,-9.44,30,-3.38
2011,3,321,20.1,23,315,19.7,7,8.2,7.8,.80,17,.42
2012,2,412,25.8,9,245,15.3,1,12.4,3.6,12.23,2,1.79
2013,1,417,26.1,8,231,14.4,1,12.8,3.2,13.04,1,1.42
2014,1,394,24.6,10,254,15.9,1,11.8,4.2,9.54,3,.79
2015,2,423,26.4,4,277,17.3,1,11.7,4.3,11.34,2,2.21
2016,1,354,22.1,18,292,18.3,3,9.8,6.2,2.13,10,-1.75
2017,2,366,22.9,11,332,20.8,13,8.9,7.1,1.89,14,-0.24
2018,2,428,26.8,6,347,21.7,11,9.9,6.1,4.51,9,-0.56
2019,2,405,25.3,9,398,24.9,22,8.2,7.8,2.71,11,2.27
2020,1,459,28.7,8,371,23.2,15,10.0,6.0,5.46,7,-0.04
2021,4,58,29.0,8,49,24.5,16,1.2,0.8,-3.94,20,-8.44
