,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,SDG,6.0,0.0,"L, 20-24",Won,Over,1978
1,2,@PIT,13.5,0.0,"L, 10-21",Won,Over,1978
2,3,@NYJ,7.0,0.0,"W, 24-17",Won,Over,1978
3,4,DET,-6.0,0.0,"W, 28-16",Won,Over,1978
4,5,@DEN,9.0,0.0,"L, 7-28",Lost,Over,1978
5,6,MIN,5.0,0.0,"W, 29-28",Won,Over,1978
6,7,@GNB,4.5,0.0,"L, 28-45",Lost,Over,1978
7,8,OAK,7.0,0.0,"W, 27-7",Won,Over,1978
8,9,DEN,3.0,0.0,"L, 17-20",Push,Over,1978
9,10,@CHI,3.0,0.0,"W, 31-29",Won,Over,1978
10,11,BAL,-3.5,0.0,"L, 14-17",Lost,Over,1978
11,12,@KAN,2.0,0.0,"W, 13-10",Won,Over,1978
12,13,@OAK,8.0,0.0,"W, 17-16",Won,Over,1978
13,14,CLE,-3.0,0.0,"W, 47-24",Won,Over,1978
14,15,@SDG,3.0,0.0,"L, 10-37",Lost,Over,1978
15,16,KAN,-6.5,0.0,"W, 23-19",Lost,Over,1978
16,1,SDG,-2.0,42.5,"L, 16-33",Lost,Over,1979
17,2,@MIA,7.0,40.5,"L, 10-19",Lost,Under,1979
18,3,OAK,-3.0,44.0,"W, 27-10",Won,Under,1979
19,4,@DEN,6.0,37.0,"L, 34-37",Won,Over,1979
20,5,KAN,-6.0,43.0,"L, 6-24",Lost,Under,1979
21,6,@SFO,-5.0,43.0,"W, 35-24",Won,Over,1979
22,7,@SDG,10.0,44.0,"L, 10-20",Push,Under,1979
23,8,HOU,2.0,42.0,"W, 34-14",Won,Over,1979
24,9,@ATL,-2.0,42.0,"W, 31-28",Won,Over,1979
25,10,RAM,-3.0,41.0,"L, 0-24",Lost,Under,1979
26,11,@CLE,6.0,43.0,"W, 29-24",Won,Over,1979
27,12,NOR,-3.0,42.0,"W, 38-24",Won,Over,1979
28,13,NYJ,-6.0,45.0,"W, 30-7",Won,Under,1979
29,14,@KAN,-1.0,41.0,"L, 21-37",Lost,Over,1979
30,15,DEN,3.0,39.0,"W, 28-23",Won,Over,1979
31,16,@OAK,8.0,45.0,"W, 29-24",Won,Over,1979
32,1,SDG,2.0,45.0,"L, 13-34",Lost,Over,1980
33,2,@KAN,2.0,38.0,"W, 17-16",Won,Under,1980
34,3,NWE,-2.0,47.0,"L, 31-37",Lost,Over,1980
35,4,@WAS,4.0,42.0,"W, 14-0",Won,Under,1980
36,5,@HOU,7.0,37.0,"W, 26-7",Won,Under,1980
37,6,CLE,-4.0,40.0,"L, 3-27",Lost,Under,1980
