Player,09/11vs. SFO,09/18vs. PIT,09/25vs. ARI,10/02vs. ATL,10/09vs. NYG,10/23vs. CLE,10/30vs. CIN,11/06vs. DAL,11/13vs. BAL,11/20vs. STL,11/27vs. WAS,12/01vs. PHI,12/12vs. STL,12/18vs. CHI,12/24vs. SFO,01/01vs. ARI
Doug Baldwin,,,,,,,,,,P,,,,P,P,
Atari Bigby,,,,,,,P,,,O,P,,,,,
Alan Branch,,,,,,,,P,,,O,P,,,,
Raheem Brock,,,,,,,,,,,,,P,P,,
Deon Butler,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,Q,,,,,,
John Carlson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Carpenter,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Kam Chancellor,,,,D,P,,P,P,,P,,,,,,
Chris Clemons,P,,,,,,,Q,,,,,,,,
Kennard Cox,,,,,,,,,,,,,O,P,D,P
Dexter Davis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kris Durham,,,,,P,,,,IR,IR,IR,IR,IR,IR,IR,IR
Robert Gallery,D,P,O,O,O,P,,,,,,,,P,P,
Breno Giacomini,,,,,,,,,,,,,,,,Q
Anthony Hargrove,,,,,P,,,,,O,P,,,,,Q
David Hawthorne,P,P,,,,,,,,,,P,P,P,P,P
LeRoy Hill,,,,,,Q,,P,,,,,,P,,
Tarvaris Jackson,,,,,,D,P,P,P,P,P,P,P,P,P,P
Jeron Johnson,,,,,,,O,O,O,Q,,,,,,P
Jarriel King,O,O,O,O,O,Q,,,,,,,,O,Q,
Jameson Konz,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roy Lewis,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,
Marshawn Lynch,P,,,,,P,P,,,,,,,,,
Byron Maxwell,,O,O,D,D,Q,,,,,O,Q,P,,,
Matt McCoy,,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Clinton McDonald,,,,,,,,,,,,,,,D,P
Zach Miller,,,,,P,Q,P,,,,,,,,,
John Moffitt,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Cameron Morrah,PUP,PUP,PUP,PUP,PUP,,,O,O,P,,,,,,
Ben Obomanu,,,,,,,,,,,P,,,,,P
Russell Okung,P,,,,,,,,,,,,IR,IR,IR,IR
Ron Parker,,,,,,,,,,,,,,IR,IR,IR
Sidney Rice,D,D,P,,,,,P,P,P,P,IR,IR,IR,IR,IR
Michael Robinson,,D,O,P,,,,,,,,,Q,,,
Richard Sherman,,,,,,,,,,,,P,,P,,
Malcolm Smith,,D,P,,D,P,,,,,,,,,D,O
Isaiah Stanback,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Walter Thurmond,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Trufant,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Max Unger,,,,,,D,P,,,,,,,,,
David Vobora,,,,,,,,P,O,P,,IR,IR,IR,IR,IR
Jimmy Wilkerson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Williams,,,,,O,P,,P,,,,Q,,,IR,IR
