Player,09/08vs. CAR,09/15vs. SFO,09/22vs. JAX,09/29vs. HOU,10/06vs. IND,10/13vs. TEN,10/17vs. ARI,10/28vs. STL,11/03vs. TAM,11/10vs. ATL,11/17vs. MIN,12/02vs. NOR,12/08vs. SFO,12/15vs. NYG,12/22vs. ARI,12/29vs. STL,01/11vs. NOR,01/19vs. SFO,02/02vs. DEN
Cliff Avril,D,P,,,,,,,,,,,,,,,,,
Doug Baldwin,,,,,,,,,,,,,,P,,,,,
Michael Bennett,,,,,P,P,,,P,,,,,,,,,,
Michael Bowie,O,P,Q,,,,,,,,,,,,,,,,
Brandon Browner,Q,D,P,P,,,,,,D,O,O,O,O,,,,,
Red Bryant,,,,P,,,,,,O,P,,,,,P,,,
James Carpenter,,,,,,,,,,,,,,,,,,,
Kam Chancellor,,,,,,,,,,P,P,,P,,P,,,,
Chris Clemons,D,Q,P,,,Q,D,,,,,,,,,,,,
Derrick Coleman,,,,,,,,O,O,O,O,,,,,P,,,
Kellen Davis,,,,,,,,,,,,,P,,,,,,
Heath Farwell,,,,,,,,,,,P,,,,,,,,
Chandler Fenner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Breno Giacomini,,,P,D,O,O,O,O,O,D,P,,,,,,,,
Percy Harvin,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,PUP,PUP,P,D,D,D,O,D,,,
Jordan Hill,O,O,O,O,P,,,,,O,P,,,,,,,,
Bruce Irvin,,,,,P,,,,,,P,,P,,,,,,
Tarvaris Jackson,,,,,,,,,,,,,Q,Q,,,,,
Jeron Johnson,,D,D,O,P,,,O,O,P,P,,,,,,,,
Jermaine Kearse,,,,P,,,,,,,,P,,,,Q,,,
Jeremy Lane,,,,,D,P,,,,,Q,,,,P,,,,
Marshawn Lynch,,,,,,Q,P,,P,P,P,P,,P,,,,,
Anthony McCoy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony McDaniel,P,,,,,,,,,,Q,,,,,,,,
Brandon Mebane,P,P,,,P,,,,,,,,,,,,,,
Christine Michael,,,,,,,,P,,,,,,,,,,,
Zach Miller,Q,,,,Q,Q,,,,,,,,P,P,,,,
Mike Morgan,,,,,,,,,,,,,,P,,,,,
Russell Okung,,Q,O,O,O,O,O,IR,IR,IR,IR,,,,,P,,,
Sidney Rice,P,P,,,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Scruggs,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Richard Sherman,,,,,,,,,,,P,,,P,P,P,,,
Tharold Simon,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Malcolm Smith,,,Q,P,,,,,,,,,,,,P,,,
J.R. Sweezy,,,P,P,,,,,P,,,,,,O,P,,,
Golden Tate,,,,,,,,P,,,,,P,,,,,,
Earl Thomas,,,,,,,,,P,,,,,,,P,,,
Walter Thurmond,,,,,P,P,,,,,,,,,,P,,,
Korey Toomer,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Robert Turbin,,,,,,,,,,,,,,,P,,,,
Max Unger,,,,D,Q,P,,,,O,P,,,P,,,,,
Bobby Wagner,,,,,,D,O,P,,,,,,,,,,,
Spencer Ware,,,D,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Stephen Williams,P,,,,,,,,,,,,,,,,,,
Luke Willson,,P,,,,,,,,,,,,,,,,,
K.J. Wright,,,,,P,,,,,,,,Q,O,O,O,O,,
