Player,09/13vs. STL,09/20vs. GNB,09/27vs. CHI,10/05vs. DET,10/11vs. CIN,10/18vs. CAR,10/22vs. SFO,11/01vs. DAL,11/15vs. ARI,11/22vs. SFO,11/29vs. PIT,12/06vs. MIN,12/13vs. BAL,12/20vs. CLE,12/27vs. STL,01/03vs. ARI,01/10vs. MIN,01/17vs. CAR
Cliff Avril,,,,,,,P,P,,P,,,P,P,P,P,,
Doug Baldwin,,,,,,,,,,P,P,,,,Q,,,
Michael Bennett,,P,P,P,,P,,P,P,P,P,P,P,P,Q,P,P,P
Justin Britt,,,,,,,P,,,,,,,,,,,
Marcus Burley,,,,,O,O,O,P,,,,Q,,,,,,
Kam Chancellor,,,,,,,P,,,,,,,Q,Q,Q,P,
Frank Clark,,,,,,D,P,,,,,,,,,,,
Derrick Coleman,,,,,,,O,P,,,,,,,,,,
Brock Coyle,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,
Demarcus Dobbs,,P,,Q,D,Q,Q,P,,P,,O,O,P,,,,
Garry Gilliam,,Q,,,,,P,,,,P,,,,,,,
Jimmy Graham,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Cooper Helfet,P,,,,,,,,,,,,,,,,,
Jordan Hill,,,,,,D,O,P,,,,O,O,O,D,Q,P,
Bruce Irvin,,Q,,,,,,,,O,D,,,,,,,
Fred Jackson,,,,,Q,,,,,,,,,,,,,
Tarvaris Jackson,P,,P,,,,,,,,,,,,,,,
Jermaine Kearse,,,,,,,,,,,,,,,P,,,
Jeremy Lane,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,P,,,P,,P,
Patrick Lewis,,,,,,,O,P,,,Q,P,,,,,,
Tyler Lockett,,,,,,,P,,,,,,,,,,P,
Ricardo Lockette,,,,,P,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marshawn Lynch,P,P,Q,Q,O,Q,P,P,Q,Q,O,O,O,O,O,O,Q,P
Anthony McCoy,,,,,,,,,,,,,,IR,D,IR,IR,IR
Brandon Mebane,,,,Q,P,,,,,,,,,,,,,
Nick Moody,,,,,,D,O,P,,,,,,,,,,
Mike Morgan,O,O,P,P,,,,,,,,,,,,,,
Russell Okung,,,,,,,,Q,P,P,,,,,Q,D,P,
Kevin Pierre-Louis,,,,Q,D,P,,,,,,,,,,,,
Thomas Rawls,,,,,,,,P,,,P,,,IR,IR,IR,IR,IR
Paul Richardson,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,O,IR,IR,IR,IR,IR,IR
DeShawn Shead,,,,,,,,,,,,,,Q,P,,,
Richard Sherman,,,,,,,P,,,,,,,,,,,
Tharold Simon,Q,Q,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tye Smith,,,,,D,D,P,,,,,,,,,,,
J.R. Sweezy,,,,,,,,,,,P,,,,,O,P,
Steven Terrell,,,O,O,P,,,,,,,,,,,,,
Earl Thomas,,,,,,,,,,,,P,,,,,,
Will Tukuafu,,Q,,,,,,,,,,Q,,,,,,D
Bobby Wagner,,P,P,P,,Q,P,,,,,,,,,,,
Cary Williams,,,P,,,,,,,P,,,,,,,,
Jesse Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Luke Willson,,,Q,P,,,,,P,P,,,,P,,O,O,P
K.J. Wright,,,,P,,,,,,P,,,,,,,,
