Player,09/09vs. DEN,09/17vs. CHI,09/23vs. DAL,09/30vs. ARI,10/07vs. LAR,10/14vs. OAK,10/28vs. DET,11/04vs. LAC,11/11vs. LAR,11/15vs. GNB,11/25vs. CAR,12/02vs. SFO,12/10vs. MIN,12/16vs. SFO,12/23vs. KAN,12/30vs. ARI,01/05vs. DAL
Maurice Alexander,,,,,,,,,,Q,,,,O,,,
Ricky Ali'ifua,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Doug Baldwin,,O,O,Q,,,,,,,Q,,Q,Q,,,
Emmanuel Beal,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Britt,,,Q,,,,,,,,,,,,,,
Chris Carson,,,,Q,,,,Q,Q,,,,,,,,
Kam Chancellor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Frank Clark,,,,,Q,,,,,,,,,,,,
Amara Darboh,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ed Dickson,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Will Dissly,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tre Flowers,,D,,,,,,,,,,,,,,,
D.J. Fluker,O,D,,,,,,,Q,,,,D,D,Q,Q,
Jermaine Grace,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rasheem Green,,,,O,O,O,Q,,,,,,,,,,
T.J. Green,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shaquill Griffin,,Q,,,,,,,,,,,,,Q,,
Khalid Hill,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lano Hill,,D,,Q,,,,,,Q,,,,,,,IR
Germain Ifedi,,,,,,,,,,,,,,,Q,,
Dontae Johnson,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamarco Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nazair Jones,,,,,,,,,Q,,,,,,,,
Dion Jordan,,,,Q,,Q,,,,Q,,,,,,Q,
Mychal Kendricks,,,Q,,,,,,,,,,,IR,IR,IR,IR
Shalom Luani,,,,,,,,,,,,D,,,,,
Tre Madden,,,,,,,,,,,,D,Q,,,,
Byron Maxwell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bradley McDougald,,,,,,,,Q,Q,,,,,Q,Q,Q,
Malik McDowell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
J.D. McKissic,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
T.J. Mutcherson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Ott,,,,,,,,,,,,,,,Q,,
Rashaad Penny,,,,,,,,,,,,,Q,O,Q,Q,
Ethan Pocic,,,O,D,Q,,,,,,,,,,,,
C.J. Prosise,,,,D,,,,,,,,IR,IR,IR,IR,IR,IR
Jarran Reed,,,,,,,,,,,,,,Q,Q,,
Jordan Simmons,,,,,,,D,D,Q,,,,,,IR,IR,IR
Shamar Stephen,,,,,,,,,Q,,,Q,,,,,
J.R. Sweezy,,,,,,,,,,,,,,,,D,
Earl Thomas,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tedric Thompson,,,,,,,,,,,,,,,O,Q,
Neiko Thorpe,,,,,,,D,D,D,Q,,,,,,,
Nick Vannett,,,,,,Q,,,,,,,,,,,
Bobby Wagner,,O,,,,,,,,,,,,,,,
Erik Walden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
K.J. Wright,O,O,O,O,O,O,,Q,Q,D,O,O,O,O,,,
