Player,09/13vs. ATL,09/20vs. NWE,09/27vs. DAL,10/04vs. MIA,10/11vs. MIN,10/25vs. ARI,11/01vs. SFO,11/08vs. BUF,11/15vs. LAR,11/19vs. ARI,11/30vs. PHI,12/06vs. NYG,12/13vs. NYJ,12/20vs. WAS,12/27vs. LAR,01/03vs. SFO,01/09vs. LAR
Jamal Adams,,,,O,O,O,Q,,,,,,,,,,
Ugo Amadi,,,,,,,D,O,,,,,,,,,
Marquise Blair,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordyn Brooks,,,,O,Q,,,,,,,,,,,,
Patrick Carr,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Carson,,,,Q,,,Q,O,Q,Q,,,,,,,
DeeJay Dallas,,,,,,,,,,,,,,,O,O,
Phillip Dorsett,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quinton Dunbar,,,Q,O,Q,,,,O,O,IR,IR,IR,IR,IR,IR,IR
Carlos Dunlap,,,,,,,,,,,,Q,Q,Q,,,
Tre Flowers,,,,,,,,,,,,IR,IR,IR,IR,IR,
Kyle Fuller,,,,,,,,,,Q,Q,Q,,,,,
Rasheem Green,,D,IR,IR,IR,IR,IR,IR,,,,,,,,,
Shaquill Griffin,,,,Q,,,O,O,O,O,,,,,,,Q
Penny Hart,,,,,,,,,Q,,,,,,,,
Phil Haynes,,,,,,,,,,IR,,,Q,O,IR,IR,IR
Lano Hill,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travis Homer,,,,,,,Q,,,D,O,D,D,O,IR,IR,IR
Carlos Hyde,,,,Q,Q,,D,O,Q,,,Q,,,,Q,
Bruce Irvin,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Iupati,,,,,Q,Q,D,O,,,,,,,D,Q,
Branden Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamarco Jones,Q,,,,,,,,,,,,O,O,IR,IR,IR
Damien Lewis,,,,Q,,,,,,,,Q,,,,,
Tyler Lockett,,,,,,,,,,Q,,,,,,,
Benson Mayowa,,,Q,,,,Q,O,Q,,,,,,,,
Eli Mencer,IR,IR,IR,,,,,,,,,,,,,,
Bryan Mone,,,,,,,,,IR,IR,IR,IR,C19,C19,IR,,
David Moore,,,,,,,,,,,Q,,,,,,
Ryan Neal,,,,,,,Q,,,,,,Q,,,,
Cedric Ogbuehi,O,D,Q,,,,,,,,,Q,Q,,,,
Greg Olsen,,,,,,,,,,,IR,IR,IR,IR,IR,Q,
Colby Parkinson,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Rashaad Penny,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,
Ethan Pocic,,,,,,,,,O,O,,,,,,,
Damarious Randall,,,,,,,,,,,,,,Q,Q,C19,C19
D.J. Reed,IR,IR,IR,IR,IR,IR,Q,,,,Q,,,,,,
Jarran Reed,,,,,,,,,,,,,,,,,Q
Alton Robinson,,,,,,,,,Q,,,,,,,,
Brandon Shell,,,,,,,,,,,O,D,,Q,Q,Q,C19
Jordan Simmons,,,,,,,,,,O,Q,,,,,,
Jayson Stanley,,,,,,,,,,,,,,Q,,O,IR
Freddie Swain,,,,,,,,,Q,,Q,,,,,,
Darrell Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Neiko Thorpe,,,Q,Q,IR,IR,IR,IR,IR,O,IR,IR,IR,,,,
Chance Warmack,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
K.J. Wright,,,,,,,,,Q,,,,,,,,
