,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1946,2,307,21.9,2,189,13.5,2,10.6,3.4,7.38,3,-1.05
1947,2,327,23.4,4,264,18.9,4,8.7,5.3,3.94,8,-0.56
1948,2,495,35.4,1,248,17.7,2,11.7,2.3,15.44,3,-2.21
1949,2,416,34.7,1,227,18.9,3,9.7,2.3,13.50,2,-2.25
1950,5,213,17.8,11,300,25.0,8,3.7,8.3,-9.49,11,-2.24
1951,2,255,21.3,5,205,17.1,3,7.5,4.5,4.31,4,.15
1952,3,285,23.8,6,221,18.4,3,7.8,4.2,4.39,4,-0.95
1953,2,372,31.0,1,237,19.8,6,8.9,3.1,10.71,2,-0.54
1954,3,313,26.1,4,251,20.9,5,7.5,4.5,6.02,3,.86
1955,5,216,18.0,10,298,24.8,12,3.8,8.2,-8.19,12,-1.36
1956,3,233,19.4,8,284,23.7,9,4.6,7.4,-2.67,7,1.58
1957,1,260,21.7,4,264,22.0,9,5.9,6.1,-0.24,7,.09
1958,4,257,21.4,8,324,27.0,10,4.4,7.6,-3.81,8,1.77
1959,3,255,21.3,6,237,19.8,5,6.5,5.5,3.24,4,1.74
1960,2,208,17.3,10,205,17.1,1,6.1,5.9,-0.89,13,-1.14
1961,5,346,24.7,4,272,19.4,6,8.9,5.1,6.07,6,.78
1962,5,282,20.1,11,331,23.6,7,5.7,8.3,.29,11,3.79
1963,7,198,14.1,14,391,27.9,13,2.3,11.7,-11.82,22,1.97
1964,7,236,16.9,14,330,23.6,10,4.4,9.6,-2.84,15,3.87
1965,4,421,30.1,1,402,28.7,13,7.4,6.6,7.12,4,5.76
1966,4,320,22.9,6,325,23.2,10,6.9,7.1,1.77,11,2.13
1967,3,273,19.5,11,337,24.1,10,5.3,8.7,-3.05,17,1.53
1968,3,303,21.6,6,310,22.1,9,6.8,7.2,1.29,13,1.79
1969,4,277,19.8,10,319,22.8,10,5.8,8.2,-0.30,13,2.70
1970,1,352,25.1,1,267,19.1,14,9.2,4.8,6.50,6,.43
1971,1,300,21.4,9,216,15.4,6,9.6,4.4,6.26,6,.26
1972,1,353,25.2,4,249,17.8,9,9.7,4.3,6.43,5,-1.00
1973,3,262,18.7,14,319,22.8,19,5.4,8.6,-0.20,14,3.88
1974,2,226,16.1,19,236,16.9,11,6.6,7.4,-2.56,19,-1.85
1975,2,255,18.2,16,286,20.4,14,6.1,7.9,-4.70,20,-2.49
1976,2,270,19.3,13,190,13.6,3,9.8,4.2,3.78,11,-1.93
1977,3,220,15.7,19,260,18.6,20,5.6,8.4,-3.80,19,-0.94
1978,4,219,13.7,28,350,21.9,23,4.0,12.0,-9.10,28,-0.91
1979,4,308,19.3,16,416,26.0,27,5.3,10.7,-7.41,26,-0.66
1980,3,320,20.0,12,415,25.9,26,5.6,10.4,-6.25,25,-0.31
1981,1,357,22.3,7,250,15.6,2,11.2,4.8,6.21,2,-0.48
1982,3,209,23.2,7,206,22.9,23,4.6,4.4,-2.43,18,-2.77
1983,1,432,27.0,4,293,18.3,4,11.4,4.6,8.71,2,.02
1984,1,475,29.7,2,227,14.2,1,13.6,2.4,12.75,1,-2.75
1985,2,411,25.7,5,263,16.4,2,11.9,4.1,8.78,3,-0.47
1986,1,374,23.4,7,247,15.4,3,11.6,4.4,7.02,3,-0.92
1987,1,459,30.6,1,253,16.9,3,12.1,2.9,13.31,1,-0.43
1988,1,369,23.1,7,294,18.4,8,10.1,5.9,4.82,6,.14
1989,1,442,27.6,1,253,15.8,3,12.6,3.4,10.67,1,-1.14
1990,1,353,22.1,8,239,14.9,2,11.5,4.5,5.75,5,-1.37
1991,3,393,24.6,3,239,14.9,4,12.2,3.8,10.85,2,1.23
1992,1,431,26.9,1,236,14.8,3,12.9,3.1,11.79,1,-0.40
1993,1,473,29.6,1,295,18.4,16,12.1,3.9,9.67,1,-1.46
1994,1,505,31.6,1,296,18.5,6,12.5,3.5,11.64,1,-1.43
1995,1,457,28.6,1,258,16.1,2,12.7,3.3,11.76,1,-0.68
1996,2,398,24.9,3,257,16.1,4,11.8,4.2,7.98,2,-0.83
1997,1,375,23.4,5,265,16.6,3,11.1,4.9,5.06,7,-1.81
1998,2,479,29.9,3,328,20.5,13,11.4,4.6,10.61,3,1.17
1999,4,295,18.4,22,453,28.3,30,4.3,11.7,-11.33,28,-1.45
2000,4,388,24.3,6,422,26.4,28,7.2,8.8,-3.85,24,-1.72
2001,2,409,25.6,3,282,17.6,9,11.3,4.7,6.84,5,-1.10
2002,1,367,22.9,13,351,21.9,18,8.4,7.6,.64,17,-0.37
2003,3,384,24.0,9,337,21.1,21,9.2,6.8,3.08,12,.15
2004,4,259,16.2,30,452,28.3,32,3.4,12.6,-13.62,32,-1.56
2005,4,239,14.9,30,428,26.8,30,3.2,12.8,-11.15,32,.67
2006,3,298,18.6,24,412,25.8,32,5.1,10.9,-8.72,31,-1.60
2007,3,219,13.7,32,364,22.8,20,3.7,12.3,-11.93,31,-2.87
2008,2,339,21.2,22,381,23.8,23,6.9,9.1,-5.32,25,-2.69
2009,2,330,20.6,18,281,17.6,4,9.5,6.5,.06,19,-3.01
2010,3,305,19.1,24,346,21.6,16,6.8,9.2,-5.84,27,-3.27
2011,1,380,23.8,11,229,14.3,2,12.3,3.7,8.31,4,-1.13
2012,1,397,24.8,11,273,17.1,2,11.3,4.7,10.21,3,2.46
2013,2,406,25.4,11,272,17.0,3,11.5,4.5,10.14,3,1.76
2014,3,306,19.1,25,340,21.3,10,7.0,9.0,-0.95,19,1.17
2015,4,238,14.9,32,387,24.2,18,3.8,12.2,-5.53,24,3.78
2016,4,309,19.3,27,480,30.0,32,4.2,11.8,-11.21,32,-0.53
2017,4,331,20.7,20,383,23.9,25,6.6,9.4,-2.85,20,.40
2018,3,342,21.4,21,435,27.2,28,5.8,10.2,-5.54,27,.28
2019,1,479,29.9,2,310,19.4,8,11.8,4.2,10.97,2,.41
2020,4,376,23.5,21,390,24.4,17,7.7,8.3,.84,14,1.72
2021,1,58,29.0,8,44,22.0,10,1.3,0.7,-24.81,29,-31.81
