,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@CLE,4.5,0.0,"L, 7-24",Lost,Over,1978
1,2,CHI,2.5,0.0,"L, 13-16",Lost,Over,1978
2,3,@HOU,9.5,0.0,"L, 19-20",Won,Over,1978
3,4,@NYG,4.5,0.0,"L, 10-27",Lost,Over,1978
4,5,CIN,2.5,0.0,"W, 28-12",Won,Over,1978
5,6,@RAM,13.5,0.0,"L, 10-27",Lost,Over,1978
6,7,NOR,-4.0,0.0,"L, 7-14",Lost,Over,1978
7,8,ATL,3.0,0.0,"L, 17-20",Push,Over,1978
8,9,@WAS,10.0,0.0,"L, 20-38",Lost,Over,1978
9,10,@ATL,7.0,0.0,"L, 10-21",Lost,Over,1978
10,11,STL,5.0,0.0,"L, 10-16",Lost,Over,1978
11,12,RAM,10.0,0.0,"L, 28-31",Won,Over,1978
12,13,PIT,7.5,0.0,"L, 7-24",Lost,Over,1978
13,14,@NOR,7.0,0.0,"L, 13-24",Lost,Over,1978
14,15,TAM,-3.5,0.0,"W, 6-3",Lost,Over,1978
15,16,@DET,10.0,0.0,"L, 14-33",Lost,Over,1978
16,1,@MIN,7.0,32.0,"L, 22-28",Won,Over,1979
17,2,DAL,13.0,39.0,"L, 13-21",Won,Under,1979
18,3,@RAM,13.0,39.0,"L, 24-27",Won,Over,1979
19,4,NOR,0.0,42.0,"L, 21-30",Lost,Over,1979
20,5,@SDG,13.0,44.0,"L, 9-31",Lost,Under,1979
21,6,SEA,5.0,43.0,"L, 24-35",Lost,Over,1979
22,7,@NYG,4.0,38.0,"L, 16-32",Lost,Over,1979
23,8,ATL,4.0,42.0,"W, 20-15",Won,Under,1979
24,9,CHI,3.0,39.0,"L, 27-28",Won,Over,1979
25,10,@OAK,12.0,44.0,"L, 10-23",Lost,Under,1979
26,11,@NOR,7.0,42.0,"L, 20-31",Lost,Over,1979
27,12,DEN,9.0,39.0,"L, 28-38",Lost,Over,1979
28,13,RAM,6.0,39.0,"L, 20-26",Push,Over,1979
29,14,@STL,6.0,43.0,"L, 10-13",Won,Under,1979
30,15,TAM,3.0,38.0,"W, 23-7",Won,Under,1979
31,16,@ATL,3.0,45.0,"L, 21-31",Lost,Over,1979
32,1,@NOR,4.0,45.0,"W, 26-23",Won,Over,1980
33,2,STL,-3.0,42.0,"W, 24-21",Push,Over,1980
34,3,@NYJ,5.0,39.0,"W, 37-27",Won,Over,1980
35,4,ATL,-3.0,50.0,"L, 17-20",Lost,Under,1980
36,5,@RAM,9.0,48.0,"L, 26-48",Lost,Over,1980
37,6,@DAL,9.0,48.0,"L, 14-59",Lost,Over,1980
38,7,RAM,9.0,50.0,"L, 17-31",Lost,Under,1980
39,8,TAM,2.0,45.0,"L, 23-24",Won,Over,1980
40,9,@DET,9.0,42.0,"L, 13-17",Won,Under,1980
41,10,@GNB,3.0,42.0,"L, 16-23",Lost,Under,1980
42,11,@MIA,8.0,43.0,"L, 13-17",Won,Under,1980
43,12,NYG,-3.0,47.0,"W, 12-0",Won,Under,1980
44,13,NWE,7.0,48.0,"W, 21-17",Won,Under,1980
45,14,NOR,-7.0,46.0,"W, 38-35",Lost,Over,1980
46,15,@ATL,9.0,45.0,"L, 10-35",Lost,Push,1980
47,16,BUF,6.0,42.0,"L, 13-18",Won,Under,1980
48,1,@DET,4.0,40.0,"L, 17-24",Lost,Over,1981
49,2,CHI,0.0,41.0,"W, 28-17",Won,Over,1981
50,3,@ATL,9.0,41.0,"L, 17-34",Lost,Over,1981
51,4,NOR,-6.0,43.0,"W, 21-14",Won,Under,1981
52,5,@WAS,2.0,43.0,"W, 30-17",Won,Over,1981
53,6,DAL,5.0,45.0,"W, 45-14",Won,Over,1981
54,7,@GNB,-1.0,44.0,"W, 13-3",Won,Under,1981
55,8,RAM,-1.0,46.0,"W, 20-17",Won,Under,1981
56,9,@PIT,5.0,45.0,"W, 17-14",Won,Under,1981
57,10,ATL,2.5,44.0,"W, 17-14",Won,Under,1981
58,11,CLE,-3.0,43.0,"L, 12-15",Lost,Under,1981
59,12,@RAM,3.0,42.0,"W, 33-31",Won,Over,1981
60,13,NYG,-5.0,39.0,"W, 17-10",Won,Under,1981
61,14,@CIN,7.0,42.0,"W, 21-3",Won,Under,1981
62,15,HOU,-7.0,39.0,"W, 28-6",Won,Under,1981
63,16,@NOR,-7.0,37.0,"W, 21-17",Lost,Over,1981
64,17,NYG,-6.0,38.0,"W, 38-24",Won,Over,1981
65,18,DAL,3.0,42.0,"W, 28-27",Won,Over,1981
66,19,CIN,-1.0,48.0,"W, 26-21",Won,Under,1981
67,1,RAI,-6.0,38.0,"L, 17-23",Lost,Over,1982
68,2,@DEN,1.0,40.0,"L, 21-24",Lost,Over,1982
69,3,@STL,-4.0,36.0,"W, 31-20",Won,Over,1982
70,4,NOR,-7.5,38.0,"L, 20-23",Lost,Over,1982
71,5,@RAM,-2.5,42.0,"W, 30-24",Won,Over,1982
72,6,SDG,-2.0,47.0,"L, 37-41",Lost,Over,1982
73,7,ATL,-4.0,50.0,"L, 7-17",Lost,Under,1982
74,8,@KAN,-3.0,41.0,"W, 26-13",Won,Under,1982
75,9,RAM,-10.0,51.0,"L, 20-21",Lost,Under,1982
76,1,PHI,-3.5,40.5,"L, 17-22",Lost,Under,1983
77,2,@MIN,3.0,42.0,"W, 48-17",Won,Over,1983
78,3,@STL,-3.5,45.5,"W, 42-27",Won,Over,1983
79,4,ATL,-4.5,48.0,"W, 24-20",Lost,Under,1983
80,5,@NWE,-3.0,49.5,"W, 33-13",Won,Under,1983
81,6,RAM,-4.5,48.0,"L, 7-10",Lost,Under,1983
82,7,@NOR,1.0,44.5,"W, 32-13",Won,Over,1983
83,8,@RAM,0.0,45.0,"W, 45-35",Won,Over,1983
84,9,NYJ,-6.0,47.5,"L, 13-27",Lost,Under,1983
85,10,MIA,-2.0,45.0,"L, 17-20",Lost,Under,1983
86,11,NOR,-4.0,40.0,"W, 27-0",Won,Under,1983
87,12,@ATL,-3.5,43.5,"L, 24-28",Lost,Over,1983
88,13,@CHI,-4.0,41.5,"L, 3-13",Lost,Under,1983
89,14,TAM,-10.0,41.0,"W, 35-21",Won,Over,1983
90,15,@BUF,-1.5,39.0,"W, 23-10",Won,Under,1983
91,16,DAL,0.0,44.0,"W, 42-17",Won,Over,1983
92,17,DET,-7.5,41.0,"W, 24-23",Lost,Over,1983
93,18,@WAS,10.0,51.0,"L, 21-24",Won,Under,1983
94,1,@DET,-2.5,43.0,"W, 30-27",Won,Over,1984
95,2,WAS,-2.0,52.0,"W, 37-31",Won,Over,1984
96,3,NOR,-5.5,45.0,"W, 30-20",Won,Over,1984
97,4,@PHI,-4.5,44.0,"W, 21-9",Won,Under,1984
98,5,ATL,-6.0,49.5,"W, 14-5",Won,Under,1984
99,6,@NYG,-3.0,44.0,"W, 31-10",Won,Under,1984
100,7,PIT,-8.0,42.0,"L, 17-20",Lost,Under,1984
101,8,@HOU,-11.0,42.0,"W, 34-21",Won,Over,1984
102,9,@RAM,-3.0,45.0,"W, 33-0",Won,Under,1984
103,10,CIN,-10.5,43.0,"W, 23-17",Lost,Under,1984
