Player,09/13vs. ARI,09/20vs. SEA,09/27vs. MIN,10/04vs. STL,10/11vs. ATL,10/25vs. HOU,11/01vs. IND,11/08vs. TEN,11/12vs. CHI,11/22vs. GNB,11/29vs. JAX,12/06vs. SEA,12/14vs. ARI,12/20vs. PHI,12/27vs. DET,01/03vs. STL
David Baas,,P,P,P,P,,,,P,,P,,,,,
Kentwan Balmer,,,,,,,,,,,,D,IR,IR,IR,IR
Arnaz Battle,,,,,P,,,,,,O,P,,,,
Ahmad Brooks,O,O,P,,,,,,,,,P,,P,,
Tarell Brown,,,,,,P,,,P,,P,,,,,
Isaac Bruce,,,,,,,,,Q,Q,D,O,D,D,O,
Nate Clements,,,,,,,,O,O,O,O,O,O,O,O,O
Glen Coffee,,,P,,,,,,O,P,,,,,D,P
Michael Crabtree,,,,,,,,,,P,,,,,,
Nate Davis,,,,,,O,Q,,,,,,,,,
Vernon Davis,,,,P,,,,,P,,,,,,,
Demetric Evans,,,,,,,,O,O,P,,,,,,
Aubrayo Franklin,,P,,,,,P,,,,,,,,,
Dashon Goldson,,,,,,,,,,,,,,P,,
Frank Gore,,,,O,O,P,,,P,,,,,P,,
Marques Harris,,,O,,O,,,,,,,,,,,
Walt Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Hill,,,,,,,,,P,,,,,,,
Shaun Hill,,,,,,,,,,,,,,,,P
Marcus Hudson,,O,,,,P,P,,,,P,O,Q,P,P,
Brandon Jones,O,D,,,,,,,P,,P,P,P,,,
Manny Lawson,,,,,P,,,,,,,,,,,Q
Michael Lewis,Q,,,,O,O,Q,,P,P,P,P,P,,,
Ray McDonald,,,,,,P,P,,,,,P,,,,
Joe Nedney,,,,,,,,,,,,,,,P,O
Moran Norris,,,,,,,,,,,,,,P,P,
Tony Pashos,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chilo Rachal,,P,,,,,,,,,,,,,,P
Michael Robinson,,,,,,,P,,P,,D,P,,P,P,
Mark Roman,,,,,,,,,,P,Q,,,,,
Allen Rossum,,,,P,O,,,,,,,,,,,
Ricky Schmitt,,,,,,,,,,,,,,,,IR
Barry Sims,,,,,,,,,,,,,,P,,
Justin Smith,,P,,,,,,,,P,,,,,,
Reggie Smith,,,,O,O,O,D,O,P,,P,,,,,
Adam Snyder,,,,P,,,P,,,P,P,P,,,,
Isaac Sopoaga,,P,,,,,,,,,,,,,,
Shawntae Spencer,,,,P,,,,,,,,,,,P,
Takeo Spikes,,,,P,,,P,P,P,O,P,P,Q,P,P,
Joe Staley,,,,P,,,,O,O,O,O,D,Q,P,,O
Curtis Taylor,,,,,,,,,P,,,IR,IR,IR,IR,IR
Jeff Ulbrich,,,,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Delanie Walker,,,,,,,,,Q,,,,,P,,
Patrick Willis,,,,,P,,,,,,P,,,,,
