Player,09/12vs. SEA,09/20vs. NOR,09/26vs. KAN,10/03vs. ATL,10/10vs. PHI,10/17vs. OAK,10/24vs. CAR,10/31vs. DEN,11/14vs. STL,11/21vs. TAM,11/29vs. ARI,12/05vs. GNB,12/12vs. SEA,12/16vs. SDG,12/26vs. STL,01/02vs. ARI
Phillip Adams,,P,,,,,,,,,,,,,,O
David Baas,,,,,,,,,,,,D,,,P,P
Alex Boone,,O,Q,,,,,,,,,,,,,
NaVorro Bowman,,,,,,,,,,,,,,P,,
Diyral Briggs,P,,,,,,,,,,,,,,,
Ahmad Brooks,O,P,,,,,,P,,,,,,,,
Tarell Brown,,,,,,,,D,,,,,,,,
Nate Byham,,,,,,,,,,,,,,P,O,O
Nate Clements,,,,,,,P,P,P,P,P,,P,,P,
Anthony Davis,,,,,,,,,,,P,,P,,,
Vernon Davis,,,,,,,P,,,Q,P,,,,,P
Anthony Dixon,,,P,,,,,P,,,,,,,P,P
Aubrayo Franklin,,,,,,,,,,,,,P,,,
Ted Ginn Jr.,,D,D,D,Q,,,,,,,,,,,
Dashon Goldson,,,,P,,,,,,,P,,,,,
Frank Gore,,,,,,,,,,P,P,IR,IR,IR,IR,IR
Parys Haralson,,,,,,,P,,,,,O,P,,,
Eric Heitmann,O,O,O,D,D,,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Mike Iupati,,,,,,,,,,,,,,P,,
Keaton Kristick,,,,,,,,,,,,,,,,O
Travis LaBoy,,,,,,,,,,,,,,,IR,IR
Manny Lawson,,,,,Q,,P,,,,,,,,,
Michael Lewis,,,,O,,,,,,,,,,,,
Taylor Mays,,,,,,,P,,,,,,,,,
Josh Morgan,,,,,,,P,,,P,P,P,P,,P,
Joe Nedney,,,,,,,,,,O,D,O,O,O,IR,IR
Will Peterson,D,D,D,O,Q,,,,,O,O,D,D,Q,,
Chilo Rachal,,D,Q,,P,,P,,,,,,,,,
Alex Smith,,,,,,,,O,O,O,,,,,,
Justin Smith,,,,,,,P,,,,,,,,,P
Reggie Smith,,,,,P,,,,,,,,,,,
Troy Smith,,,,,,O,Q,,,,,,,,,
Adam Snyder,,P,,,,P,,P,,P,,,,,,
Shawntae Spencer,,,,,,,,,,,,Q,P,,,
Takeo Spikes,,,P,P,,,,,,,,,P,P,P,P
Joe Staley,,,,,,P,P,,,O,O,O,O,O,O,O
Curtis Taylor,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Delanie Walker,,,,,O,O,P,,,,,,P,,,
Brian Westbrook,,,,,,,,,,,,P,,,,
Kyle Williams,O,D,Q,,O,,,,,,,,,,,
Patrick Willis,,P,,,,,,,,,,,,P,P,O
DeShawn Wynn,,,,,,,,,,,,,D,P,P,
Dominique Zeigler,,,,,,,,,,,,IR,IR,IR,IR,IR
