Player,09/11vs. SEA,09/18vs. DAL,09/25vs. CIN,10/02vs. PHI,10/09vs. TAM,10/16vs. DET,10/30vs. CLE,11/06vs. WAS,11/13vs. NYG,11/20vs. ARI,11/24vs. BAL,12/04vs. STL,12/11vs. ARI,12/19vs. PIT,12/24vs. SEA,01/01vs. STL,01/14vs. NOR,01/22vs. NYG
Dontavia Bogan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
NaVorro Bowman,,,,,,P,,,P,P,,,,,,,,
Tramaine Brock,,,P,,O,O,D,P,,,,,,,,,,
Tarell Brown,,,,,,,,,,P,,,P,,,,,Q
Nate Byham,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Crabtree,P,O,P,P,P,P,P,P,P,P,P,,,,,,,
Chris Culliver,,,,,,,P,P,P,P,P,P,,,,P,P,
Anthony Davis,,,,,,,,,,,P,P,,,,,,
Braylon Edwards,,,O,O,O,O,P,P,P,P,P,O,P,O,P,,,
Ted Ginn Jr.,,,,,,P,,,,,,,,,O,D,P,O
Dashon Goldson,D,O,P,,,P,,P,P,,,,,,,,,P
Jonathan Goodwin,,,,,,,P,,,,,,,,,,P,P
Frank Gore,,,,P,P,,,,P,P,P,P,,,,,,
Parys Haralson,,,,,,,P,,,,,,,,,,,
Curtis Holcomb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendall Hunter,,,,,,,,,P,,,,,,,,,
Mike Iupati,,,,P,P,P,,,,,,,,,,,,P
Ray McDonald,,,,,,,,D,P,P,,,,,,,P,
Bruce Miller,,,,,,,,Q,,,D,P,,P,P,,Q,
Josh Morgan,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Moran Norris,,,O,O,O,O,D,O,O,D,,,,,,,,
Carlos Rogers,,,,,,,,,,,,,P,,,P,,
Alex Smith,,,P,,,,,,,,,,,,,,,
Reggie Smith,P,,,,,,,,,,,,,,,,,
Adam Snyder,,,,,P,P,P,,,,,P,,,,,,
Isaac Sopoaga,,,,,D,P,,,,,,,,,,,,
Shawntae Spencer,P,,,,O,P,O,O,O,P,,,,,,,,
Joe Staley,,,,,,,,,,,,,,P,,,,
Will Tukuafu,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Delanie Walker,,,,,,,,,P,,,,,,,O,O,P
Donte Whitner,,,,O,P,,,,P,,,,,,,,,
Kyle Williams,,,,,,,,,,,,,,,,D,P,
Patrick Willis,,,,,,,,,,,,,D,O,O,P,,P
