Player,09/09vs. GNB,09/16vs. DET,09/23vs. MIN,09/30vs. NYJ,10/07vs. BUF,10/14vs. NYG,10/18vs. SEA,10/29vs. ARI,11/11vs. STL,11/19vs. CHI,11/25vs. NOR,12/02vs. STL,12/09vs. MIA,12/16vs. NWE,12/23vs. SEA,12/30vs. ARI,01/12vs. GNB,01/20vs. ATL,02/03vs. BAL
David Akers,,,,,,,P,,,,,Q,P,P,P,,,,
Alex Boone,,,,,,,,,,,,,,,P,,,P,
NaVorro Bowman,,P,,,P,,,,,,,,P,P,P,P,P,P,P
Ahmad Brooks,,,,,,,,,,,,,,,Q,P,,,P
Tarell Brown,,,,,,,,,,,P,P,Q,P,,P,P,P,P
Garrett Celek,,,,,,,,,,,,,,,,,P,P,P
Michael Crabtree,,,,,,,,,P,,,,,,,,,,
Chris Culliver,,,,,,,,,,P,P,,Q,P,,,,P,
Anthony Davis,,,,,,,,,,,,P,,,,,,,
Vernon Davis,,,,P,,,,,,,,,,,,Q,,,
Anthony Dixon,,,,,,,,,,P,,,,,,,,,
Demarcus Dobbs,,,,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR
Darius Fleming,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Ted Ginn Jr.,Q,D,Q,Q,,,,,,,,,,,,,,,
Dashon Goldson,,,,,,,,,,P,P,P,,,P,,Q,P,
Tavares Gooden,,,,,,,P,P,P,P,P,P,P,P,Q,P,P,P,
Jonathan Goodwin,,,,,,,,,,P,,,,,,P,,,
Frank Gore,,,,,,,,P,P,P,P,P,P,P,P,P,,P,P
Clark Haggans,,,,,,,,,,,,,,,Q,Q,P,P,P
Jewel Hampton,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,
Parys Haralson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendall Hunter,,,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR
Mike Iupati,,,,,,,,,,,,,P,,P,P,P,P,P
Brandon Jacobs,Q,D,Q,Q,P,P,P,Q,,,,,,,,,,,
LaMichael James,P,,,,,,,,,,,,,,,,,,P
Daniel Kilgore,,,,,,,,,P,,,,,,,,,,
Andy Lee,,P,P,P,P,P,P,P,P,,,,,,,P,,,
Mario Manningham,,,,,,,Q,P,P,P,,P,D,D,,IR,IR,IR,IR
Darcel McBath,,,,,,,,,,,,Q,,,,,,,
Bruce Miller,,,,,,,,,,,,,,P,P,P,,P,P
Randy Moss,,,,,,,,,,,P,,,,,,,,
Trent Robinson,,,,,,,,,,,,,,,,P,Q,,
Carlos Rogers,,,,,Q,,,,,,,,P,P,P,P,P,,
Aldon Smith,Q,,,,,,,,,,P,P,P,P,P,P,P,P,Q
Alex Smith,,,,,,P,P,P,,O,Q,,,,,,,,
Justin Smith,,,,,,,,,,,,,,,Q,D,P,P,P
Isaac Sopoaga,,,,Q,Q,,,,,,,,,,,,,,
C.J. Spillman,,,,,,,,,,,P,,,,P,,,,
Joe Staley,,,,,,,D,Q,,,,,,,,,,,
Will Tukuafu,,,,,,,,,P,P,P,,,P,Q,Q,P,,
Delanie Walker,,,,,,,,,,,,P,,,,,,,
Donte Whitner,,,,,,,,,,,,P,,,,P,,,
Kyle Williams,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Patrick Willis,,,,P,,,,,P,P,P,P,P,P,P,,P,P,P
