Player,09/13vs. ARI,09/20vs. NYJ,09/27vs. NYG,10/04vs. PHI,10/11vs. MIA,10/18vs. LAR,10/25vs. NWE,11/01vs. SEA,11/05vs. GNB,11/15vs. NOR,11/29vs. LAR,12/07vs. BUF,12/13vs. WAS,12/20vs. DAL,12/26vs. ARI,01/03vs. SEA
Brandon Aiyuk,Q,,,,,,,,C19,C19,C19,,,,,O
Azeez Al-Shaair,,,,,,,,,,,Q,,,,,
Kwon Alexander,,,,,,O,O,D,,,,,,,,
Kiko Alonso,,,,,,,,,PUP,PUP,,,,,,
Ezekiel Ansah,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Arik Armstead,,,,,,,,,,,C19,,,,,
Tavon Austin,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Travis Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ronald Blair,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,
Nick Bosa,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendrick Bourne,,,,,,,,,C19,C19,,,,,,
Jake Brendel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shon Coleman,,,,IR,,,,,,,,,,,,
Tevin Coleman,,,O,IR,IR,IR,IR,IR,O,O,O,,,,,
Tom Compton,,,,,,,,,,,O,,O,IR,IR,IR
River Cracraft,,,,,,,,,,Q,,,,,,
Johnathan Cyprien,,,,,,,,,,,IR,IR,IR,IR,,
Demetrius Flannigan-Fowles,,,,,,,,,O,O,O,,,,,
Dee Ford,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Garland,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Garoppolo,,,O,O,,,,,O,IR,IR,IR,IR,IR,IR,IR
Kevin Givens,,,,,,,,,,,,,O,,,O
Robbie Gould,,,,,,,,,,,,,,,,C19
Hroniss Grasu,,,,,,,,,,,C19,,O,O,Q,C19
Dre Greenlaw,,,O,O,,,,,,,Q,,,,,O
Marcell Harris,,,,,,Q,,,,,,,,,,
Jamycal Hasty,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Jalen Hurd,IR,IR,IR,IR,,,,,,,,,,,,
Richie James,,IR,IR,IR,IR,IR,,D,Q,,,,,,,
Dontae Johnson,,,,,O,O,,,,,,,,,,
D.J. Jones,,,,,,,,,,,C19,,D,,,
Dion Jordan,,,,,,,,,,,,,,,D,
Javon Kinlaw,,,,,,,,,,,C19,,,,Q,O
George Kittle,,O,O,,,,,,O,IR,IR,IR,IR,IR,IR,
Spencer Long,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Colton McKivitz,,,,,,,,,,,,,,C19,C19,
Tarvarius Moore,,,,,,,,,,,,,,,Q,Q
Emmanuel Moseley,,,,O,O,Q,,,,,,Q,D,Q,Q,Q
Raheem Mostert,,,O,O,Q,,IR,IR,IR,IR,IR,,,,IR,IR
Nick Mullens,,,,,,,,,,,,,,,O,IR
Mark Nzeocha,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,Q
Taybor Pepper,,,,,,,,,,,,,,,,C19
Jordan Reed,,,,IR,IR,IR,IR,IR,IR,,Q,,,,,
Ross Reynolds,IR,IR,,,,,,,,,,,,,,
Weston Richburg,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,
Deebo Samuel,IR,IR,IR,IR,Q,,,O,O,O,,,,O,O,O
Richard Sherman,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,O,O
Kentavius Street,,,,,,,,D,,,,,,,,
Jaquiski Tartt,,,,,,,O,O,Q,IR,IR,IR,IR,IR,IR,IR
Jamar Taylor,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Jullian Taylor,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,
Trent Taylor,,,,,,,,,,Q,,,,,,
Solomon Thomas,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Thompson,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Verrett,O,O,,,,,,,,,,,,,,
Joe Walker,,,,,,,,,,,C19,,,,,
Austin Walter,,,,,,,,,,,,,,C19,C19,
Jimmie Ward,,,,,,,O,Q,,,,,,,O,
Fred Warner,,,,,,,,,,,,,,Q,,
Ken Webster,,,,,,,,,,,IR,IR,IR,IR,IR,IR
K'Waun Williams,,,,Q,IR,IR,IR,IR,,O,O,O,Q,Q,,
Trent Williams,,,,,,,Q,,O,C19,C19,,,,,IR
Jordan Willis,,,,,,,,,,,C19,,,,,IR
Jeff Wilson,,,,,,Q,Q,O,IR,IR,IR,,,,,
Ahkello Witherspoon,,,Q,O,Q,,,,,,,,,,,
Charlie Woerner,,,,,,,,,,,,,,C19,C19,C19
