,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1976,5,125,8.9,28,412,29.4,27,0.8,13.2,-19.66,28,.84
1977,5,103,7.4,28,223,15.9,12,1.9,12.1,-10.75,28,-2.17
1978,5,241,15.1,25,259,16.2,7,7.3,8.7,-3.29,24,-2.17
1979,1,273,17.1,21,237,14.8,1,9.3,6.7,-2.81,20,-5.06
1980,4,271,16.9,23,341,21.3,20,5.9,10.1,-5.12,22,-0.75
1981,1,315,19.7,18,268,16.8,4,9.5,6.5,3.01,10,.08
1982,3,158,17.6,18,178,19.8,16,3.9,5.1,.88,14,3.10
1983,5,241,15.1,27,380,23.8,22,4.1,11.9,-9.00,27,-0.32
1984,3,335,20.9,14,380,23.8,21,6.8,9.2,-3.52,20,-0.71
1985,5,294,18.4,21,448,28.0,27,4.3,11.7,-7.43,24,2.20
1986,5,239,14.9,26,473,29.6,28,2.6,13.4,-15.39,28,-0.76
1987,4,286,19.1,19,360,24.0,20,5.5,9.5,-5.76,25,-0.83
1988,3,261,16.3,22,350,21.9,19,5.3,10.7,-4.06,23,1.50
1989,5,320,20.0,16,419,26.2,27,5.5,10.5,-5.13,23,1.06
1990,2,264,16.5,25,367,22.9,22,5.0,11.0,-7.14,26,-0.71
1991,5,199,12.4,26,365,22.8,25,3.1,12.9,-11.13,27,-0.76
1992,3,267,16.7,21,365,22.8,25,5.2,10.8,-5.87,23,.26
1993,5,237,14.8,23,376,23.5,26,4.0,12.0,-7.57,25,1.12
1994,5,251,15.7,26,351,21.9,20,5.0,11.0,-6.21,26,.05
1995,5,238,14.9,29,335,20.9,12,4.9,11.1,-4.95,25,1.11
1996,4,221,13.8,30,293,18.3,8,5.4,10.6,-3.01,24,1.49
1997,2,299,18.7,23,263,16.4,2,9.2,6.8,2.71,10,.46
1998,3,314,19.6,18,295,18.4,5,8.6,7.4,1.27,13,.08
1999,1,270,16.9,27,235,14.7,3,9.3,6.7,2.61,13,.42
2000,2,388,24.3,6,269,16.8,7,11.3,4.7,7.32,5,-0.12
2001,3,324,20.3,15,280,17.5,8,9.4,6.6,4.03,8,1.28
2002,1,346,21.6,18,196,12.3,1,12.7,3.3,8.80,2,-0.57
2003,3,301,18.8,18,264,16.5,4,9.2,6.8,1.61,14,-0.71
2004,4,301,18.8,23,304,19.0,9,7.9,8.1,-2.68,19,-2.49
2005,1,300,18.8,20,274,17.1,8,8.9,7.1,-1.00,16,-2.63
2006,4,211,13.2,31,353,22.1,21,3.6,12.4,-7.93,30,.95
2007,1,334,20.9,18,270,16.9,3,10.0,6.0,1.22,14,-2.78
2008,3,361,22.6,19,323,20.2,10,9.0,7.0,2.27,14,-0.11
2009,4,244,15.3,30,400,25.0,27,3.8,12.2,-5.64,25,4.11
2010,3,341,21.3,20,318,19.9,9,8.7,7.3,-0.58,17,-2.02
2011,4,287,17.9,27,494,30.9,32,3.5,12.5,-10.62,31,2.32
2012,4,389,24.3,13,394,24.6,23,7.9,8.1,.01,18,.32
2013,4,288,18.0,30,389,24.3,21,5.3,10.7,-2.67,19,3.64
2014,4,277,17.3,29,410,25.6,25,4.5,11.5,-9.78,30,-1.47
2015,4,342,21.4,20,417,26.1,26,6.2,9.8,-7.71,31,-3.02
2016,2,354,22.1,18,369,23.1,15,7.6,8.4,-0.19,20,.74
2017,4,335,20.9,18,382,23.9,22,6.8,9.2,-1.28,16,1.66
2018,4,396,24.8,12,464,29.0,31,6.5,9.5,-2.56,21,1.69
2019,3,458,28.6,3,449,28.1,29,8.2,7.8,.39,14,-0.18
2020,2,492,30.8,3,355,22.2,8,10.9,5.1,9.39,2,.82
2021,1,79,39.5,1,54,27.0,21,1.4,0.6,-16.75,25,-29.25
