,Week,Day,Date,Time,Outcome,OT,Rec,Home,Opp,Score_Tm,Score_Opp,Offense_1stD,Offense_TotYd,Offense_PassY,Offense_RushY,Offense_TO,Defense_1stD,Defense_TotYd,Defense_PassY,Defense_RushY,Defense_TO,Year,Expected Points_Offense,Expected Points_Defense,Expected Points_Sp. Tms
0,1,Sun,September 12,2:00PM ET,L,False,0-1,False,Houston Oilers,0.0,20.0,8.0,110.0,58.0,52.0,2.0,21.0,372.0,182.0,190.0,4.0,1976,,,
1,2,Sun,September 19,1:00PM ET,L,False,0-2,True,San Diego Chargers,0.0,23.0,5.0,125.0,-4.0,129.0,4.0,16.0,326.0,131.0,195.0,2.0,1976,,,
2,3,Sun,September 26,1:00PM ET,L,False,0-3,True,Buffalo Bills,9.0,14.0,15.0,338.0,168.0,170.0,2.0,14.0,295.0,186.0,109.0,2.0,1976,,,
3,4,Sun,October 3,2:00PM ET,L,False,0-4,False,Baltimore Colts,17.0,42.0,6.0,89.0,13.0,76.0,1.0,31.0,458.0,220.0,238.0,2.0,1976,,,
4,5,Sun,October 10,1:00PM ET,L,False,0-5,False,Cincinnati Bengals,0.0,21.0,12.0,200.0,86.0,114.0,3.0,17.0,277.0,89.0,188.0,3.0,1976,,,
5,6,Sun,October 17,1:00PM ET,L,False,0-6,True,Seattle Seahawks,10.0,13.0,18.0,285.0,140.0,145.0,1.0,14.0,253.0,163.0,90.0,2.0,1976,,,
6,7,Sun,October 24,4:00PM ET,L,False,0-7,True,Miami Dolphins,20.0,23.0,20.0,334.0,191.0,143.0,1.0,19.0,290.0,90.0,200.0,1.0,1976,,,
7,8,Sun,October 31,1:00PM ET,L,False,0-8,True,Kansas City Chiefs,19.0,28.0,16.0,196.0,182.0,14.0,1.0,22.0,318.0,182.0,136.0,3.0,1976,,,
8,9,Sun,November 7,4:00PM ET,L,False,0-9,False,Denver Broncos,13.0,48.0,17.0,234.0,122.0,112.0,4.0,18.0,415.0,222.0,193.0,3.0,1976,,,
9,10,Sun,November 14,1:00PM ET,L,False,0-10,False,New York Jets,0.0,34.0,18.0,277.0,171.0,106.0,6.0,24.0,344.0,133.0,211.0,1.0,1976,,,
10,11,Sun,November 21,1:00PM ET,L,False,0-11,True,Cleveland Browns,7.0,24.0,18.0,227.0,125.0,102.0,2.0,21.0,282.0,133.0,149.0,,1976,,,
11,12,Sun,November 28,4:00PM ET,L,False,0-12,False,Oakland Raiders,16.0,49.0,16.0,218.0,107.0,111.0,3.0,28.0,486.0,307.0,179.0,3.0,1976,,,
12,13,Sun,December 5,1:00PM ET,L,False,0-13,False,Pittsburgh Steelers,0.0,42.0,8.0,105.0,11.0,94.0,4.0,26.0,385.0,163.0,222.0,1.0,1976,,,
13,14,Sun,December 12,1:00PM ET,L,False,0-14,True,New England Patriots,14.0,31.0,14.0,268.0,133.0,135.0,3.0,13.0,300.0,40.0,260.0,1.0,1976,,,
14,1,Sun,September 18,1:00PM ET,L,False,0-1,False,Philadelphia Eagles,3.0,13.0,8.0,118.0,26.0,92.0,1.0,15.0,281.0,137.0,144.0,5.0,1977,,,
15,2,Sat,September 24,8:00PM ET,L,False,0-2,True,Minnesota Vikings,3.0,9.0,8.0,138.0,34.0,104.0,3.0,17.0,315.0,211.0,104.0,3.0,1977,,,
16,3,Sun,October 2,1:00PM ET,L,False,0-3,False,Dallas Cowboys,7.0,23.0,10.0,163.0,87.0,76.0,2.0,23.0,415.0,210.0,205.0,3.0,1977,,,
17,4,Sun,October 9,4:00PM ET,L,False,0-4,True,Washington Redskins,0.0,10.0,11.0,136.0,39.0,97.0,5.0,14.0,239.0,118.0,121.0,3.0,1977,,,
18,5,Sun,October 16,4:00PM ET,L,False,0-5,False,Seattle Seahawks,23.0,30.0,22.0,384.0,217.0,167.0,6.0,21.0,375.0,241.0,134.0,2.0,1977,,,
19,6,Sun,October 23,1:00PM ET,L,False,0-6,True,Green Bay Packers,0.0,13.0,13.0,188.0,113.0,75.0,3.0,14.0,218.0,93.0,125.0,2.0,1977,,,
20,7,Sun,October 30,4:00PM ET,L,False,0-7,False,San Francisco 49ers,10.0,20.0,18.0,250.0,146.0,104.0,3.0,20.0,306.0,101.0,205.0,1.0,1977,,,
21,8,Sun,November 6,4:00PM ET,L,False,0-8,False,Los Angeles Rams,0.0,31.0,9.0,152.0,43.0,109.0,4.0,21.0,330.0,153.0,177.0,1.0,1977,,,
22,9,Sun,November 13,1:00PM ET,L,False,0-9,True,New York Giants,0.0,10.0,19.0,287.0,182.0,105.0,5.0,13.0,197.0,74.0,123.0,3.0,1977,,,
23,10,Sun,November 20,2:00PM ET,L,False,0-10,False,Detroit Lions,7.0,16.0,8.0,147.0,71.0,76.0,5.0,14.0,216.0,69.0,147.0,5.0,1977,,,
24,11,Sun,November 27,1:00PM ET,L,False,0-11,True,Atlanta Falcons,0.0,17.0,8.0,78.0,16.0,62.0,5.0,18.0,222.0,47.0,175.0,1.0,1977,,,
25,12,Sun,December 4,1:00PM ET,L,False,0-12,True,Chicago Bears,0.0,10.0,9.0,135.0,21.0,114.0,2.0,17.0,274.0,133.0,141.0,1.0,1977,,,
26,13,Sun,December 11,2:00PM ET,W,False,1-12,False,New Orleans Saints,33.0,14.0,14.0,238.0,103.0,135.0,1.0,17.0,250.0,154.0,96.0,7.0,1977,,,
