Player,09/12vs. CLE,09/19vs. CAR,09/26vs. PIT,10/10vs. CIN,10/17vs. NOR,10/24vs. STL,10/31vs. ARI,11/07vs. ATL,11/14vs. CAR,11/21vs. SFO,11/28vs. BAL,12/05vs. ATL,12/12vs. WAS,12/19vs. DET,12/26vs. SEA,01/02vs. NOR
Jon Alston,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Arrelious Benn,,,,,,,,,,,,,,,,IR
E.J. Biggers,,,,,,,,,,,,,,,,P
Quincy Black,,,,,,,,,O,O,P,P,Q,IR,IR,IR
LeGarrette Blount,,,,,,,P,,,,,,,,,
Jeff Faine,,,P,,O,O,O,D,P,,,,IR,IR,IR,IR
Josh Freeman,P,P,P,P,,,,,,,,,,,,
Earnest Graham,,,,,,O,P,O,O,P,,,,,,O
Cody Grimm,,,,,,,,,,,,IR,IR,IR,IR,IR
Geno Hayes,,,,,,,P,,,,,,,,,
Adam Hayward,,,,P,,,,,,,,,,,,
Kareem Huggins,,O,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sean Jones,,,,,P,,,,,,,,,,,
Davin Joseph,,P,,,,P,,,,,,IR,IR,IR,IR,IR
Niko Koutouvides,P,O,O,P,P,,,,,,,,,,,
James Lee,,,,,,,,,,,,,,,O,P
Myron Lewis,,,O,,,,,,,,,,,,P,
Elbert Mack,,,,,O,Q,O,,,,,,,,,
Alex Magee,,,,,,,O,,,,,,,,,
Gerald McCoy,,,,,,,,P,,,,,,IR,IR,IR
Roy Miller,,Q,,,,,,,,,,,,,,
Kyle Moore,,,,P,O,P,Q,P,O,O,O,,,,,
Preston Parker,,,,,,,D,P,,,,,,,,
Chris Pressley,,P,,,,,,,,,,,,,,
Brian Price,P,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Barrett Ruud,,,,,,P,,,,,,P,,,,
Ryan Sims,,,,,,,,O,O,O,Q,,,,,
Jerramy Stevens,,,,,,O,,,,,,,,,,
Maurice Stovall,O,,,O,O,Q,,,,,,,,,,
Sammie Stroughter,,,,,,,,O,O,P,P,,,,O,O
Aqib Talib,,P,,,,,P,,,,,,IR,IR,IR,IR
Jeremy Trueblood,,,,,,,O,O,P,P,,,,,,
Keydrick Vincent,,,,,,O,Q,,,,,,,,,
Dekoda Watson,,,,,,,,,,,,O,P,,P,
Cadillac Williams,,,P,,,,,,,,,P,,,,
Mike Williams,,,,,P,,,,,P,,,P,P,,
Kellen Winslow,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
