Player,09/11vs. DET,09/18vs. MIN,09/25vs. ATL,10/03vs. IND,10/09vs. SFO,10/16vs. NOR,10/23vs. CHI,11/06vs. NOR,11/13vs. HOU,11/20vs. GNB,11/27vs. TEN,12/04vs. CAR,12/11vs. JAX,12/17vs. DAL,12/24vs. CAR,01/01vs. ATL
Larry Asante,,,,,,,,,,,,,D,O,Q,
Arrelious Benn,,,,,,,,,,,,,,D,P,O
Michael Bennett,,,,,P,,P,,,P,D,O,P,P,P,Q
Quincy Black,,,D,P,O,P,,,,,,,,,,
LeGarrette Blount,,,,,,D,D,P,,,,,,,,
Da'Quan Bowers,,P,,,,,,,,,,,,,,
Adrian Clayborn,,,,,,,,,,,,P,,,,P
Tim Crowder,,,P,,P,,,,,,,,IR,IR,IR,IR
Jacob Cutrera,,,,,,,,,,,,,,IR,IR,IR
Zach Diles,,,,,D,O,Q,,,,,,,,,
Andrew Economos,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,
Jeff Faine,,,,,,,D,P,,,,,,,,
Mason Foster,,,,,,P,,P,,,,,,,,
Josh Freeman,,,,,,,,P,P,P,,O,P,P,P,
Earnest Graham,,,,,P,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cody Grimm,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Geno Hayes,,,,Q,,,,,,,,,,,P,P
Albert Haynesworth,,,,,,,,,,P,,P,P,P,O,Q
Adam Hayward,,,,,,,,,,,P,P,P,P,P,P
Devin Holland,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tanard Jackson,,,Q,,,P,,P,P,O,P,P,,,,
George Johnson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Josh Johnson,,,,P,,,,,,,,,,,,
Ted Larsen,P,,,,,,,,,,,,,,,
James Lee,,O,O,O,O,O,Q,,,,,,O,,,
Myron Lewis,O,O,P,,,,,,,,,,,,,
John McCargo,,,,,,,,,,,,,,IR,IR,IR
Gerald McCoy,,,,,,D,O,P,IR,IR,IR,IR,IR,IR,IR,IR
Roy Miller,,,,,,,,,,,,,,,P,P
Frank Okam,,,,,,,,O,D,O,,,,,,
Preston Parker,,,,,,,,,,,,,,,,P
Donald Penn,,,,,,,,,,P,,,,,,
Zack Pianalto,,,,P,P,,,,,,,,,,,
Brian Price,,Q,,,,,,P,,,P,D,P,P,O,Q
Luke Stocker,,,,,O,O,P,,,,,,P,,,
Sammie Stroughter,,O,O,O,O,O,O,P,P,,,,,O,P,P
Aqib Talib,,,,,P,P,,,,,,,O,,IR,IR
Jeremy Trueblood,,,,,,,,,,,P,,,,,O
Dekoda Watson,Q,,,,,,,,O,O,P,P,,,,
Mike Williams,,,,,,,,,P,,,,,,,
Kellen Winslow,Q,,P,P,,,,,,,,,,,,
Jeremy Zuttah,,,,,,,,O,P,,,,,,,
