Player,09/09vs. CAR,09/16vs. NYG,09/23vs. DAL,09/30vs. WAS,10/14vs. KAN,10/21vs. NOR,10/25vs. MIN,11/04vs. OAK,11/11vs. SDG,11/18vs. CAR,11/25vs. ATL,12/02vs. DEN,12/09vs. PHI,12/16vs. NOR,12/23vs. STL,12/30vs. ATL
Roger Allen,,,,,,,,,,,,,,,,D
Arrelious Benn,P,P,,,,,,,Q,P,IR,IR,IR,IR,IR,IR
Michael Bennett,,,,,,,,P,P,P,P,P,,P,P,
E.J. Biggers,D,D,P,P,,,,,,,,,,,,P
Ahmad Black,,,,,,,,,,,P,,,,,Q
Quincy Black,,,P,,,,,,,IR,IR,IR,IR,IR,IR,IR
LeGarrette Blount,Q,Q,,,,,,,,,,,,,,
Da'Quan Bowers,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,P,P
Nate Byham,,,,,,,,,,,,,,,,P
Dallas Clark,,,,,,,,,,,,,,,,P
Adrian Clayborn,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lavonte David,,,,,,,,,,,,,,,P,
Anthony Gaitor,D,D,O,O,IR,IR,IR,IR,IR,IR,IR,IR,P,P,,
Cody Grimm,,,,,,,,,Q,P,O,IR,IR,IR,IR,IR
Adam Hayward,,,,,,,P,,,,,,,,,
Vincent Jackson,,,,,,P,P,,,,,,P,,,
Leonard Johnson,,,,P,,,,,,,P,,,,,
Davin Joseph,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ted Larsen,,,,,,,,,,,,P,,,,
LeQuan Lewis,,,,,,,,,,,,,O,P,P,P
Myron Lewis,,,,,,,,,,,,,,IR,IR,IR
Brandon McDonald,,,,,,,P,P,,,,,,,,
Jamon Meredith,,,,,,,,,,Q,,,,P,,
Roy Miller,,,,,Q,,,,,,,P,D,P,,
Aaron Morgan,,,,,,,,,,,P,,,,D,IR
Carl Nicks,,P,,P,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny Noble,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Preston Parker,,,P,,,,,,,,,,,,,
Donald Penn,,,,,,,,P,,,,,,,,
Luke Stocker,,,,,,,,,P,,,,,,P,
Sammie Stroughter,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Trueblood,,Q,P,,P,,,,,,,IR,IR,IR,IR,IR
Tiquan Underwood,,,,,,,,,,,P,,,,,
Danny Ware,,,,,,,,,,,,,P,,,
Dekoda Watson,,,,P,,,,,,,,P,,,,
Mike Williams,,,,,,,,,,,,,,,P,
Eric Wright,,Q,P,,P,,,P,P,P,D,,,,,P
Desmond Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Zuttah,,,,,,,P,,,,,,,,,P
