Player,09/13vs. TEN,09/20vs. NOR,09/27vs. HOU,10/04vs. CAR,10/11vs. JAX,10/25vs. WAS,11/01vs. ATL,11/08vs. NYG,11/15vs. DAL,11/22vs. PHI,11/29vs. IND,12/06vs. ATL,12/13vs. NOR,12/17vs. STL,12/27vs. CHI,01/03vs. CAR
Jude Adjei-Barimah,,,,,,,,,,,,,P,,,
Johnthan Banks,,,,D,D,P,,,,,,,,,,
Kenny Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Da'Quan Bowers,,,,,,,,,,,,,,,,P
Kourtnei Brown,,,,,,,,,,,,,,,D,P
Bruce Carter,,Q,,,,Q,,,,,,D,P,D,P,
Gosder Cherilus,,,,,,,,,,,,Q,P,,,
Chris Conte,,,,P,,P,,,,,,,,,IR,O
Lavonte David,,,,,,,,,,,,,Q,P,,
Evan Dietrich-Smith,,,D,D,D,Q,P,,,Q,P,,,,,
Demar Dotson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,,
Kadeem Edwards,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry English,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Evans,Q,Q,P,,,,,,,,,,,,,
T.J. Fatinikun,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reid Fragel,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
William Gholston,,,,,,,,Q,,,,,P,,,P
Joe Hawley,,,,,,,,,,,,P,,,,
Vincent Jackson,,,,,,,D,O,O,Q,,P,P,IR,IR,IR
Mike Jenkins,Q,Q,Q,,,,,,,,,P,,,,
George Johnson,P,,,Q,,P,,,,O,O,O,D,Q,P,
Jorvorskie Lane,,,,,,,,,,,,,,,,P
Danny Lansanah,,Q,,,,,,,,,,,,,,
Logan Mankins,,,,,Q,Q,P,P,,,,,P,Q,Q,P
Ali Marpet,,,,,,,,,O,Q,Q,P,,,,
Doug Martin,,,,Q,,,,,,,,,,,,
Gerald McCoy,,,Q,Q,Q,P,P,P,P,,,D,Q,P,P,
Tony McDaniel,,,,,,O,O,Q,P,,,,,,,
Clinton McDonald,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bradley McDougald,,,,,,,,,Q,,,,,,,
Sterling Moore,,,,,,,,,,,,,,,,P
Louis Murphy,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Seferian-Jenkins,,,O,D,D,O,D,Q,Q,Q,D,Q,,,,
Russell Shepard,,,,,D,Q,P,,,,,,,,,
Josh Shirley,,,,,,,,,,D,P,,,,,
Donovan Smith,,,,Q,,,,,,,,,,,,
Jacquies Smith,,,,,,,,O,O,Q,,O,O,Q,,
Akeem Spence,IR,IR,IR,IR,IR,,,,,,,,,IR,O,IR
Luke Stocker,,,,D,Q,P,,,,,,Q,,,,
D.J. Swearinger,,,Q,,,,,Q,D,,,,,,,
Keith Tandy,,,,,,,,,,,O,P,,,,
Alterraun Verner,,,,,,,,,P,,,,,,,
Major Wright,,O,D,Q,P,,D,O,Q,P,,,,,,IR
