Player,09/11vs. ATL,09/18vs. ARI,09/25vs. LAR,10/02vs. DEN,10/10vs. CAR,10/23vs. SFO,10/30vs. OAK,11/03vs. ATL,11/13vs. CHI,11/20vs. KAN,11/27vs. SEA,12/04vs. SDG,12/11vs. NOR,12/18vs. DAL,12/24vs. NOR,01/01vs. CAR
Jude Adjei-Barimah,,,,,,Q,,,,,,,,,,IR
Robert Ayers,,Q,O,O,Q,O,Q,,,,,,,,,
Devante Bond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cameron Brate,,,,,,,,,,,,,,,,IR
Gosder Cherilus,,,,,,,,,,,,,,,O,Q
Chris Conte,,,,,,,,,,,,O,O,Q,,
Lavonte David,,Q,Q,,,,,,,,,,,Q,,
Evan Dietrich-Smith,,,,,Q,,,,,O,O,O,Q,,,
Demar Dotson,,,,,,,,,,,,,O,O,O,
Donteea Dye,,,,,,,,,,,,,,,IR,IR
William Gholston,,,,,,,,Q,,,,,,,O,O
Ben Gottschalk,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Brent Grimes,,,,,Q,,,,,,Q,,,,,
Vernon Hargreaves III,,,,,,,,,,,,,,,,Q
Joe Hawley,,,,Q,,Q,Q,,D,Q,,,,,,
Adam Humphries,,,,,,,,,,,,,O,,,
Vincent Jackson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike James,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR,IR
George Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Howard Jones,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Doug Martin,,,O,O,D,O,O,O,Q,,,,,,,
Gerald McCoy,,,,,D,Q,Q,,,,,Q,Q,Q,Q,
Clinton McDonald,,,,,D,O,O,O,Q,,,,,,,
Louis Murphy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Myers,,,,,Q,,,,,,,Q,,,,
Kevin Pamphile,,,,,,,,,O,O,,,,,,
Jacquizz Rodgers,,,,,,,,O,O,O,Q,Q,,,,
Cecil Shorts,,,,,,Q,,,,,,,IR,IR,IR,IR
Sealver Siliga,,,,,,,,,,,,,,Q,,
Charles Sims,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR
Antone Smith,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Donovan Smith,,,Q,,,,,,,,,,,,,
Jacquies Smith,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Smith,Q,Q,Q,,,,,,,,,Q,,,,
Noah Spence,,,,,Q,,,,,,,,,,,
Luke Stocker,Q,,O,O,D,Q,,,,Q,Q,,O,Q,,
J.R. Sweezy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keith Tandy,,,,,Q,,,,,,,,,,,
Adarius Taylor,,Q,,,,,,,,,,,,,,
Alterraun Verner,,,,,,,,,,,Q,,,,,
