Player,09/09vs. NOR,09/16vs. PHI,09/24vs. PIT,09/30vs. CHI,10/14vs. ATL,10/21vs. CLE,10/28vs. CIN,11/04vs. CAR,11/11vs. WAS,11/18vs. NYG,11/25vs. SFO,12/02vs. CAR,12/09vs. NOR,12/16vs. BAL,12/23vs. DAL,12/30vs. ATL
Kwon Alexander,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Beau Allen,,,O,O,Q,,,,,,,,,Q,,
Sergio Bailey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tavaris Barnes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendell Beckwith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devante Bond,IR,IR,IR,IR,IR,,,,,,,,,,,Q
Riley Bullough,IR,IR,IR,IR,IR,IR,,,,,,,IR,,,
Jack Cichy,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Conte,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alan Cross,,,,,,,,,,,,,,,IR,IR
Vinny Curry,,,,,,O,O,Q,O,O,Q,,,,,
Lavonte David,,,,,,,,,,O,O,Q,,,,
Carlton Davis,,,,Q,Q,Q,,,,,,O,D,Q,,
Evan Dietrich-Smith,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demar Dotson,,,,,,,,,,,,D,Q,Q,,
Justin Evans,,,,,,,,,,O,O,Q,IR,IR,IR,IR
Maurice Fleming,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cole Gardner,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brent Grimes,D,O,Q,,,,,,,,,Q,Q,,,
Vernon Hargreaves III,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
De'Vante Harris,D,IR,IR,IR,IR,IR,,,,,,,,,,
O.J. Howard,,,,,Q,,,,,,IR,IR,IR,IR,IR,IR
DeSean Jackson,,Q,,,,,,,,,Q,O,O,O,Q,D
Ryan Jensen,,,Q,,,,,,,Q,Q,,,,,
Isaiah Johnson,,,,,,,,,,,,,O,Q,,
Ronald Jones II,,,,,,,,O,O,O,Q,,,,,
Gerald McCoy,,,,,,O,O,Q,,,,,,,,
Kevin Minter,,,,,,,,,,,,,,IR,IR,IR
Carl Nassib,,,,,,,,,,Q,,,,,,D
Rakeem Nunez-Roches,,,,,,,,,,,,Q,,,,
Jason Pierre-Paul,,Q,,,,,,,,,Q,,Q,Q,,Q
Garrison Sanborn,,,,,,,,,,,Q,,,,,
Charles Sims,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donovan Smith,Q,,,,,,,,,,,,,,,
M.J. Stewart,,,,,,,,O,O,O,O,O,Q,,,
Adarius Taylor,,,,,,,,,,,,,,Q,,
Stevie Tu'ikolovatu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mitch Unrein,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Whitehead,,,,Q,Q,Q,,,,,Q,,,,,
Marcus Williams,,,O,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shaun Wilson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
