Player,09/08vs. SFO,09/12vs. CAR,09/22vs. NYG,09/29vs. LAR,10/06vs. NOR,10/13vs. CAR,10/27vs. TEN,11/03vs. SEA,11/10vs. ARI,11/17vs. NOR,11/24vs. ATL,12/01vs. JAX,12/08vs. IND,12/15vs. DET,12/21vs. HOU,12/29vs. ATL
Beau Allen,,,,,,,,,,,,,,O,O,O
Antony Auclair,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Zack Bailey,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shaquil Barrett,,,,,,Q,,,,,,,,,,
Kendell Beckwith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devante Bond,,,O,,,,,,,,,,,,,
Cameron Brate,,,,,,,,Q,,,,,,,,
K.J. Brent,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Alex Cappa,,,,,,O,O,,,,,,O,Q,,
Jack Cichy,,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carlton Davis,,,,,,,,,O,Q,,,,,Q,
Jamel Dean,,,O,O,,,,,,,,,Q,,,
D'cota Dixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demar Dotson,,,,Q,Q,O,Q,,,,,,,,,
Mike Edwards,,,,,,Q,,,,,,,,,,
Justin Evans,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Evans,Q,,,,,,,,,,,,,O,IR,IR
Blaine Gabbert,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Godwin,,,,Q,,,,,,,,,,,O,O
O.J. Howard,,,,,,,O,O,,,,,,,,
Tanner Hudson,,,,,,,,,,,,,,,O,
Ryan Jensen,,,,Q,,,,,,,,,,,Q,
Jeremiah Ledbetter,IR,IR,,,,,,,,,,,,,,
Mike Liedtke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. Logan,,,,,,Q,,,,,,,O,IR,IR,IR
Scott Miller,,,,,,,,,,,,O,O,,IR,IR
Bryant Mitchell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carl Nassib,,,,,,,,,O,O,Q,Q,,,,
Anthony Nelson,,,,,,,,,O,O,O,O,O,O,,
Breshad Perriman,,,,,O,O,,,,,,,,,,
Jason Pierre-Paul,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Cortrelle Simpson,IR,,,,,,,,,,,,,,,
Donovan Smith,,,,,,,,,,,,,,D,Q,Q
M.J. Stewart,,,,,,,,,,O,O,O,Q,,,
Orion Stewart,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin White,Q,,O,O,,,,,,,,,,Q,,
Jordan Whitehead,,,,,,,,,,,,,,,IR,IR
Jameis Winston,,,,,,,,,,,,,,Q,Q,Q
