Player,09/13vs. NOR,09/20vs. CAR,09/27vs. DEN,10/04vs. LAC,10/08vs. CHI,10/18vs. GNB,10/25vs. LVR,11/02vs. NYG,11/08vs. NOR,11/15vs. CAR,11/23vs. LAR,11/29vs. KAN,12/13vs. MIN,12/20vs. ATL,12/26vs. DET,01/03vs. ATL,01/09vs. WAS,01/17vs. NOR,01/24vs. GNB,02/07vs. KAN
Andrew Adams,,,,,,,Q,,,,,,,,,,,Q,,
Antony Auclair,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,
Kenjon Barner,,,,,,,,,,,,,,,,IR,IR,IR,IR,IR
Shaquil Barrett,,,,,,,,,,,,,,,,C19,C19,,,
Cameron Brate,,,,,,,,,,,,,Q,,,,,,,Q
Antonio Brown,,,,,,,,,,,,,,,,,,,O,Q
Alex Cappa,,,,,,,,,,,,,,,,,,IR,IR,IR
Jack Cichy,,,,,IR,IR,IR,IR,,,,,,,,,,,IR,IR
Carlton Davis,,,,,,Q,,,,Q,,,,,D,D,Q,,,
Khalil Davis,,,,,,Q,,,,,,,,,,,,,,
Jamel Dean,,,,,,,,,,,,O,D,,,,,,,
Justin Evans,PUP,,,,,,PUP,,,,,,,,,,,,,
Mike Evans,D,,,,Q,,,,,,,,,,,,Q,,,
Leonard Fournette,,,,O,D,Q,,,,,,,,,,,,,,
John Franklin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
William Gholston,,,,,,,,,C19,,,,,,,,,,,
Chris Godwin,,D,,O,O,,,O,Q,,,,,,,,,,,
O.J. Howard,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tanner Hudson,,,,,,,,,,,O,O,,,,,,,,
John Hurst,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,
Ronald Jones II,,,,,,,,,,,,,,C19,C19,C19,,Q,,
Jeremiah Ledbetter,,,,,,,,,,,,,,,,O,O,O,,
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,,,,IR,IR,IR,IR
Ali Marpet,,,,,,,,,O,Q,D,Q,,,,,,,,
LeSean McCoy,,,,,O,,,,,,,,,,,Q,Q,,,
Steve McLendon,,,,,,,,,,,,,,,,C19,C19,,,
Jaydon Mickens,,,,,,,,,,Q,C19,C19,,,,,,,,
Scott Miller,,,,Q,Q,,,,,,,,,,,,,,,
Kevin Minter,,,,,,,,,,,,,,,,,,C19,C19,
John Molchon,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,
Bradley Pinion,,,,,,,,,,,,,,C19,,,,,,
Brad Seaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
A.Q. Shipley,,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donovan Smith,,,,,,,,,,,,Q,,C19,C19,,,,,
Ryan Succop,,,,,,,,,,,,,,C19,,,,,,
Zach Triner,,,,,,,,,,,,,,C19,,,,,,
Vita Vea,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Justin Watson,,,O,,O,,,,,,,,,,,,,,,
Devin White,,,,,,,,,,,,,,,,C19,C19,,,
Jordan Whitehead,,,,,,,,,,,,,,,,,,Q,,
Antoine Winfield Jr.,,,,,,,,,,,,,,,,,,,Q,
