,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1932,4,55,5.5,7,79,7.9,4,3.0,7.0,-4.03,6,-1.63
1933,3,103,8.6,6,97,8.1,5,6.4,5.6,1.87,5,1.37
1934,2,107,8.9,7,94,7.8,5,6.9,5.1,.25,6,-0.84
1935,4,65,5.9,8,123,11.2,6,2.0,9.0,-6.06,7,-0.79
1936,1,149,12.4,4,110,9.2,3,8.1,3.9,.29,4,-2.96
1937,1,195,17.7,3,120,10.9,4,8.4,2.6,2.97,4,-3.84
1938,2,148,13.5,5,154,14.0,5,5.2,5.8,-1.07,5,-0.52
1939,2,242,22.0,2,94,8.5,2,9.9,1.1,8.99,2,-4.46
1940,1,245,22.3,1,142,12.9,3,8.6,2.4,6.51,2,-2.85
1941,3,176,16.0,4,174,15.8,5,5.6,5.4,-1.36,5,-1.54
1942,1,227,20.6,3,102,9.3,2,9.6,1.4,7.56,2,-3.80
1943,1,229,22.9,3,137,13.7,1,7.7,2.3,6.57,3,-2.63
1944,3,169,16.9,7,180,18.0,7,4.6,5.4,-2.77,7,-1.67
1945,1,209,20.9,4,121,12.1,1,7.9,2.1,4.03,4,-4.77
1946,3,171,15.5,7,191,17.4,4,4.8,6.2,-2.17,12,-0.35
1947,4,295,24.6,4,367,30.6,10,4.5,7.5,-7.68,13,-1.68
1948,2,291,24.3,6,287,23.9,6,6.1,5.9,-1.62,9,-1.95
1949,4,268,22.3,6,339,28.3,9,4.4,7.6,-5.53,13,.38
1950,6,232,19.3,10,326,27.2,10,3.7,8.3,-4.98,10,2.85
1951,3,183,15.3,11,296,24.7,10,2.9,9.1,-7.82,10,1.60
1952,5,240,20.0,9,287,23.9,9,4.7,7.3,-2.83,9,1.09
1953,3,208,17.3,8,215,17.9,3,5.8,6.2,-1.01,6,-0.42
1954,5,207,17.3,10,432,36.0,12,1.8,10.2,-19.66,12,-0.91
1955,2,246,20.5,7,222,18.5,2,6.7,5.3,4.30,4,2.30
1956,3,183,15.3,10,225,18.8,6,4.6,7.4,-3.74,10,-0.24
1957,4,251,20.9,6,230,19.2,5,6.6,5.4,1.41,6,-0.34
1958,4,214,17.8,11,268,22.3,6,4.4,7.6,-5.24,9,-0.74
1959,5,185,15.4,12,350,29.2,12,2.2,9.8,-12.89,12,.86
1960,6,178,14.8,12,309,25.8,12,2.6,9.4,-7.97,20,2.94
1961,7,174,12.4,14,392,28.0,13,1.8,12.2,-15.71,22,-0.13
1962,4,305,21.8,7,376,26.9,12,5.3,8.7,-8.37,20,-3.30
1963,6,279,19.9,11,398,28.4,14,4.2,9.8,-7.81,17,.69
1964,3,307,21.9,7,305,21.8,7,7.1,6.9,-2.49,13,-2.64
1965,4,257,18.4,12,301,21.5,6,5.7,8.3,-8.98,20,-5.83
1966,5,351,25.1,3,355,25.4,13,6.9,7.1,-2.04,15,-1.76
1967,3,347,24.8,5,353,25.2,11,6.9,7.1,-2.09,14,-1.67
1968,3,249,17.8,11,358,25.6,14,4.2,9.8,-8.28,20,-0.50
1969,2,307,21.9,7,319,22.8,10,6.7,7.3,-2.95,16,-2.10
1970,4,297,21.2,11,314,22.4,21,6.5,7.5,2.96,7,4.17
1971,2,276,19.7,12,190,13.6,4,9.9,4.1,5.14,7,-1.01
1972,1,336,24.0,7,218,15.6,3,10.3,3.7,6.33,6,-2.10
1973,2,325,23.2,6,198,14.1,6,10.7,3.3,7.38,6,-1.69
1974,2,320,22.9,4,196,14.0,4,10.7,3.3,10.25,1,1.39
1975,3,325,23.2,10,276,19.7,11,8.3,5.7,2.81,12,-0.69
1976,2,291,20.8,11,217,15.5,9,9.3,4.7,2.95,12,-2.33
1977,2,196,14.0,21,189,13.5,4,7.3,6.7,-0.50,14,-1.00
1978,3,273,17.1,17,283,17.7,10,7.7,8.3,-0.40,14,.22
1979,3,348,21.8,10,295,18.4,10,9.5,6.5,2.48,12,-0.84
1980,3,261,16.3,25,293,18.3,8,6.9,9.1,-1.06,17,.94
1981,4,347,21.7,10,349,21.8,16,7.9,8.1,.99,16,1.11
1982,1,190,21.1,12,128,14.2,1,6.5,2.5,7.37,4,.48
1983,1,541,33.8,1,332,20.8,11,12.2,3.8,13.94,1,.87
1984,1,426,26.6,3,310,19.4,11,10.9,5.1,6.38,6,-0.88
1985,3,297,18.6,20,312,19.5,11,7.5,8.5,-1.93,20,-1.00
1986,2,368,23.0,9,296,18.5,9,10.0,6.0,5.55,7,1.05
1987,1,379,25.3,4,285,19.0,6,9.9,5.1,3.81,7,-2.46
1988,3,345,21.6,10,387,24.2,26,6.9,9.1,-2.22,16,.41
1989,3,386,24.1,5,308,19.3,13,10.1,5.9,3.99,11,-0.88
1990,3,381,23.8,4,301,18.8,13,10.2,5.8,5.43,7,.43
1991,1,485,30.3,1,224,14.0,2,13.8,2.2,16.62,1,.31
1992,3,300,18.8,14,255,15.9,8,9.5,6.5,4.44,7,1.63
1993,5,230,14.4,25,345,21.6,23,4.4,11.6,-6.53,24,.66
1994,5,320,20.0,13,412,25.8,28,5.7,10.3,-6.09,25,-0.34
1995,3,326,20.4,18,359,22.4,21,7.1,8.9,-1.94,21,.12
1996,3,364,22.8,8,312,19.5,13,9.4,6.6,1.83,11,-1.42
1997,2,327,20.4,15,289,18.1,8,9.2,6.8,1.28,14,-1.09
1998,4,319,19.9,17,421,26.3,28,5.5,10.5,-7.50,27,-1.13
1999,1,443,27.7,2,377,23.6,24,9.5,6.5,2.88,12,-1.25
2000,3,281,17.6,24,269,16.8,7,8.4,7.6,.97,17,.22
2001,2,256,16.0,28,303,18.9,13,6.4,9.6,-3.65,22,-0.71
2002,3,307,19.2,25,365,22.8,21,6.4,9.6,-4.45,26,-0.83
2003,3,287,17.9,22,372,23.3,24,5.6,10.4,-5.74,26,-0.43
2004,4,240,15.0,31,265,16.6,5,7.1,8.9,-3.37,21,-1.81
2005,2,359,22.4,13,293,18.3,9,9.9,6.1,5.99,8,1.87
2006,4,307,19.2,20,376,23.5,27,6.1,9.9,-4.05,23,.26
2007,3,334,20.9,18,310,19.4,11,8.7,7.3,4.47,9,2.98
2008,4,265,16.6,28,296,18.5,6,7.0,9.0,-1.78,20,.16
2009,4,266,16.6,26,336,21.0,18,5.8,10.2,-4.57,24,-0.19
2010,4,302,18.9,25,377,23.6,21,5.9,10.1,-3.81,24,.88
2011,4,288,18.0,26,367,22.9,21,5.8,10.2,-4.12,23,.82
2012,1,436,27.3,4,388,24.3,22,9.1,6.9,3.42,10,.42
2013,4,334,20.9,23,478,29.9,30,4.8,11.2,-9.28,31,-0.28
2014,4,301,18.8,26,438,27.4,29,4.7,11.3,-8.73,28,-0.17
2015,1,388,24.3,10,379,23.7,17,8.2,7.8,-1.93,18,-2.49
2016,3,396,24.8,12,383,23.9,19,8.3,7.7,1.97,12,1.16
2017,3,342,21.4,16,388,24.3,27,6.8,9.2,-1.30,18,1.58
2018,3,281,17.6,29,359,22.4,15,5.7,10.3,-4.95,26,-0.07
2019,4,266,16.6,32,435,27.2,27,3.8,12.2,-10.78,31,-0.22
2020,1,335,20.9,25,329,20.6,4,8.2,7.8,-0.85,17,-1.22
2021,1,46,23.0,16,49,24.5,16,0.9,1.1,-18.00,27,-16.50
