,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@NWE,9.5,0.0,"W, 16-14",Won,Over,1978
1,2,PHI,-3.5,0.0,"W, 35-30",Won,Over,1978
2,3,@STL,-3.5,0.0,"W, 28-10",Won,Over,1978
3,4,NYJ,-6.5,0.0,"W, 23-3",Won,Over,1978
4,5,DAL,4.5,0.0,"W, 9-5",Won,Over,1978
5,6,@DET,-9.0,0.0,"W, 21-19",Lost,Over,1978
6,7,@PHI,-1.5,0.0,"L, 10-17",Lost,Over,1978
7,8,@NYG,-4.0,0.0,"L, 6-17",Lost,Over,1978
8,9,SFO,-10.0,0.0,"W, 38-20",Won,Over,1978
9,10,@BAL,-3.5,0.0,"L, 17-21",Lost,Over,1978
10,11,NYG,-7.5,0.0,"W, 16-13",Lost,Over,1978
11,12,STL,-4.5,0.0,"L, 17-27",Lost,Over,1978
12,13,@DAL,11.5,0.0,"L, 10-37",Lost,Over,1978
13,14,MIA,3.0,0.0,"L, 0-16",Lost,Over,1978
14,15,@ATL,3.5,0.0,"L, 17-20",Won,Over,1978
15,16,CHI,-6.0,0.0,"L, 10-14",Lost,Over,1978
16,1,HOU,4.0,33.0,"L, 27-29",Won,Over,1979
17,2,@DET,0.0,35.5,"W, 27-24",Won,Over,1979
18,3,NYG,-6.0,37.0,"W, 27-0",Won,Under,1979
19,4,@STL,3.0,39.0,"W, 17-7",Won,Under,1979
20,5,@ATL,3.0,37.0,"W, 16-7",Won,Under,1979
21,6,@PHI,1.0,37.0,"L, 17-28",Lost,Over,1979
22,7,@CLE,4.0,34.0,"W, 13-9",Won,Under,1979
23,8,PHI,2.0,38.0,"W, 17-7",Won,Under,1979
24,9,NOR,-6.0,40.0,"L, 10-14",Lost,Under,1979
25,10,@PIT,11.0,37.0,"L, 7-38",Lost,Over,1979
26,11,STL,-3.0,39.0,"W, 30-28",Lost,Over,1979
27,12,DAL,4.0,37.0,"W, 34-20",Won,Over,1979
28,13,@NYG,-3.0,36.0,"L, 6-14",Lost,Under,1979
29,14,GNB,-9.0,34.0,"W, 38-21",Won,Over,1979
30,15,CIN,-6.0,42.0,"W, 28-14",Won,Push,1979
31,16,@DAL,8.0,39.5,"L, 34-35",Won,Over,1979
32,1,DAL,-2.0,45.0,"L, 3-17",Lost,Under,1980
33,2,@NYG,-4.0,38.0,"W, 23-21",Lost,Over,1980
34,3,@OAK,4.0,40.0,"L, 21-24",Won,Over,1980
35,4,SEA,-4.0,42.0,"L, 0-14",Lost,Under,1980
36,5,@PHI,7.0,35.0,"L, 14-24",Lost,Over,1980
37,6,@DEN,6.0,35.0,"L, 17-20",Won,Over,1980
38,7,STL,-4.0,39.0,"W, 23-0",Won,Under,1980
39,8,NOR,-10.0,38.0,"W, 22-14",Lost,Under,1980
40,9,MIN,-9.0,33.0,"L, 14-39",Lost,Over,1980
41,10,@CHI,3.0,34.0,"L, 21-35",Lost,Over,1980
42,11,PHI,6.0,38.0,"L, 0-24",Lost,Under,1980
43,12,@DAL,12.0,42.0,"L, 10-14",Won,Under,1980
44,13,@ATL,10.0,40.0,"L, 6-10",Won,Under,1980
45,14,SDG,7.0,40.0,"W, 40-17",Won,Over,1980
46,15,NYG,-7.0,39.0,"W, 16-13",Lost,Under,1980
47,16,@STL,2.0,38.0,"W, 31-7",Won,Push,1980
48,1,DAL,2.0,38.0,"L, 10-26",Lost,Under,1981
49,2,NYG,-6.0,37.0,"L, 7-17",Lost,Under,1981
50,3,@STL,3.0,38.0,"L, 30-40",Lost,Over,1981
51,4,@PHI,9.0,37.0,"L, 13-36",Lost,Over,1981
52,5,SFO,-2.0,43.0,"L, 17-30",Lost,Over,1981
53,6,@CHI,4.0,40.0,"W, 24-7",Won,Under,1981
54,7,@MIA,7.0,40.0,"L, 10-13",Won,Under,1981
55,8,NWE,3.0,44.0,"W, 24-22",Won,Over,1981
56,9,STL,-4.0,46.0,"W, 42-21",Won,Over,1981
57,10,DET,-2.0,44.0,"W, 33-31",Push,Over,1981
58,11,@NYG,2.0,43.0,"W, 30-27",Won,Over,1981
59,12,@DAL,7.0,45.0,"L, 10-24",Lost,Under,1981
60,13,@BUF,5.0,42.0,"L, 14-21",Lost,Under,1981
61,14,PHI,4.0,41.0,"W, 15-13",Won,Under,1981
62,15,BAL,-14.0,45.0,"W, 38-14",Won,Over,1981
63,16,@RAM,-1.0,43.0,"W, 30-7",Won,Under,1981
64,1,@PHI,6.5,37.0,"W, 37-34",Won,Over,1982
65,2,@TAM,3.5,37.0,"W, 21-13",Won,Under,1982
66,3,@NYG,0.0,35.0,"W, 27-17",Won,Over,1982
67,4,PHI,-2.5,42.0,"W, 13-9",Won,Under,1982
68,5,DAL,2.0,42.0,"L, 10-24",Lost,Under,1982
69,6,@STL,-1.0,42.0,"W, 12-7",Won,Under,1982
70,7,NYG,-3.5,36.0,"W, 15-14",Lost,Under,1982
71,8,@NOR,-3.0,34.0,"W, 27-10",Won,Over,1982
72,9,STL,-5.0,33.0,"W, 28-0",Won,Under,1982
73,10,DET,-6.0,37.0,"W, 31-7",Won,Over,1982
74,11,MIN,-6.0,43.5,"W, 21-7",Won,Under,1982
75,12,DAL,2.0,38.5,"W, 31-17",Won,Over,1982
76,13,MIA,3.0,36.5,"W, 27-17",Won,Over,1982
77,1,DAL,1.5,41.0,"L, 30-31",Won,Over,1983
78,2,@PHI,0.0,40.0,"W, 23-13",Won,Under,1983
79,3,KAN,-7.0,38.0,"W, 27-12",Won,Over,1983
80,4,@SEA,-1.5,41.0,"W, 27-17",Won,Over,1983
81,5,RAI,-2.0,38.5,"W, 37-35",Push,Over,1983
82,6,@STL,-6.0,43.5,"W, 38-14",Won,Over,1983
83,7,@GNB,-3.0,52.0,"L, 47-48",Lost,Over,1983
84,8,DET,-7.5,43.0,"W, 38-17",Won,Over,1983
85,9,@SDG,-4.5,52.5,"W, 27-24",Lost,Under,1983
86,10,STL,-10.0,52.0,"W, 45-7",Won,Push,1983
87,11,@NYG,-6.5,43.5,"W, 33-17",Won,Over,1983
88,12,@RAM,-3.0,49.0,"W, 42-20",Won,Over,1983
89,13,PHI,-15.0,46.0,"W, 28-24",Lost,Over,1983
90,14,ATL,-9.0,51.0,"W, 37-21",Won,Over,1983
91,15,@DAL,3.0,53.5,"W, 31-10",Won,Under,1983
92,16,NYG,-15.5,44.5,"W, 31-22",Lost,Over,1983
93,17,RAM,-9.5,48.5,"W, 51-7",Won,Over,1983
94,18,SFO,-10.0,51.0,"W, 24-21",Lost,Under,1983
95,19,RAI,-2.0,48.0,"L, 9-38",Lost,Under,1983
96,1,MIA,-4.5,46.0,"L, 17-35",Lost,Over,1984
97,2,@SFO,2.0,52.0,"L, 31-37",Lost,Over,1984
98,3,NYG,-6.0,47.5,"W, 30-14",Won,Under,1984
99,4,@NWE,0.0,47.0,"W, 26-10",Won,Under,1984
100,5,PHI,-9.5,43.0,"W, 20-0",Won,Under,1984
101,6,@IND,-7.5,47.5,"W, 35-7",Won,Under,1984
102,7,DAL,-4.0,44.5,"W, 34-14",Won,Over,1984
103,8,@STL,-3.5,52.0,"L, 24-26",Lost,Under,1984
104,9,@NYG,-6.0,42.5,"L, 13-37",Lost,Over,1984
105,10,ATL,-10.0,45.0,"W, 27-14",Won,Under,1984
106,11,DET,-9.0,44.0,"W, 28-14",Won,Under,1984
107,12,@PHI,-6.0,43.0,"L, 10-16",Lost,Under,1984
108,13,BUF,-13.0,41.5,"W, 41-14",Won,Over,1984
109,14,@MIN,-9.0,46.0,"W, 31-17",Won,Over,1984
110,15,@DAL,0.0,42.0,"W, 30-28",Won,Over,1984
111,16,STL,-6.0,46.5,"W, 29-27",Lost,Over,1984
112,17,CHI,-9.0,38.0,"L, 19-23",Lost,Over,1984
