Player,09/13vs. NYG,09/20vs. STL,09/27vs. DET,10/04vs. TAM,10/11vs. CAR,10/18vs. KAN,10/26vs. PHI,11/08vs. ATL,11/15vs. DEN,11/22vs. DAL,11/29vs. PHI,12/06vs. NOR,12/13vs. OAK,12/21vs. NYG,12/27vs. DAL,01/03vs. SDG
Ladell Betts,,,,,,,,,D,P,IR,IR,IR,IR,IR,IR
H.B. Blades,,,,,,,,,,,P,,,,,
Colt Brennan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason Campbell,,,P,,,,,Q,P,,,,,,,
Andre Carter,,,,,,,,,,,,,,,P,
Chris Cooley,,,,,,,,O,O,O,O,IR,IR,IR,IR,IR
Phillip Daniels,,,,,,P,,,,,,,Q,,,
Reed Doughty,,,,,,,,,P,,,,,,,IR
Graham Gano,,,,,,,,,,,,,,P,,
Kedric Golston,,,,,,,,,,,,,,,,
Cornelius Griffin,,,,P,P,P,,,,,,,P,Q,P,
DeAngelo Hall,,,,P,,,P,,,,O,D,O,Q,P,
Albert Haynesworth,,,P,P,P,P,P,,,O,D,P,O,P,P,O
Robert Henson,,O,,,,,,,,,,,,,,
Stephon Heyer,,,,,,,,P,P,P,P,,Q,Q,P,
Chris Horton,,,,,,,P,,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Jarmon,,,,,,,,,,,,IR,IR,IR,IR,IR
LaRon Landry,,,,,,,,,,,,,,,,O
Rocky McIntosh,,,,,,,,,,,,,,,,Q
Anthony Montgomery,,O,O,D,D,O,,,,,,,,,P,
Kareem Moore,,,,,,,P,,,,,,,Q,,
Santana Moss,,,,,,,,,,,,,,,,P
Clinton Portis,,,P,P,,P,P,,O,O,O,O,IR,IR,IR,IR
Antwaan Randle El,,,,,,,,,,,,,,,,
Chad Rinehart,,,,,,O,,,,,IR,IR,IR,IR,IR,IR
Carlos Rogers,P,,,P,,,,,,,,,,,,
Chris Samuels,,P,,,P,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Sellers,,,,P,,,,,,,Q,P,O,Q,,
Hunter Smith,,,,,Q,O,P,O,P,,,,,,,
Fred Smoot,,O,,,,,,,,,,,,,,
Devin Thomas,,,,,,,,,,,,,,,D,O
Randy Thomas,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Tryon,,,,,,,,,,,,O,P,,,
Byron Westbrook,,,,,,,,O,P,,,,,,,
Eddie Williams,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Edwin Williams,,,,,,,,,,,,,P,,,
Mike Williams,P,,O,,,,,,O,O,P,,,,,IR
Todd Yoder,,,,,,,,,,,P,,,,P,
