Player,09/12vs. DAL,09/19vs. HOU,09/26vs. STL,10/03vs. PHI,10/10vs. GNB,10/17vs. IND,10/24vs. CHI,10/31vs. DET,11/15vs. PHI,11/21vs. TEN,11/28vs. MIN,12/05vs. NYG,12/12vs. TAM,12/19vs. DAL,12/26vs. JAX,01/02vs. NYG
Lorenzo Alexander,,,,,,,,,,,P,,P,P,P,
Anthony Armstrong,,,O,P,,,,,,,,,,,,
Brandon Banks,,,,,,,,,,P,P,P,P,P,P,Q
Josh Bidwell,,,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jammal Brown,P,,,,,P,,P,,P,,,,,,
Anthony Bryant,,,O,O,,,,,,,,,,,Q,P
Andre Carter,Q,,,,,,,,,,,,,,,
Chris Cooley,,,,,,,D,,,,,,,,,
Phillip Daniels,,,,,,,,,,,,,,,IR,IR
Derrick Dockery,,,,,,,,,,,O,O,,,,
Reed Doughty,,,,,,,,,,,,,,,O,P
Mike Furrey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Graham Gano,,,,,,,,,,,,,,P,,
Kedric Golston,,,,,,,,,,P,P,P,P,O,Q,IR
DeAngelo Hall,,,,P,,,P,P,,,,,,,,P
Victor Harris,,,,,,,,,,,,,,,P,Q
Albert Haynesworth,,O,P,P,O,O,P,,,,,O,,,,
Stephon Heyer,,,,,,,,P,P,,,,,,,
Artis Hicks,,,,,,,,,,O,P,P,,,P,
Chris Horton,,,O,P,P,,,,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Jarmon,,,,,,,,,,O,O,O,O,P,,
Malcolm Kelly,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ma'ake Kemoeatu,,,,,,,,,,,,,,,IR,IR
LaRon Landry,,,P,,P,P,P,P,Q,O,O,D,D,IR,IR,IR
Kory Lichtensteiger,,,,P,P,,,P,,,,,,,,
Rocky McIntosh,,,,,,D,P,,,,P,,,,P,
Donovan McNabb,P,P,,,P,P,,P,P,P,P,P,P,P,O,
Kareem Moore,D,O,P,P,,P,,P,,,,P,P,P,P,IR
Santana Moss,,,,,,,,,,P,P,P,P,,,
Brian Orakpo,,,,,,,,P,Q,,,P,P,,O,Q
Clinton Portis,,P,P,,O,O,O,O,O,,IR,IR,IR,IR,IR,IR
Casey Rabach,,,,,,,,P,,,P,P,P,P,P,P
Perry Riley,O,O,,,,,,,,,,,,,,
Carlos Rogers,,,,,,,P,,,O,,O,D,P,,O
Anderson Russell,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Mike Sellers,P,,,,,,P,P,,,,,,,P,
Chad Simpson,,,,,,,,O,,O,O,O,O,O,IR,IR
Ryan Torain,,,,,,,Q,,P,O,O,O,P,P,,P
Keiland Williams,,,,P,,,,,,,,,,,,
Mike Williams,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Roydell Williams,,,,,,,,,,,,P,,,,
Trent Williams,,,O,O,,P,P,,,,,P,P,,,
